"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","oh8nh78m",2018-10-10 09:04:07,0,2,1,1,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person;Chatting on Whatsapp or other chat app]"
"2","oh8nh78m",2018-10-10 12:01:46,1,1,2,0,2,"Cafe; Restaurant","Friends","Eating; drinking","Friends"
"3","oh8nh78m",2018-10-11 16:20:49,1,1,2,1,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"4","oh8nh78m",2018-10-11 18:01:15,1,2,1,0,1,"[Campus]","[Friends]","[Studying; reading; preparing for an exam]","[Friends]"
"5","oh8nh78m",2018-10-12 10:52:32,0,1,1,1,1,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person]"
"6","oh8nh78m",2018-10-12 12:00:45,0,1,2,0,1,"[Cafe; Restaurant]","[Friends]","[Eating; drinking]","[Friends]"
"7","oh8nh78m",2018-10-12 15:10:01,1,1,2,0,1,"[Cafe; Restaurant]","[Friends]","[Browsing the Internet; using social media;Studying; reading; preparing for an exam;Talking; texting; socializing]","[Friends]"
"8","oh8nh78m",2018-10-13 17:46:23,0,0,3,0,2,"[Campus]","[Friends]","[Commuting; traveling]","[Friends]"
"9","oh8nh78m",2018-10-14 20:19:19,0,1,2,0,1,"[Cafe; Restaurant]","[Friends]","[Eating; drinking]","[Friends]"
"10","oh8nh78m",2018-10-15 12:00:46,0,1,2,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media]","[No one; alone]"
"11","oh8nh78m",2018-10-16 11:03:48,0,1,2,0,2,"[Campus]","[No one; alone]","[Commuting; traveling]","[Not applicable; was not interacting with anyone]"
"12","oh8nh78m",2018-10-16 12:16:39,0,1,3,0,2,"[Campus]","[Friends]","[Attending classes; meetings]","[Friends]"
"13","oh8nh78m",2018-10-16 15:51:24,0,1,2,0,2,"[Campus]","[Friends]","[Studying; reading; preparing for an exam]","[Friends]"
"14","oh8nh78m",2018-10-17 14:53:32,0,0,3,0,1,"[Campus]","[Friends]","[Commuting; traveling]","[Friends]"
"15","oh8nh78m",2018-10-18 12:01:59,0,1,2,0,1,"[Home (dorm; apartment)]","[Family;Friends]","[Browsing the Internet; using social media]","[Talking on the phone;Text messaging on the phone]"
"16","oh8nh78m",2018-10-18 15:00:45,0,1,3,0,1,"[Home (dorm; apartment)]","[Family]","[Studying; reading; preparing for an exam]","[Family]"
"17","oh8nh78m",2018-10-19 15:11:06,0,1,3,0,2,"[Gym]","[Strangers]","[Exercising; physical activity; sports]","[Strangers]"
"18","oh8nh78m",2018-10-19 19:55:52,0,0,3,0,2,"[Home (dorm; apartment)]","[Friends]","[Talking; texting; socializing]","[Friends]"
"19","oh8nh78m",2018-10-20 12:41:57,0,1,2,0,1,"[Home (dorm; apartment)]","[Family]","[Eating; drinking]","[Text messaging on the phone;Interacting on Snapchat]"
"20","oh8nh78m",2018-10-21 09:10:37,0,1,3,0,1,"[Cafe; restaurant]","[Family]","[Eating; drinking]","[Talking in person]"
"21","oh8nh78m",2018-10-21 17:18:13,0,1,3,0,2,"[None of the above; other]","[Family;Friends]","[None of the above; Other]","[Family;Friends]"
"22","oh8nh78m",2018-10-21 18:04:40,0,1,3,0,2,"[Vehicle]","[Family]","[Commuting; traveling;Talking; texting; socializing]","[Family]"
"23","oh8nh78m",2018-10-22 18:01:30,0,0,3,0,1,"[Gym]","[Other]","[Exercising; physical activity; sports]","[Other]"
"24","oh8nh78m",2018-10-23 15:08:40,0,1,3,0,1,"[Store / Mall]","[Friends]","[None of the above; Other]","[Friends]"
"25","oh8nh78m",2018-10-24 09:02:21,0,1,3,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person]"
"26","oh8nh78m",2018-10-25 15:14:23,0,1,3,0,0,"[Campus]","[Classmates; students;Friends]","[Attending classes; meetings]","[Classmates; students;Friends]"
"27","oh8nh78m",2018-10-27 12:09:10,0,1,3,0,2,"[Campus]","[Classmates; students;Family]","[Attending classes; meetings]","[Classmates; students;Family]"
"28","oh8nh78m",2018-10-27 19:24:59,0,1,3,0,2,"[Cafe; Restaurant]","[Family;Friends]","[Eating; drinking;Talking; texting; socializing]","[Family;Friends]"
"29","oh8nh78m",2018-10-29 09:06:58,0,1,2,0,2,"[Campus]","[Friends]","[Attending classes; meetings]","[Talking in person]"
"30","oh8nh78m",2018-10-29 13:49:45,0,1,3,0,1,"[Home (dorm; apartment)]","[Family;Friends]","[Browsing the Internet; using social media;Studying; reading; preparing for an exam]","[Family;Friends]"
"31","oh8nh78m",2018-10-29 18:16:15,0,1,3,0,2,"[Gym]","[Friends]","[Exercising; physical activity; sports]","[Friends]"
"32","oh8nh78m",2018-10-30 15:48:40,0,2,2,0,2,"[Campus]","[Classmates; students;Friends]","[Studying; reading; preparing for an exam]","[Classmates; students;Friends]"
"33","oh8nh78m",2018-10-31 09:35:40,0,0,3,0,2,"[Home (dorm; apartment)]","[Family;Friends]","[Studying; reading; preparing for an exam]","[Talking in person;Text messaging on the phone]"
"34","oh8nh78m",2018-10-31 12:18:07,0,0,3,0,1,"[Home (dorm; apartment)]","[Friends]","[Talking; texting; socializing]","[Friends]"
"35","oh8nh78m",2018-10-31 15:01:22,0,0,3,0,2,"[Gym]","[Friends]","[Exercising; physical activity; sports]","[Friends]"
