"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","p7oy5cv9",2018-10-11 13:28:39,1,1,0,1,0,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"2","p7oy5cv9",2018-10-11 15:01:56,1,3,1,1,0,"[Home (dorm; apartment)]","[Roommates]","[Studying; reading; preparing for an exam]","[Roommates]"
"3","p7oy5cv9",2018-10-12 18:01:53,1,1,1,1,0,"[Cafe; Restaurant]","[Friends]","[Attending classes; meetings;Eating; drinking;Talking; texting; socializing]","[Friends]"
"4","p7oy5cv9",2018-10-13 21:01:11,2,2,1,2,0,"[Cafe; Restaurant;Home (dorm; apartment);Friend’s house]","[Friends;No one; alone;Roommates]","[Studying; reading; preparing for an exam;Talking; texting; socializing;Watching TV; movies]","[Friends;No one; alone;Roommates]"
"5","p7oy5cv9",2018-10-13 21:55:20,2,2,0,2,0,"[Home (dorm; apartment)]","[Friends;Roommates]","[Resting; napping; doing nothing;Watching TV; movies]","[Talking in person;Text messaging on the phone;Interacting on Instagram;Interacting on Snapchat;Interacting on Twitter]"
"6","p7oy5cv9",2018-10-14 20:54:03,3,3,0,3,0,"[Cafe; Restaurant;Home (dorm; apartment)]","[Family;Friends;No one; alone;Roommates]","[Eating; drinking;Studying; reading; preparing for an exam;Talking; texting; socializing]","[Family;Friends;No one; alone;Roommates]"
"7","p7oy5cv9",2018-10-15 12:01:47,1,2,1,2,0,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[No one; alone]"
"8","p7oy5cv9",2018-10-15 18:02:44,1,3,0,2,0,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media;Resting; napping; doing nothing;Talking; texting; socializing]","[No one; alone]"
"9","p7oy5cv9",2018-10-17 16:07:19,1,1,1,1,1,"[Cafe; Restaurant]","[No one; alone;Roommates]","[Eating; drinking;Watching TV; movies]","[No one; alone;Roommates]"
"10","p7oy5cv9",2018-10-17 18:11:10,1,1,1,1,1,"[Cafe; Restaurant;Fraternity; Sorority House]","[Friends]","[Attending classes; meetings;Eating; drinking;Talking; texting; socializing]","[Friends]"
"11","p7oy5cv9",2018-10-19 11:33:28,1,1,0,1,1,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
