"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","pgidn344",2018-10-16 18:38:41,1,1,1,1,2,"[Cafe; Restaurant; Campus; Library]","[Classmates; students; Friends]","[Commuting; traveling; Eating; drinking; Talking; texting; socializing]","[Classmates; students; Friends]"
"2","pgidn344",2018-10-17 10:42:42,1,1,1,1,1,"[Home (dorm; apartment)]","[No one; alone]","[None of the above; Other]","[Not applicable; was not interacting with anyone]"
"3","pgidn344",2018-10-17 13:17:42,1,1,2,1,2,"[Cafe; Restaurant; Campus; Home (dorm; apartment)]","[No one; alone]","[Eating; drinking; Resting; napping; doing nothing]","[No one; alone]"
"4","pgidn344",2018-10-17 15:27:35,1,1,1,1,2,"[Campus; Home (dorm; apartment)]","[No one; alone]","[Watching TV; movies]","[No one; alone]"
"5","pgidn344",2018-10-17 22:08:24,1,1,1,1,2,"[Campus; Library]","[Classmates; students]","[Browsing the Internet; using social media; Studying; reading; preparing for an exam]","[Classmates; students]"
"6","pgidn344",2018-10-18 10:47:42,1,1,1,1,2,"[Campus; Home (dorm; apartment)]","[Roommates]","[Commuting; traveling; Doing household chores; running errands]","[Talking on the phone; Interacting on Facebook]"
"7","pgidn344",2018-10-18 12:11:11,1,1,1,1,1,"[Campus]","[Classmates; students]","[Attending classes; meetings; Studying; reading; preparing for an exam]","[Classmates; students]"
"8","pgidn344",2018-10-18 22:06:14,1,1,2,2,2,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[No one; alone]"
"9","pgidn344",2018-10-19 11:14:14,1,1,1,1,2,"[Campus; Home (dorm; apartment)]","[No one; alone]","[Doing household chores; running errands]","[Talking on the phone; Interacting on Facebook; Interacting on Snapchat]"
"10","pgidn344",2018-10-19 12:17:42,1,1,1,1,2,"[Cafe; Restaurant; Campus]","[Strangers]","[Eating; drinking; Talking; texting; socializing]","[Strangers]"
"11","pgidn344",2018-10-19 15:04:46,1,1,1,1,2,"[Campus; Library]","[Classmates; students]","[Studying; reading; preparing for an exam]","[Classmates; students]"
"12","pgidn344",2018-10-20 01:11:27,1,1,1,1,4,"[Home (dorm; apartment)]","[Roommates]","[Watching TV; movies]","[Roommates]"
"13","pgidn344",2018-10-20 23:44:29,2,2,2,2,3,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[No one; alone]"
"14","pgidn344",2018-10-21 20:53:44,1,1,1,1,1,"[Vehicle]","[Friends]","[Commuting; traveling]","[Friends]"
"15","pgidn344",2018-10-22 12:34:52,1,1,1,1,2,"[Cafe; Restaurant; Campus; Home (dorm; apartment)]","[Strangers]","[Browsing the Internet; using social media]","[Strangers]"
"16","pgidn344",2018-10-22 16:17:58,1,1,1,1,1,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"17","pgidn344",2018-10-22 21:13:04,1,1,2,1,1,"[Campus]","[Friends]","[Browsing the Internet; using social media]","[Friends]"
"18","pgidn344",2018-10-23 11:31:32,1,1,1,1,1,"[Campus]","[Classmates; students]","[Attending classes; meetings; Commuting; traveling]","[Not applicable; was not interacting with anyone]"
"19","pgidn344",2018-10-23 15:03:13,1,1,1,1,1,"[Campus]","[Strangers]","[Browsing the Internet; using social media]","[Strangers]"
"20","pgidn344",2018-10-23 19:36:15,1,1,1,1,1,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"21","pgidn344",2018-10-24 11:53:17,1,1,1,1,1,"[Campus]","[Classmates; students; Family]","[Attending classes; meetings]","[Talking in person; Talking on the phone]"
"22","pgidn344",2018-10-24 18:28:59,1,1,1,1,1,"[Campus; Library]","[Classmates; students]","[Attending classes; meetings; Studying; reading; preparing for an exam]","[Classmates; students]"
"23","pgidn344",2018-10-25 11:26:14,1,1,1,1,2,"[Campus]","[Classmates; students; Friends]","[Attending classes; meetings]","[Talking in person]"
"24","pgidn344",2018-10-25 17:43:29,1,1,2,1,2,"[Campus]","[Other]","[Attending classes; meetings]","[Other]"
"25","pgidn344",2018-10-25 20:04:52,1,1,1,1,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"26","pgidn344",2018-10-26 13:59:55,1,1,1,1,2,"[Campus]","[Classmates; students]","[Attending classes; meetings; Browsing the Internet; using social media]","[Classmates; students]"
"27","pgidn344",2018-10-26 15:21:37,1,1,1,1,1,"[Campus]","[Friends]","[Eating; drinking]","[Friends]"
"28","pgidn344",2018-10-26 22:48:58,2,1,1,3,2,"[Friend’s house]","[Friends]","[Watching TV; movies]","[Friends]"
"29","pgidn344",2018-10-27 15:28:19,1,1,1,1,2,"[Campus]","[Classmates; students]","[Browsing the Internet; using social media]","[Talking in person]"
"30","pgidn344",2018-10-28 20:53:47,1,1,1,1,2,"[Campus; Library]","[Strangers]","[Studying; reading; preparing for an exam]","[Strangers]"
"31","pgidn344",2018-10-29 10:28:36,1,1,1,1,2,"[Campus; Home (dorm; apartment)]","[Strangers]","[Doing household chores; running errands]","[Not applicable; was not interacting with anyone]"
"32","pgidn344",2018-10-29 12:34:06,1,1,1,1,2,"[Library]","[Strangers]","[Studying; reading; preparing for an exam]","[Strangers]"
"33","pgidn344",2018-10-29 19:10:48,1,1,1,1,2,"[Campus; Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[No one; alone]"
"34","pgidn344",2018-10-30 12:17:57,1,1,1,1,2,"[Cafe; Restaurant; Campus]","[Strangers]","[Attending classes; meetings; Browsing the Internet; using social media]","[Strangers]"
"35","pgidn344",2018-10-30 13:01:23,1,1,1,2,2,"[Campus]","[Classmates; students; Friends]","[Attending classes; meetings; Browsing the Internet; using social media]","[Not applicable; was not interacting with anyone]"
"36","pgidn344",2018-10-30 15:52:43,1,1,1,1,1,"[Campus]","[Friends]","[Attending classes; meetings]","[Friends]"
"37","pgidn344",2018-10-30 19:22:24,1,1,1,1,2,"[Library]","[Strangers]","[Studying; reading; preparing for an exam]","[Strangers]"
"38","pgidn344",2018-10-31 18:31:16,1,1,1,1,2,"[Library]","[Strangers]","[Studying; reading; preparing for an exam]","[Strangers]"
