"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","qjbt7n1n",2018-10-11 09:01:52,0,1,1,0,1,"[Campus]","[Classmates; students]","[Attending classes; meetings;Browsing the Internet; using social media;Commuting; traveling;Talking; texting; socializing]","[Talking in person;Text messaging on the phone]"
"2","qjbt7n1n",2018-10-11 12:01:06,0,0,2,0,1,"[Fraternity; Sorority House;Home (dorm; apartment)]","[Friends;No one; alone]","[Eating; drinking;Resting; napping; doing nothing;Studying; reading; preparing for an exam]","[Friends;No one; alone]"
"3","qjbt7n1n",2018-10-11 16:58:37,0,1,2,0,2,"[Campus;Fraternity; Sorority House;Home (dorm; apartment)]","[Friends;No one; alone;Strangers]","[Attending classes; meetings;Browsing the Internet; using social media;Commuting; traveling]","[Friends;No one; alone;Strangers]"
"4","qjbt7n1n",2018-10-12 11:37:57,0,0,2,0,3,"[Campus;Fraternity; Sorority House;Home (dorm; apartment)]","[Friends;Roommates;Strangers]","[Browsing the Internet; using social media;Commuting; traveling;Eating; drinking]","[Text messaging on the phone]"
"5","qjbt7n1n",2018-10-12 12:46:53,0,0,3,0,3,"[Fraternity; Sorority House;Home (dorm; apartment)]","[Friends;No one; alone;Significant other]","[Browsing the Internet; using social media;Resting; napping; doing nothing;Talking; texting; socializing]","[Friends;No one; alone;Significant other]"
"6","qjbt7n1n",2018-10-12 16:39:44,0,0,2,1,2,"[Home (dorm; apartment);Store / Mall;Vehicle]","[Strangers]","[Commuting; traveling;Doing household chores; running errands;Eating; drinking;Resting; napping; doing nothing;Talking; texting; socializing]","[Strangers]"
"7","qjbt7n1n",2018-10-12 18:09:13,0,0,3,0,3,"[Cafe; Restaurant]","[Friends]","[Commuting; traveling;Eating; drinking;Talking; texting; socializing]","[Friends]"
"8","qjbt7n1n",2018-10-13 15:01:21,0,0,3,0,3,"[Campus;None of the above; other]","[Friends]","[Commuting; traveling;Exercising; physical activity; sports]","[Friends]"
"9","qjbt7n1n",2018-10-13 20:48:29,0,0,3,1,2,"[Fraternity; Sorority House;Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media]","[Interacting on Instagram]"
"10","qjbt7n1n",2018-10-15 18:00:50,0,1,2,0,2,"[Fraternity; Sorority House;Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media;Eating; drinking;Talking; texting; socializing]","[No one; alone]"
"11","qjbt7n1n",2018-10-16 15:23:03,0,1,2,0,1,"[Fraternity; Sorority House;Home (dorm; apartment)]","[Roommates]","[Browsing the Internet; using social media;Studying; reading; preparing for an exam]","[Roommates]"
"12","qjbt7n1n",2018-10-16 15:51:42,0,1,2,0,0,"[Friend's house;Home (dorm; apartment)]","[Roommates]","[Attending classes; meetings]","[Interacting on Snapchat;Other form of social interaction (please describe in the text box below)]"
"13","qjbt7n1n",2018-10-17 14:53:38,0,0,2,0,0,"[Campus]","[Classmates; students]","[Attending classes; meetings;Commuting; traveling]","[Classmates; students]"
"14","qjbt7n1n",2018-10-17 18:01:05,0,0,3,0,3,"[Fraternity; Sorority House;Home (dorm; apartment)]","[Friends;Roommates]","[Eating; drinking;Talking; texting; socializing]","[Friends;Roommates]"
"15","qjbt7n1n",2018-10-18 13:35:59,0,1,2,0,2,"[Campus;None of the above; other]","[Friends;Roommates]","[Attending classes; meetings;Commuting; traveling]","[Friends;Roommates]"
"16","qjbt7n1n",2018-10-18 20:30:06,0,1,1,0,0,"[Fraternity; Sorority House;Home (dorm; apartment)]","[Friends;Roommates]","[Attending classes; meetings;Talking; texting; socializing]","[Friends;Roommates]"
