"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","rwdts5qo",2018-10-10 10:45:41,1,2,1,1,1,"[Home (dorm; apartment)]","[Roommates]","[Browsing the Internet; using social media;Eating; drinking]","[Talking in person;Interacting on Snapchat]"
"2","rwdts5qo",2018-10-10 12:00:47,1,2,1,1,1,"Campus","Classmates; students","Attending classes; meetings","Classmates; students"
"3","rwdts5qo",2018-10-10 15:00:48,2,3,1,1,2,"Campus","Classmates; students","Attending classes; meetings","Classmates; students"
"4","rwdts5qo",2018-10-10 18:01:24,1,1,2,1,0,"[Vehicle]","[Family]","[Doing household chores; running errands]","[Family]"
"5","rwdts5qo",2018-10-11 09:01:41,0,2,1,0,0,"[Cafe; restaurant]","[Roommates]","[None of the above; Other]","[Talking in person]"
"6","rwdts5qo",2018-10-11 12:00:44,1,3,1,0,2,"[None of the above; other]","[No one; alone]","[Commuting; traveling]","[No one; alone]"
"7","rwdts5qo",2018-10-11 15:04:05,0,1,2,0,0,"[Work]","[Co-workers]","[Working at job]","[Co-workers]"
"8","rwdts5qo",2018-10-11 18:01:00,2,2,3,0,2,"[Cafe; Restaurant]","[Friends]","[Eating; drinking]","[Friends]"
"9","rwdts5qo",2018-10-12 09:01:23,2,2,2,0,3,"[Home (dorm; apartment)]","[Roommates]","[Resting; napping; doing nothing]","[Interacting on Snapchat]"
"10","rwdts5qo",2018-10-12 12:01:05,1,1,2,0,3,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"11","rwdts5qo",2018-10-12 15:27:53,0,1,2,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media;Eating; drinking;Resting; napping; doing nothing]","[No one; alone]"
"12","rwdts5qo",2018-10-12 18:00:48,0,0,2,0,2,"[Friend’s house]","[Family]","[Watching TV; movies]","[Family]"
"13","rwdts5qo",2018-10-13 12:01:44,0,1,2,0,3,"[Vehicle]","[Family]","[Commuting; traveling]","[Family]"
"14","rwdts5qo",2018-10-13 15:43:55,0,1,2,0,2,"[Vehicle]","[Family]","[Commuting; traveling]","[Family]"
"15","rwdts5qo",2018-10-13 18:09:35,0,0,2,0,2,"[Cafe; Restaurant]","[Friends]","[Eating; drinking]","[Friends]"
"16","rwdts5qo",2018-10-14 09:08:06,0,2,2,0,1,"[Home (dorm; apartment)]","[Roommates]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"17","rwdts5qo",2018-10-14 12:00:57,1,3,2,0,3,"[Library]","[No one; alone]","[Studying; reading; preparing for an exam;Talking; texting; socializing]","[No one; alone]"
"18","rwdts5qo",2018-10-14 15:28:26,0,1,2,0,1,"[Vehicle]","[Family]","[Commuting; traveling]","[Family]"
"19","rwdts5qo",2018-10-14 18:03:30,0,2,2,0,1,"[None of the above; other]","[Family]","[Watching TV; movies]","[Family]"
"20","rwdts5qo",2018-10-15 09:01:19,3,3,0,0,3,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media;Talking; texting; socializing]","[Talking on the phone;Text messaging on the phone;Interacting on Snapchat]"
"21","rwdts5qo",2018-10-15 12:01:17,0,2,2,0,3,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"22","rwdts5qo",2018-10-16 09:02:26,1,2,1,1,2,"[Campus]","[No one; alone]","[Commuting; traveling]","[Text messaging on the phone;Interacting on Snapchat]"
"23","rwdts5qo",2018-10-16 13:21:43,2,3,1,1,1,"[Work]","[Co-workers]","[Working at job]","[Co-workers]"
"24","rwdts5qo",2018-10-16 15:00:43,2,3,1,0,2,"[None of the above; other]","[Family]","[Commuting; traveling]","[Family]"
"25","rwdts5qo",2018-10-16 18:16:48,2,2,1,1,1,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media;Talking; texting; socializing;Watching TV; movies]","[No one; alone]"
"26","rwdts5qo",2018-10-17 10:09:10,0,1,2,0,3,"[Home (dorm; apartment)]","[Roommates]","[Studying; reading; preparing for an exam]","[Talking in person]"
"27","rwdts5qo",2018-10-17 12:01:54,1,2,2,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"28","rwdts5qo",2018-10-17 15:00:35,1,2,2,1,1,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"29","rwdts5qo",2018-10-17 18:00:45,0,1,2,0,2,"[Cafe; Restaurant]","[Friends]","[Eating; drinking]","[Friends]"
