"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","s9lyucic",2018-10-10 10:53:31,1,1,2,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"2","s9lyucic",2018-10-10 12:07:41,1,2,2,1,2,"5","4","9","4"
"3","s9lyucic",2018-10-12 12:32:42,1,1,3,1,1,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[No one; alone]"
"4","s9lyucic",2018-10-12 18:07:18,2,1,3,1,1,"[Work]","[Co-workers]","[Working at job]","[Co-workers]"
"5","s9lyucic",2018-10-13 10:12:54,2,3,2,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"6","s9lyucic",2018-10-13 18:07:15,1,2,2,1,3,"[Cafe; Restaurant; Work]","[Co-workers; Strangers]","[Studying; reading; preparing for an exam; Working at job]","[Co-workers; Strangers]"
"7","s9lyucic",2018-10-14 15:12:17,2,0,2,1,1,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[No one; alone]"
"8","s9lyucic",2018-10-14 19:30:30,2,2,2,1,2,"[Cafe; Restaurant; Work]","[Co-workers; Family; Strangers]","[Eating; drinking; Working at job]","[Co-workers; Family; Strangers]"
"9","s9lyucic",2018-10-15 09:15:18,1,1,3,0,2,"[Home (dorm; apartment)]","[None of the above; Other]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"10","s9lyucic",2018-10-15 12:44:17,1,2,2,1,2,"[Work]","[Co-workers; Strangers]","[Browsing the Internet; using social media; Studying; reading; preparing for an exam; Working at job]","[Co-workers; Strangers]"
"11","s9lyucic",2018-10-15 15:30:22,1,1,3,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[No one; alone]"
"12","s9lyucic",2018-10-15 18:03:02,1,1,3,1,2,"[Work]","[Co-workers]","[Browsing the Internet; using social media; Resting; napping; doing nothing; Working at job]","[Co-workers]"
"13","s9lyucic",2018-10-17 02:13:38,1,2,3,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Attending classes; meetings]","[No one; alone]"
"14","s9lyucic",2018-10-17 14:42:35,3,2,2,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Watching TV; movies]","[Not applicable; was not interacting with anyone]"
"15","s9lyucic",2018-10-17 15:30:27,3,2,1,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Eating; drinking; None of the above; Other]","[No one; alone]"
"16","s9lyucic",2018-10-17 19:09:14,3,2,2,1,2,"[Work]","[Co-workers]","[Working at job]","[Co-workers]"
"17","s9lyucic",2018-10-18 11:31:54,3,3,3,1,2,"[Home (dorm; apartment)]","[Family]","[Browsing the Internet; using social media; Studying; reading; preparing for an exam]","[Talking in person]"
"18","s9lyucic",2018-10-18 12:24:58,3,3,2,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[No one; alone]"
"19","s9lyucic",2018-10-19 15:17:19,2,1,3,1,3,"[Home (dorm; apartment)]","[No one; alone]","[None of the above; Other]","[No one; alone]"
"20","s9lyucic",2018-10-19 18:24:10,2,2,2,1,2,"[Work]","[Co-workers; Family]","[Browsing the Internet; using social media; Working at job]","[Co-workers; Family]"
"21","s9lyucic",2018-10-20 12:53:58,2,1,2,1,1,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media; Resting; napping; doing nothing]","[No one; alone]"
"22","s9lyucic",2018-10-20 15:18:56,2,2,2,1,2,"[Work]","[Co-workers]","[Working at job]","[Co-workers]"
"23","s9lyucic",2018-10-20 20:14:25,1,2,2,1,2,"[Work]","[Co-workers]","[Working at job]","[Co-workers]"
"24","s9lyucic",2018-10-21 12:56:31,3,1,3,2,2,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media]","[No one; alone]"
"25","s9lyucic",2018-10-21 14:05:22,1,1,2,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media; Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"26","s9lyucic",2018-10-21 17:46:12,1,2,2,1,2,"[Work]","[Co-workers]","[Browsing the Internet; using social media; Working at job]","[Co-workers]"
"27","s9lyucic",2018-10-21 21:21:35,1,3,2,1,2,"[Work]","[Co-workers; Strangers]","[Working at job]","[Co-workers; Strangers]"
"28","s9lyucic",2018-10-23 13:44:28,3,3,2,1,3,"[Home (dorm; apartment)]","[No one; alone]","[Attending classes; meetings]","[No one; alone]"
"29","s9lyucic",2018-10-23 16:23:27,3,3,2,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Attending classes; meetings]","[No one; alone]"
"30","s9lyucic",2018-10-23 18:36:46,2,2,2,1,3,"[Work]","[Co-workers; Strangers]","[Working at job]","[Co-workers; Strangers]"
"31","s9lyucic",2018-10-24 16:14:46,1,2,3,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Watching TV; movies]","[No one; alone]"
"32","s9lyucic",2018-10-24 20:13:44,1,2,3,1,2,"[Home (dorm; apartment)]","[Family; Friends]","[Eating; drinking; Talking; texting; socializing]","[Family; Friends]"
"33","s9lyucic",2018-10-25 12:20:28,1,2,3,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Attending classes; meetings; Studying; reading; preparing for an exam]","[No one; alone]"
