"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","tbgpg5gq",2018-10-10 09:02:32,1,0,3,0,3,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person]"
"2","tbgpg5gq",2018-10-10 12:03:38,1,0,1,0,2,"Home (dorm; apartment)","Significant other","Studying; reading; preparing for an exam","Significant other"
"3","tbgpg5gq",2018-10-10 15:02:03,0,0,3,0,3,"[Friend’s house]","[Friends]","[Resting; napping; doing nothing]","[Friends]"
"4","tbgpg5gq",2018-10-10 18:01:36,0,1,2,0,2,"[Vehicle]","[Significant other]","[Eating; drinking]","[Significant other]"
"5","tbgpg5gq",2018-10-11 09:30:27,0,0,2,0,4,"[None of the above; other]","[Strangers]","[Commuting; traveling]","[Not applicable; was not interacting with anyone]"
"6","tbgpg5gq",2018-10-11 12:03:42,0,0,3,0,3,"[Campus]","[Strangers]","[Talking; texting; socializing]","[Strangers]"
"7","tbgpg5gq",2018-10-11 16:04:49,1,0,1,0,1,"[None of the above; other]","[Significant other]","[Commuting; traveling]","[Significant other]"
"8","tbgpg5gq",2018-10-11 18:02:46,0,0,3,0,4,"[Friend’s house]","[Significant other]","[Talking; texting; socializing;Watching TV; movies]","[Significant other]"
"9","tbgpg5gq",2018-10-12 09:16:02,0,0,3,0,4,"[Friend's house]","[Significant other]","[Resting; napping; doing nothing]","[Talking in person;Text messaging on the phone]"
"10","tbgpg5gq",2018-10-12 12:00:58,1,1,3,0,4,"[Cafe; Restaurant]","[Significant other]","[Eating; drinking]","[Significant other]"
"11","tbgpg5gq",2018-10-12 15:08:57,0,0,3,0,4,"[Vehicle]","[Strangers]","[Commuting; traveling]","[Strangers]"
"12","tbgpg5gq",2018-10-12 18:00:58,1,0,2,0,3,"[None of the above; other]","[Strangers]","[Resting; napping; doing nothing]","[Strangers]"
"13","tbgpg5gq",2018-10-13 13:23:37,1,0,2,0,3,"[Home (dorm; apartment)]","[Significant other]","[Resting; napping; doing nothing]","[Significant other]"
"14","tbgpg5gq",2018-10-14 09:37:49,0,0,3,0,3,"[Home (dorm; apartment)]","[Significant other]","[Resting; napping; doing nothing;Talking; texting; socializing]","[Talking in person;Text messaging on the phone;Interacting on Instagram]"
"15","tbgpg5gq",2018-10-14 12:04:31,0,0,3,0,4,"[Cafe; Restaurant;Vehicle]","[Significant other;Strangers]","[Commuting; traveling;Talking; texting; socializing]","[Significant other;Strangers]"
"16","tbgpg5gq",2018-10-14 15:07:14,0,0,3,0,4,"[Friend’s house]","[Friends;Significant other]","[Browsing the Internet; using social media;Eating; drinking;Talking; texting; socializing]","[Friends;Significant other]"
"17","tbgpg5gq",2018-10-15 11:09:13,0,1,3,0,2,"[Home (dorm; apartment)]","[Significant other]","[Browsing the Internet; using social media;Resting; napping; doing nothing]","[Talking in person;Text messaging on the phone;Interacting on Instagram;Interacting on Snapchat]"
"18","tbgpg5gq",2018-10-15 17:53:17,1,0,2,0,2,"[Cafe; Restaurant]","[Friends;Significant other]","[Browsing the Internet; using social media;Commuting; traveling;Eating; drinking;Talking; texting; socializing]","[Friends;Significant other]"
"19","tbgpg5gq",2018-10-15 19:19:48,1,0,1,0,1,"[Fraternity; Sorority House]","[Friends;Strangers]","[Attending classes; meetings;Talking; texting; socializing]","[Friends;Strangers]"
"20","tbgpg5gq",2018-10-16 09:17:12,1,0,2,0,2,"[Home (dorm; apartment)]","[Significant other]","[Talking; texting; socializing]","[Talking in person]"
"21","tbgpg5gq",2018-10-16 12:01:07,1,0,2,0,3,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"22","tbgpg5gq",2018-10-16 15:16:41,2,0,1,0,1,"[Campus]","[Classmates; students]","[Attending classes; meetings;Talking; texting; socializing]","[Classmates; students]"
"23","tbgpg5gq",2018-10-16 20:31:27,2,0,1,0,0,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"24","tbgpg5gq",2018-10-17 12:02:18,0,0,2,0,4,"[Campus]","[Classmates; students]","[Studying; reading; preparing for an exam;Talking; texting; socializing]","[Talking in person;Text messaging on the phone]"
"25","tbgpg5gq",2018-10-17 15:01:46,0,0,2,0,2,"[Home (dorm; apartment)]","[Significant other]","[None of the above; Other]","[Significant other]"
