"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","tccbhgus",2018-10-10 18:02:03,0,2,3,0,4,"[Cafe; Restaurant;Campus;Home (dorm; apartment)]","[Classmates; students;Friends]","[Eating; drinking;Resting; napping; doing nothing;Talking; texting; socializing]","[Classmates; students;Friends]"
"2","tccbhgus",2018-10-11 11:14:38,1,3,1,1,2,"[Home (dorm; apartment)]","[Roommates]","[Browsing the Internet; using social media]","[Text messaging on the phone;Chatting on a dating app]"
"3","tccbhgus",2018-10-11 12:44:36,0,3,3,0,3,"[Home (dorm; apartment)]","[Roommates]","[Resting; napping; doing nothing]","[Roommates]"
"4","tccbhgus",2018-10-11 18:23:48,0,1,3,2,3,"[Cafe; Restaurant;Campus]","[Classmates; students;Friends]","[Attending classes; meetings;Eating; drinking;Talking; texting; socializing]","[Classmates; students;Friends]"
"5","tccbhgus",2018-10-12 12:36:00,0,2,2,0,2,"[Home (dorm; apartment)]","[No one; alone;Roommates]","[Resting; napping; doing nothing]","[No one; alone;Roommates]"
"6","tccbhgus",2018-10-12 15:08:21,0,1,3,0,3,"[Home (dorm; apartment)]","[Friends;Roommates]","[Talking; texting; socializing]","[Friends;Roommates]"
"7","tccbhgus",2018-10-12 18:19:44,1,0,3,0,0,"[Vehicle]","[Friends]","[Commuting; traveling]","[Friends]"
"8","tccbhgus",2018-10-13 12:03:50,0,0,3,0,4,"[Home (dorm; apartment)]","[Family]","[Resting; napping; doing nothing]","[Family]"
"9","tccbhgus",2018-10-13 18:50:29,0,1,3,0,2,"[Religious facility]","[Family]","[None of the above; Other]","[Family]"
"10","tccbhgus",2018-10-16 03:28:37,0,0,3,0,3,"[Home (dorm; apartment)]","[Roommates]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"11","tccbhgus",2018-10-16 16:04:07,0,1,3,0,3,"[Home (dorm; apartment)]","[Friends]","[Browsing the Internet; using social media;Eating; drinking;Talking; texting; socializing]","[Friends]"
"12","tccbhgus",2018-10-16 21:00:40,0,1,3,0,3,"[Friend’s house]","[Friends]","[Attending classes; meetings;Resting; napping; doing nothing;Studying; reading; preparing for an exam]","[Friends]"
"13","tccbhgus",2018-10-17 13:55:13,0,2,3,0,2,"[Home (dorm; apartment)]","[Roommates]","[Resting; napping; doing nothing]","[Talking in person;Text messaging on the phone;Chatting on a dating app;Interacting on Snapchat]"
"14","tccbhgus",2018-10-18 04:31:45,0,0,3,0,3,"[Campus]","[Classmates; students]","[Attending classes; meetings;Talking; texting; socializing]","[Classmates; students]"
"15","tccbhgus",2018-10-18 15:03:14,0,0,3,0,2,"[Campus;Friend's house]","[Classmates; students;Friends]","[Talking; texting; socializing]","[Talking in person;Text messaging on the phone;Interacting on Snapchat]"
"16","tccbhgus",2018-10-18 18:18:53,0,0,3,0,4,"[Campus;Home (dorm; apartment)]","[Friends;Significant other;Strangers]","[Attending classes; meetings;Browsing the Internet; using social media;Talking; texting; socializing]","[Friends;Significant other;Strangers]"
"17","tccbhgus",2018-10-22 01:05:02,0,0,3,0,4,"[Cafe; restaurant;Campus;Friend's house]","[Friends]","[Browsing the Internet; using social media;Eating; drinking;Talking; texting; socializing]","[Talking in person;Text messaging on the phone;Chatting on a dating app]"
"18","tccbhgus",2018-10-22 09:07:25,0,0,3,0,4,"[Home (dorm; apartment)]","[Friends]","[Resting; napping; doing nothing;Talking; texting; socializing]","[Talking in person]"
"19","tccbhgus",2018-10-22 12:10:04,0,1,3,0,4,"[Campus;Friend’s house]","[Family]","[Browsing the Internet; using social media;Eating; drinking;Talking; texting; socializing]","[Family]"
"20","tccbhgus",2018-10-22 15:20:31,0,0,3,0,4,"[Campus;Store / Mall]","[Friends]","[Commuting; traveling;Talking; texting; socializing]","[Friends]"
"21","tccbhgus",2018-10-23 18:21:15,0,1,3,0,4,"[Home (dorm; apartment)]","[Friends]","[Browsing the Internet; using social media]","[Friends]"
"22","tccbhgus",2018-10-24 11:57:58,3,3,0,0,0,"[Campus;Home (dorm; apartment)]","[Classmates; students;Friends]","[Attending classes; meetings;Browsing the Internet; using social media;Resting; napping; doing nothing]","[Talking in person;Text messaging on the phone;Interacting on Snapchat]"
"23","tccbhgus",2018-10-25 13:45:38,1,2,2,0,4,"[Campus;Home (dorm; apartment)]","[Friends;Roommates]","[Attending classes; meetings;Resting; napping; doing nothing;Studying; reading; preparing for an exam;Talking; texting; socializing]","[Talking in person;Text messaging on the phone;Chatting on a dating app;Interacting on Snapchat]"
"24","tccbhgus",2018-10-25 15:00:42,0,1,2,0,4,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media;Studying; reading; preparing for an exam]","[No one; alone]"
"25","tccbhgus",2018-10-29 02:05:06,0,0,3,0,4,"[Home (dorm; apartment)]","[Friends]","[Eating; drinking;Watching TV; movies]","[Friends]"
