"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","tdfcutuk",2018-10-10 11:24:00,2,3,1,1,0,"[Campus;Home (dorm; apartment)]","[Classmates; students;No one; alone]","[Attending classes; meetings;Eating; drinking;Resting; napping; doing nothing;Talking; texting; socializing]","[Talking in person;Text messaging on the phone;Emailing;Interacting on Snapchat]"
"2","tdfcutuk",2018-10-10 12:41:30,2,3,1,1,0,"Campus","Friends","Studying; reading; preparing for an exam","Friends"
"3","tdfcutuk",2018-10-10 15:21:52,1,3,1,1,0,"Campus","Friends","Talking; texting; socializing","Friends"
"4","tdfcutuk",2018-10-11 15:50:00,1,3,1,1,1,"[Home (dorm; apartment)]","[No one; alone;Roommates]","[Attending classes; meetings;Resting; napping; doing nothing]","[Talking on the phone;Text messaging on the phone]"
"5","tdfcutuk",2018-10-11 18:40:03,1,2,1,1,1,"[Campus;Home (dorm; apartment)]","[Classmates; students;Friends]","[Attending classes; meetings;Resting; napping; doing nothing;Talking; texting; socializing]","[Classmates; students;Friends]"
"6","tdfcutuk",2018-10-12 12:02:20,2,3,0,1,0,"[Campus]","[Classmates; students]","[Attending classes; meetings;Talking; texting; socializing]","[Classmates; students]"
"7","tdfcutuk",2018-10-12 16:34:47,2,3,1,1,0,"[Vehicle]","[Classmates; students;Friends]","[Commuting; traveling;Talking; texting; socializing]","[Classmates; students;Friends]"
"8","tdfcutuk",2018-10-13 11:04:53,2,3,0,1,0,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing;Talking; texting; socializing]","[Talking on the phone;Not applicable; was not interacting with anyone]"
"9","tdfcutuk",2018-10-17 15:01:27,3,3,0,1,1,"[Vehicle;Friend’s house]","[Family]","[Commuting; traveling]","[Family]"
"10","tdfcutuk",2018-10-18 14:06:57,3,3,0,1,0,"[Campus]","[Classmates; students;Friends;No one; alone]","[Attending classes; meetings;Studying; reading; preparing for an exam;Talking; texting; socializing]","[Classmates; students;Friends;No one; alone]"
"11","tdfcutuk",2018-10-18 18:00:49,3,3,0,1,0,"[Cafe; Restaurant;Campus]","[Friends]","[Browsing the Internet; using social media;Talking; texting; socializing]","[Friends]"
"12","tdfcutuk",2018-10-30 15:53:42,2,2,0,1,1,"[Campus]","[No one; alone]","[Attending classes; meetings;Studying; reading; preparing for an exam;Talking; texting; socializing]","[No one; alone]"
"13","tdfcutuk",2018-11-01 15:44:58,3,3,0,2,0,"[Campus]","[No one; alone]","[Attending classes; meetings;Studying; reading; preparing for an exam]","[No one; alone]"
"14","tdfcutuk",2018-11-03 10:12:00,2,3,1,1,1,"[Campus;Friend's house;Home (dorm; apartment)]","[Friends;No one; alone]","[Commuting; traveling;None of the above; Other]","[Talking in person;Talking on the phone;Text messaging on the phone]"
