"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","tfmnc42t",2018-10-10 11:43:48,0,1,2,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"2","tfmnc42t",2018-10-10 15:30:04,0,2,1,0,2,"Home (dorm; apartment)","No one; alone","Studying; reading; preparing for an exam","No one; alone"
"3","tfmnc42t",2018-10-10 18:31:31,0,1,1,0,2,"[Home (dorm; apartment)]","[Roommates]","[Studying; reading; preparing for an exam]","[Roommates]"
"4","tfmnc42t",2018-10-11 12:08:22,0,0,1,0,2,"[Home (dorm; apartment)]","[Roommates]","[Eating; drinking;Watching TV; movies]","[Roommates]"
"5","tfmnc42t",2018-10-11 18:58:10,0,0,2,0,3,"[Home (dorm; apartment)]","[No one; alone]","[Doing household chores; running errands;Eating; drinking;Resting; napping; doing nothing;None of the above; Other]","[No one; alone]"
"6","tfmnc42t",2018-10-15 20:20:47,0,0,2,0,2,"[Home (dorm; apartment)]","[Roommates]","[Browsing the Internet; using social media;Eating; drinking;Watching TV; movies]","[Roommates]"
"7","tfmnc42t",2018-10-16 10:47:58,0,1,1,0,1,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Not applicable; was not interacting with anyone]"
"8","tfmnc42t",2018-10-16 12:00:44,0,1,1,0,2,"[Cafe; Restaurant;Campus]","[Classmates; students]","[Browsing the Internet; using social media;Eating; drinking]","[Classmates; students]"
"9","tfmnc42t",2018-10-16 15:17:54,0,0,1,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings;Browsing the Internet; using social media]","[Classmates; students]"
"10","tfmnc42t",2018-10-17 00:00:35,0,1,2,0,2,"[Home (dorm; apartment)]","[Roommates]","[Browsing the Internet; using social media]","[Roommates]"
"11","tfmnc42t",2018-10-17 10:49:33,1,1,1,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"12","tfmnc42t",2018-10-17 12:07:00,0,0,1,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media;Eating; drinking]","[No one; alone]"
"13","tfmnc42t",2018-10-19 11:45:45,0,0,2,0,4,"[Home (dorm; apartment)]","[Roommates]","[Resting; napping; doing nothing]","[Talking in person]"
"14","tfmnc42t",2018-10-22 09:37:03,0,1,1,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media;Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"15","tfmnc42t",2018-10-25 02:30:53,0,1,1,0,1,"[Home (dorm; apartment)]","[Roommates]","[Browsing the Internet; using social media;Resting; napping; doing nothing]","[Roommates]"
"16","tfmnc42t",2018-10-30 09:39:41,0,1,1,0,1,"[Campus]","[None of the above; Other]","[Attending classes; meetings;Commuting; traveling]","[Not applicable; was not interacting with anyone]"
