"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","tmnfjczs",2018-10-23 18:04:49,0,0,3,0,3,"[Gym]","[Friends]","[Exercising; physical activity; sports]","[Friends]"
"2","tmnfjczs",2018-10-24 10:14:25,0,1,1,0,1,"[Campus]","[None of the above; Other]","[Attending classes; meetings]","[Talking in person]"
"3","tmnfjczs",2018-10-24 15:01:26,0,0,2,0,3,"[Home (dorm; apartment)]","[Friends;Roommates;Significant other]","[Browsing the Internet; using social media]","[Friends;Roommates;Significant other]"
"4","tmnfjczs",2018-10-24 21:01:17,0,0,3,0,3,"[Friend’s house]","[Friends;Roommates;Significant other;Strangers]","[Talking; texting; socializing]","[Friends;Roommates;Significant other;Strangers]"
"5","tmnfjczs",2018-10-25 09:22:58,0,0,2,0,2,"[Campus]","[Classmates; students;Friends]","[Attending classes; meetings]","[Talking in person]"
"6","tmnfjczs",2018-10-25 15:02:01,0,0,3,0,3,"[Campus]","[Classmates; students;Friends;Roommates]","[Attending classes; meetings]","[Classmates; students;Friends;Roommates]"
"7","tmnfjczs",2018-10-25 18:18:18,0,0,3,1,4,"[Store / Mall]","[Friends;Roommates;Strangers]","[Talking; texting; socializing]","[Friends;Roommates;Strangers]"
"8","tmnfjczs",2018-10-26 12:01:34,0,3,3,0,3,"[Campus]","[Friends;Strangers]","[Attending classes; meetings]","[Friends;Strangers]"
"9","tmnfjczs",2018-10-26 15:03:15,0,0,3,0,4,"[Friend’s house]","[Friends;Roommates;Significant other;Strangers]","[Talking; texting; socializing]","[Friends;Roommates;Significant other;Strangers]"
"10","tmnfjczs",2018-10-26 18:02:06,0,0,3,0,4,"[Campus]","[Friends]","[Talking; texting; socializing]","[Friends]"
"11","tmnfjczs",2018-10-27 15:01:26,0,0,3,0,4,"[Cafe; Restaurant]","[Friends]","[Eating; drinking;Talking; texting; socializing]","[Friends]"
"12","tmnfjczs",2018-10-27 18:00:59,0,0,3,0,4,"[Home (dorm; apartment)]","[Friends;Roommates;Significant other]","[Talking; texting; socializing]","[Friends;Roommates;Significant other]"
"13","tmnfjczs",2018-10-28 13:06:14,0,0,3,3,4,"[Home (dorm; apartment);None of the above; other]","[Roommates]","[None of the above; Other]","[Talking in person]"
"14","tmnfjczs",2018-10-28 18:10:24,0,0,3,0,4,"[Campus]","[Friends;Roommates;Significant other]","[Eating; drinking;Talking; texting; socializing]","[Friends;Roommates;Significant other]"
"15","tmnfjczs",2018-10-29 09:43:43,0,0,2,0,2,"[Home (dorm; apartment)]","[None of the above; Other]","[Resting; napping; doing nothing]","[Text messaging on the phone]"
"16","tmnfjczs",2018-10-29 13:47:21,0,0,3,0,1,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media]","[No one; alone]"
"17","tmnfjczs",2018-10-29 15:03:52,0,0,3,0,4,"[Home (dorm; apartment)]","[Friends;Roommates]","[Studying; reading; preparing for an exam;Talking; texting; socializing]","[Friends;Roommates]"
"18","tmnfjczs",2018-10-29 18:03:35,0,0,3,0,4,"[Home (dorm; apartment)]","[Roommates]","[Studying; reading; preparing for an exam]","[Roommates]"
"19","tmnfjczs",2018-10-30 12:01:37,0,0,3,0,3,"[Home (dorm; apartment)]","[Roommates;Significant other]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"20","tmnfjczs",2018-10-30 15:00:45,0,2,2,0,4,"[Campus]","[No one; alone]","[Attending classes; meetings;Studying; reading; preparing for an exam]","[No one; alone]"
"21","tmnfjczs",2018-10-30 18:00:31,0,0,1,0,3,"[Home (dorm; apartment)]","[Roommates;Significant other]","[Studying; reading; preparing for an exam]","[Roommates;Significant other]"
"22","tmnfjczs",2018-10-31 11:32:12,0,1,3,0,3,"[Campus]","[Friends;Strangers]","[Attending classes; meetings]","[Talking in person]"
"23","tmnfjczs",2018-10-31 14:49:28,0,0,1,0,4,"[Campus]","[Strangers]","[Resting; napping; doing nothing]","[Strangers]"
"24","tmnfjczs",2018-10-31 15:23:07,0,0,3,0,4,"[Cafe; Restaurant]","[Significant other;Strangers]","[Eating; drinking]","[Significant other;Strangers]"
"25","tmnfjczs",2018-10-31 18:09:50,0,0,2,0,4,"[Gym]","[Friends;Strangers]","[Exercising; physical activity; sports]","[Friends;Strangers]"
"26","tmnfjczs",2018-11-01 15:27:34,0,0,3,0,3,"[Campus]","[Friends;Strangers]","[Attending classes; meetings;Talking; texting; socializing]","[Friends;Strangers]"
"27","tmnfjczs",2018-11-01 19:32:25,0,0,3,0,4,"[Home (dorm; apartment)]","[Roommates;Significant other;Strangers]","[Studying; reading; preparing for an exam]","[Roommates;Significant other;Strangers]"
