"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","u68or59e",2018-10-12 09:15:03,2,2,1,1,2,"[Campus;Home (dorm; apartment)]","[Roommates]","[Resting; napping; doing nothing]","[Text messaging on the phone;Interacting on Snapchat]"
"2","u68or59e",2018-10-12 12:01:04,1,2,1,1,1,"[Campus]","[Classmates; students]","[Attending classes; meetings;Commuting; traveling]","[Classmates; students]"
"3","u68or59e",2018-10-12 15:01:06,0,2,1,1,1,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"4","u68or59e",2018-10-12 18:45:16,0,1,3,0,3,"[Campus]","[Friends]","[Commuting; traveling]","[Friends]"
"5","u68or59e",2018-10-13 12:00:45,0,1,2,0,0,"[Campus;Home (dorm; apartment)]","[Friends;Roommates]","[Browsing the Internet; using social media;Resting; napping; doing nothing]","[Friends;Roommates]"
"6","u68or59e",2018-10-13 20:08:05,3,3,0,2,1,"[Campus;Library]","[No one; alone;Strangers]","[Studying; reading; preparing for an exam]","[No one; alone;Strangers]"
"7","u68or59e",2018-10-14 14:30:23,1,2,2,0,2,"[Campus;Home (dorm; apartment)]","[Friends;Roommates;Significant other]","[Resting; napping; doing nothing]","[Friends;Roommates;Significant other]"
"8","u68or59e",2018-10-14 19:10:54,0,1,2,0,3,"[Cafe; Restaurant;Campus]","[Significant other]","[Commuting; traveling]","[Significant other]"
"9","u68or59e",2018-10-15 17:36:15,3,3,0,0,0,"[Campus]","[Significant other]","[Attending classes; meetings]","[Significant other]"
"10","u68or59e",2018-10-17 00:22:12,1,3,2,1,0,"[Campus;Home (dorm; apartment)]","[Roommates]","[Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
"11","u68or59e",2018-10-17 10:16:16,1,1,2,1,0,"[Campus;Home (dorm; apartment)]","[Classmates; students;Roommates]","[Attending classes; meetings]","[Talking in person;Text messaging on the phone;Interacting on Snapchat;Interacting on Twitter]"
"12","u68or59e",2018-10-18 11:32:01,1,2,1,1,0,"[Campus;Home (dorm; apartment)]","[Friends;Roommates]","[Browsing the Internet; using social media;Watching TV; movies]","[Friends;Roommates]"
"13","u68or59e",2018-10-18 12:04:34,0,2,1,1,2,"[Campus;Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam;Talking; texting; socializing]","[No one; alone]"
"14","u68or59e",2018-10-18 16:01:11,1,1,2,0,1,"[Campus]","[Classmates; students]","[Attending classes; meetings;Commuting; traveling;Studying; reading; preparing for an exam]","[Classmates; students]"
