"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","v5ij6dm7",2018-10-10 10:12:24,1,3,2,0,3,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person]"
"2","v5ij6dm7",2018-10-10 12:04:29,0,3,1,0,1,"Campus","No one; alone","Studying; reading; preparing for an exam","No one; alone"
"3","v5ij6dm7",2018-10-10 15:05:52,1,3,2,0,1,"Campus","Classmates; students","Attending classes; meetings","Classmates; students"
"4","v5ij6dm7",2018-10-10 18:02:05,0,3,1,0,1,"Home (dorm; apartment)","Friends","Eating; drinking","Friends"
"5","v5ij6dm7",2018-10-11 09:23:36,0,2,1,0,3,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Interacting on Snapchat]"
"6","v5ij6dm7",2018-10-11 12:13:05,0,2,1,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"7","v5ij6dm7",2018-10-12 11:09:56,0,3,1,0,2,"[Campus]","[Classmates; students]","[Studying; reading; preparing for an exam]","[Talking in person]"
"8","v5ij6dm7",2018-10-12 15:00:49,0,1,3,0,4,"[Home (dorm; apartment)]","[Friends]","[Talking; texting; socializing]","[Friends]"
"9","v5ij6dm7",2018-10-13 09:52:38,0,3,1,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Doing household chores; running errands]","[Talking on the phone]"
"10","v5ij6dm7",2018-10-13 12:10:30,0,2,0,0,1,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"11","v5ij6dm7",2018-10-13 21:03:24,0,1,3,0,3,"[Bar; Party]","[Friends]","[Talking; texting; socializing]","[Friends]"
"12","v5ij6dm7",2018-10-14 14:11:10,0,2,2,0,3,"[Home (dorm; apartment)]","[Friends;No one; alone]","[Commuting; traveling;Talking; texting; socializing]","[Friends;No one; alone]"
"13","v5ij6dm7",2018-10-14 18:46:26,0,1,1,0,2,"[None of the above; other]","[Friends]","[None of the above; Other]","[Friends]"
"14","v5ij6dm7",2018-10-15 17:42:47,1,3,1,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[No one; alone]"
"15","v5ij6dm7",2018-10-16 09:01:18,0,2,0,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"16","v5ij6dm7",2018-10-16 12:11:37,1,3,0,3,1,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"17","v5ij6dm7",2018-10-16 15:10:34,1,1,0,0,0,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"18","v5ij6dm7",2018-10-16 21:01:28,1,2,1,1,2,"[Campus]","[Classmates; students]","[Studying; reading; preparing for an exam]","[Classmates; students]"
"19","v5ij6dm7",2018-10-17 13:25:16,0,1,2,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"20","v5ij6dm7",2018-10-17 15:12:38,0,0,2,0,3,"[Campus]","[Classmates; students;Friends]","[Attending classes; meetings;Commuting; traveling]","[Classmates; students;Friends]"
"21","v5ij6dm7",2018-10-17 17:41:48,0,1,2,0,0,"[Home (dorm; apartment)]","[Friends]","[Eating; drinking]","[Talking in person;Text messaging on the phone;Interacting on Snapchat]"
"22","v5ij6dm7",2018-10-19 17:26:01,0,1,2,0,2,"[Cafe; Restaurant]","[Family]","[Eating; drinking]","[Family]"
"23","v5ij6dm7",2018-10-20 13:46:55,1,2,1,0,3,"[Home (dorm; apartment)]","[No one; alone]","[Doing household chores; running errands;Talking; texting; socializing]","[No one; alone]"
"24","v5ij6dm7",2018-10-20 21:03:37,0,0,3,0,3,"[None of the above; other]","[Friends]","[Talking; texting; socializing]","[Friends]"
"25","v5ij6dm7",2018-10-21 14:36:07,0,1,2,0,4,"[Gym]","[Friends;No one; alone]","[Exercising; physical activity; sports]","[Friends;No one; alone]"
"26","v5ij6dm7",2018-10-22 00:20:31,0,0,2,0,1,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"27","v5ij6dm7",2018-10-22 20:39:05,0,2,2,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Doing household chores; running errands]","[Text messaging on the phone;Interacting on Snapchat]"
"28","v5ij6dm7",2018-10-23 17:43:29,0,2,1,0,3,"[Home (dorm; apartment)]","[No one; alone]","[Doing household chores; running errands]","[Text messaging on the phone;Interacting on Snapchat]"
"29","v5ij6dm7",2018-10-23 20:27:55,0,1,2,0,4,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"30","v5ij6dm7",2018-10-26 21:05:18,0,1,2,0,3,"[Vehicle]","[Family]","[Commuting; traveling]","[Family]"
"31","v5ij6dm7",2018-10-28 10:54:37,0,0,2,0,3,"[Home (dorm; apartment)]","[Friends]","[Talking; texting; socializing]","[Friends]"
"32","v5ij6dm7",2018-10-29 10:18:08,0,1,1,0,2,"[Campus]","[Friends]","[Commuting; traveling]","[Friends]"
"33","v5ij6dm7",2018-10-29 17:04:10,0,3,1,0,2,"[Gym]","[No one; alone]","[Exercising; physical activity; sports]","[No one; alone]"
