"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","v933vith",2018-10-14 19:21:41,0,2,1,0,2,"[Campus]","[Classmates; students;Friends;No one; alone]","[Studying; reading; preparing for an exam]","[Classmates; students;Friends;No one; alone]"
"2","v933vith",2018-10-15 16:24:01,0,1,1,0,3,"[Cafe; Restaurant;Campus]","[No one; alone]","[Eating; drinking]","[No one; alone]"
"3","v933vith",2018-10-15 18:03:08,0,1,1,0,2,"[Campus]","[Friends]","[Commuting; traveling]","[Friends]"
"4","v933vith",2018-10-16 09:01:13,0,1,1,0,0,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media;Eating; drinking]","[Text messaging on the phone]"
"5","v933vith",2018-10-16 13:14:37,1,2,2,0,3,"[Campus]","[Friends]","[Attending classes; meetings;Browsing the Internet; using social media;Studying; reading; preparing for an exam]","[Friends]"
"6","v933vith",2018-10-16 16:51:29,0,1,1,0,2,"[Campus]","[No one; alone;Strangers]","[Attending classes; meetings]","[No one; alone;Strangers]"
"7","v933vith",2018-10-16 18:37:02,0,1,1,0,2,"[Campus]","[Classmates; students;Friends]","[Talking; texting; socializing]","[Classmates; students;Friends]"
"8","v933vith",2018-10-17 12:25:20,1,2,1,0,0,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person]"
"9","v933vith",2018-10-17 15:32:23,1,2,1,1,2,"[Campus;Home (dorm; apartment)]","[No one; alone]","[Commuting; traveling]","[No one; alone]"
"10","v933vith",2018-10-17 18:20:12,0,1,1,0,2,"[Home (dorm; apartment)]","[Friends]","[Browsing the Internet; using social media;Doing household chores; running errands;Eating; drinking;Studying; reading; preparing for an exam]","[Friends]"
"11","v933vith",2018-10-18 10:02:05,0,2,1,0,0,"[Campus]","[Classmates; students;Friends]","[Attending classes; meetings]","[Talking in person;Interacting on Snapchat]"
"12","v933vith",2018-10-18 17:12:36,0,2,0,0,3,"[Home (dorm; apartment)]","[No one; alone]","[Doing household chores; running errands;Talking; texting; socializing]","[No one; alone]"
"13","v933vith",2018-10-19 15:20:35,0,1,1,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"14","v933vith",2018-10-20 15:16:35,0,1,1,0,2,"[Campus]","[Classmates; students;Friends]","[Studying; reading; preparing for an exam]","[Classmates; students;Friends]"
"15","v933vith",2018-10-20 20:56:58,0,2,1,0,2,"[Campus]","[Classmates; students;Friends]","[Studying; reading; preparing for an exam]","[Classmates; students;Friends]"
"16","v933vith",2018-10-21 11:01:56,0,2,1,0,0,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media;Doing household chores; running errands;Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"17","v933vith",2018-10-21 13:13:46,0,2,1,1,1,"[Campus]","[No one; alone]","[Commuting; traveling]","[No one; alone]"
"18","v933vith",2018-10-22 12:32:08,0,1,1,0,2,"[Campus]","[Classmates; students;Friends]","[Attending classes; meetings]","[Talking in person;Text messaging on the phone]"
"19","v933vith",2018-10-22 16:50:16,0,2,1,0,2,"[Campus;Home (dorm; apartment)]","[No one; alone]","[Commuting; traveling;Doing household chores; running errands;Eating; drinking]","[No one; alone]"
"20","v933vith",2018-10-23 13:58:21,1,2,1,1,1,"[Campus]","[Friends]","[Commuting; traveling]","[Talking in person]"
"21","v933vith",2018-10-23 16:19:31,0,1,1,0,3,"[Campus]","[No one; alone]","[Attending classes; meetings]","[No one; alone]"
"22","v933vith",2018-10-24 10:58:49,0,1,1,0,0,"[Home (dorm; apartment)]","[No one; alone]","[Doing household chores; running errands;Eating; drinking]","[Not applicable; was not interacting with anyone]"
"23","v933vith",2018-10-24 13:17:27,0,1,1,0,1,"[Campus]","[Classmates; students]","[Studying; reading; preparing for an exam]","[Classmates; students]"
"24","v933vith",2018-10-24 17:04:37,1,1,1,1,0,"[Home (dorm; apartment)]","[No one; alone]","[Commuting; traveling;Studying; reading; preparing for an exam]","[No one; alone]"
"25","v933vith",2018-10-25 11:59:38,0,0,1,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"26","v933vith",2018-10-26 18:09:26,0,0,2,0,3,"[Vehicle]","[Friends]","[Commuting; traveling]","[Friends]"
"27","v933vith",2018-10-27 19:50:38,1,1,1,1,1,"[Home (dorm; apartment)]","[Friends;No one; alone]","[Commuting; traveling]","[Talking in person]"
"28","v933vith",2018-10-28 17:46:50,0,1,1,0,3,"[Campus]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"29","v933vith",2018-10-29 09:53:12,0,0,0,0,0,"[Home (dorm; apartment)]","[No one; alone]","[Doing household chores; running errands]","[Not applicable; was not interacting with anyone]"
"30","v933vith",2018-10-29 13:33:45,0,1,1,0,2,"[Campus]","[Classmates; students]","[Studying; reading; preparing for an exam]","[Classmates; students]"
"31","v933vith",2018-10-29 18:27:34,0,0,1,0,2,"[Home (dorm; apartment);Vehicle]","[Friends;No one; alone;Roommates]","[Commuting; traveling;Eating; drinking;Talking; texting; socializing]","[Friends;No one; alone;Roommates]"
"32","v933vith",2018-10-30 11:15:46,0,1,1,0,1,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Text messaging on the phone]"
"33","v933vith",2018-10-31 02:32:32,2,3,0,2,0,"[Campus;Home (dorm; apartment)]","[Friends]","[Studying; reading; preparing for an exam]","[Friends]"
"34","v933vith",2018-10-31 10:58:45,1,2,0,0,0,"[Campus]","[No one; alone]","[Commuting; traveling]","[Not applicable; was not interacting with anyone]"
"35","v933vith",2018-10-31 13:06:13,1,2,1,1,1,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing;Talking; texting; socializing]","[No one; alone]"
"36","v933vith",2018-10-31 16:50:10,0,1,1,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"37","v933vith",2018-10-31 18:01:57,0,1,1,0,2,"[Campus]","[Friends]","[Commuting; traveling;Talking; texting; socializing]","[Friends]"
