"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","vp9twrgq",2018-10-10 10:43:36,2,2,1,2,2,"[Campus;Vehicle]","[No one; alone]","[None of the above; Other]","[Not applicable; was not interacting with anyone]"
"2","vp9twrgq",2018-10-10 12:14:30,1,2,2,2,2,"Campus","Classmates; students","Attending classes; meetings","Classmates; students"
"3","vp9twrgq",2018-10-10 20:28:43,2,2,2,2,2,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[No one; alone]"
"4","vp9twrgq",2018-10-11 09:14:57,1,1,1,1,2,"[Vehicle]","[Classmates; students]","[Commuting; traveling]","[Not applicable; was not interacting with anyone]"
"5","vp9twrgq",2018-10-11 12:01:47,1,1,1,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"6","vp9twrgq",2018-10-11 21:01:52,1,2,2,1,1,"[Home (dorm; apartment)]","[No one; alone]","[Eating; drinking]","[No one; alone]"
"7","vp9twrgq",2018-10-12 12:01:49,0,1,2,0,3,"[Cafe; Restaurant]","[Friends]","[Eating; drinking]","[Friends]"
"8","vp9twrgq",2018-10-12 16:40:13,3,1,0,1,1,"[Home (dorm; apartment)]","[No one; alone]","[Doing household chores; running errands]","[No one; alone]"
"9","vp9twrgq",2018-10-12 20:38:13,0,1,3,0,3,"[Home (dorm; apartment)]","[Significant other]","[Resting; napping; doing nothing]","[Significant other]"
"10","vp9twrgq",2018-10-16 12:28:49,2,2,1,3,1,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media]","[No one; alone]"
"11","vp9twrgq",2018-10-16 15:51:22,1,2,2,1,1,"[Home (dorm; apartment)]","[Roommates]","[Attending classes; meetings]","[Roommates]"
"12","vp9twrgq",2018-10-16 18:01:12,2,2,2,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Doing household chores; running errands]","[No one; alone]"
"13","vp9twrgq",2018-10-17 20:22:33,2,2,2,2,2,"[Home (dorm; apartment)]","[Significant other]","[Browsing the Internet; using social media]","[Significant other]"
"14","vp9twrgq",2018-10-17 23:41:07,1,1,1,1,1,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[Video-chatting]"
"15","vp9twrgq",2018-10-19 17:39:38,1,1,1,1,1,"[Library]","[Friends]","[Browsing the Internet; using social media]","[Friends]"
"16","vp9twrgq",2018-10-19 18:00:43,1,1,2,1,1,"[Vehicle]","[Family]","[Commuting; traveling]","[Family]"
"17","vp9twrgq",2018-10-20 11:28:45,1,1,1,1,3,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"18","vp9twrgq",2018-10-21 11:41:49,1,2,1,1,3,"[Home (dorm; apartment)]","[None of the above; Other]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"19","vp9twrgq",2018-10-21 15:06:23,2,2,1,2,2,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"20","vp9twrgq",2018-10-22 16:42:16,2,1,2,2,2,"[Campus]","[Friends]","[Studying; reading; preparing for an exam]","[Friends]"
"21","vp9twrgq",2018-10-23 09:01:03,1,1,1,1,1,"[Vehicle]","[Strangers]","[Commuting; traveling]","[Interacting on Instagram;Interacting on Snapchat;Interacting on Twitter]"
"22","vp9twrgq",2018-10-23 15:57:21,2,2,2,2,2,"[Gym]","[Friends]","[Exercising; physical activity; sports]","[Friends]"
"23","vp9twrgq",2018-10-23 20:21:56,1,3,1,1,1,"[Home (dorm; apartment)]","[Roommates]","[Studying; reading; preparing for an exam]","[Roommates]"
"24","vp9twrgq",2018-10-24 09:01:00,1,1,1,1,1,"[None of the above; other]","[Strangers]","[Talking; texting; socializing]","[Talking in person;Interacting on Instagram;Interacting on Snapchat;Interacting on Twitter]"
"25","vp9twrgq",2018-10-24 18:00:54,1,2,1,1,2,"[Friend’s house]","[Friends]","[Browsing the Internet; using social media;Commuting; traveling;Talking; texting; socializing]","[Friends]"
"26","vp9twrgq",2018-10-25 09:04:19,1,2,1,2,2,"[Vehicle]","[Strangers]","[Commuting; traveling]","[Text messaging on the phone]"
"27","vp9twrgq",2018-10-28 14:22:52,1,1,1,1,1,"[Home (dorm; apartment)]","[No one; alone]","[Eating; drinking]","[No one; alone]"
"28","vp9twrgq",2018-10-28 15:00:55,1,1,2,1,1,"[Home (dorm; apartment)]","[Significant other]","[Resting; napping; doing nothing]","[Significant other]"
"29","vp9twrgq",2018-10-29 15:01:23,1,1,1,1,1,"[Campus]","[Friends]","[Attending classes; meetings]","[Friends]"
"30","vp9twrgq",2018-10-29 19:52:30,1,3,0,2,1,"[Home (dorm; apartment)]","[No one; alone]","[Doing household chores; running errands]","[No one; alone]"
"31","vp9twrgq",2018-10-31 10:02:35,1,1,1,1,3,"[Vehicle]","[No one; alone]","[Commuting; traveling]","[Talking in person]"
