"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","vufdmd15",2018-10-10 10:12:00,0,0,1,0,2,"[Campus;Home (dorm; apartment)]","[No one; alone]","[Attending classes; meetings]","[Talking in person]"
"2","vufdmd15",2018-10-10 12:01:53,0,0,3,0,3,"Campus","Classmates; students","Attending classes; meetings","Classmates; students"
"3","vufdmd15",2018-10-10 15:02:29,0,0,3,1,3,"Cafe; Restaurant","Friends","Eating; drinking","Friends"
"4","vufdmd15",2018-10-11 09:17:17,0,0,2,1,2,"[Home (dorm; apartment)]","[No one; alone;Significant other]","[Resting; napping; doing nothing]","[Skip question]"
"5","vufdmd15",2018-10-11 15:03:18,0,0,2,1,3,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"6","vufdmd15",2018-10-11 18:42:22,0,0,3,1,4,"[Home (dorm; apartment)]","[Friends]","[Talking; texting; socializing]","[Friends]"
"7","vufdmd15",2018-10-12 12:07:12,0,0,3,0,4,"[Home (dorm; apartment)]","[Friends]","[Resting; napping; doing nothing]","[Friends]"
"8","vufdmd15",2018-10-12 15:25:16,0,0,3,1,2,"[Home (dorm; apartment)]","[Friends;Roommates]","[Studying; reading; preparing for an exam;Talking; texting; socializing]","[Friends;Roommates]"
"9","vufdmd15",2018-10-12 20:38:47,1,1,1,1,1,"[Campus]","[Classmates; students;Friends;Strangers]","[None of the above; Other]","[Classmates; students;Friends;Strangers]"
"10","vufdmd15",2018-10-13 15:44:13,0,0,2,1,2,"[Campus]","[Classmates; students;Friends;Strangers]","[None of the above; Other]","[Classmates; students;Friends;Strangers]"
"11","vufdmd15",2018-10-13 19:26:02,0,1,3,0,3,"[Store / Mall]","[Friends;Strangers]","[Talking; texting; socializing]","[Friends;Strangers]"
"12","vufdmd15",2018-10-14 14:06:03,0,0,3,0,3,"[Campus;Home (dorm; apartment)]","[Friends;Roommates]","[Resting; napping; doing nothing;Talking; texting; socializing]","[Friends;Roommates]"
"13","vufdmd15",2018-10-15 15:38:19,0,1,3,1,2,"[Campus;Home (dorm; apartment)]","[No one; alone;Roommates]","[Browsing the Internet; using social media;Studying; reading; preparing for an exam]","[No one; alone;Roommates]"
"14","vufdmd15",2018-10-15 18:22:19,0,0,3,1,2,"[Friend’s house]","[Classmates; students;Friends]","[Eating; drinking;Talking; texting; socializing]","[Classmates; students;Friends]"
"15","vufdmd15",2018-10-16 09:21:10,0,2,1,1,2,"[Home (dorm; apartment)]","[Roommates]","[Resting; napping; doing nothing;Talking; texting; socializing]","[Talking in person;Text messaging on the phone]"
"16","vufdmd15",2018-10-16 12:02:17,0,1,2,1,1,"[Home (dorm; apartment)]","[No one; alone;Roommates]","[Attending classes; meetings;Browsing the Internet; using social media;Resting; napping; doing nothing;Talking; texting; socializing]","[No one; alone;Roommates]"
"17","vufdmd15",2018-10-16 15:17:56,0,1,2,1,2,"[Campus]","[Classmates; students;Strangers]","[Attending classes; meetings;Browsing the Internet; using social media;Eating; drinking;Talking; texting; socializing]","[Classmates; students;Strangers]"
"18","vufdmd15",2018-10-16 18:41:25,0,0,2,0,2,"[Cafe; Restaurant;Campus]","[No one; alone]","[Commuting; traveling;Eating; drinking;Talking; texting; socializing]","[No one; alone]"
"19","vufdmd15",2018-10-17 09:02:01,1,0,1,2,2,"[Home (dorm; apartment)]","[Friends;Roommates]","[Resting; napping; doing nothing;Talking; texting; socializing]","[Talking in person;Talking on the phone]"
