"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","w1xuearb",2018-10-10 10:02:08,1,3,1,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"2","w1xuearb",2018-10-10 12:01:20,1,2,2,0,3,"Fraternity; Sorority House","Friends","Eating; drinking","Friends"
"3","w1xuearb",2018-10-10 16:17:54,1,3,1,0,2,"Campus","Classmates; students","Attending classes; meetings","Classmates; students"
"4","w1xuearb",2018-10-10 18:01:02,1,3,0,1,1,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"5","w1xuearb",2018-10-11 10:48:27,1,2,1,0,1,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Not applicable; was not interacting with anyone]"
"6","w1xuearb",2018-10-11 13:15:07,1,3,1,1,2,"[Campus]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"7","w1xuearb",2018-10-11 15:56:34,1,3,2,1,3,"[Cafe; Restaurant]","[Classmates; students;Friends]","[Attending classes; meetings;Eating; drinking;Studying; reading; preparing for an exam;Talking; texting; socializing]","[Classmates; students;Friends]"
"8","w1xuearb",2018-10-11 19:29:54,0,2,3,0,3,"[Gym]","[Classmates; students;Friends]","[Exercising; physical activity; sports]","[Classmates; students;Friends]"
"9","w1xuearb",2018-10-12 10:20:11,0,1,3,0,3,"[Store/Mall]","[No one; alone]","[Commuting; traveling]","[Talking in person]"
"10","w1xuearb",2018-10-13 12:13:40,0,2,2,1,3,"[Cafe; Restaurant]","[Family]","[Eating; drinking;Talking; texting; socializing]","[Family]"
"11","w1xuearb",2018-10-13 15:50:27,1,3,1,0,3,"[Campus]","[Classmates; students;Friends]","[Talking; texting; socializing;None of the above; Other]","[Classmates; students;Friends]"
"12","w1xuearb",2018-10-13 18:42:50,0,2,3,0,3,"[Campus]","[Classmates; students;Friends]","[Exercising; physical activity; sports]","[Classmates; students;Friends]"
"13","w1xuearb",2018-10-14 23:50:52,1,3,2,0,1,"[None of the above; other]","[Friends]","[None of the above; Other]","[Friends]"
"14","w1xuearb",2018-10-15 10:22:26,1,3,1,0,1,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media;Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"15","w1xuearb",2018-10-15 12:05:02,1,2,2,0,3,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media;Doing household chores; running errands;Watching TV; movies]","[No one; alone]"
"16","w1xuearb",2018-10-17 10:37:50,1,2,1,0,3,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"17","w1xuearb",2018-10-17 12:30:31,1,2,2,0,3,"[Campus]","[Classmates; students;Friends]","[Attending classes; meetings]","[Classmates; students;Friends]"
"18","w1xuearb",2018-10-17 15:06:16,1,2,1,0,3,"[Campus]","[Classmates; students;Friends]","[Attending classes; meetings]","[Classmates; students;Friends]"
"19","w1xuearb",2018-10-17 18:11:03,1,2,2,0,2,"[Vehicle]","[No one; alone]","[Commuting; traveling]","[No one; alone]"
"20","w1xuearb",2018-10-18 18:00:41,1,3,1,0,2,"[Vehicle]","[Classmates; students;Friends]","[Commuting; traveling]","[Classmates; students;Friends]"
"21","w1xuearb",2018-10-19 09:00:50,1,3,1,0,2,"[Campus]","[No one; alone]","[Commuting; traveling]","[Not applicable; was not interacting with anyone]"
"22","w1xuearb",2018-10-19 12:01:47,0,3,2,0,3,"[Fraternity; Sorority House]","[Classmates; students;Friends]","[Browsing the Internet; using social media;Eating; drinking;Talking; texting; socializing;Watching TV; movies]","[Classmates; students;Friends]"
"23","w1xuearb",2018-10-19 15:14:33,3,3,1,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Doing household chores; running errands]","[No one; alone]"
"24","w1xuearb",2018-10-19 19:30:55,2,3,2,0,3,"[Friend’s house]","[Significant other]","[Talking; texting; socializing]","[Significant other]"
"25","w1xuearb",2018-10-20 15:23:18,1,2,1,0,2,"[Friend’s house]","[Significant other]","[Talking; texting; socializing;Watching TV; movies]","[Significant other]"
"26","w1xuearb",2018-10-21 12:56:23,2,3,2,1,1,"[Home (dorm; apartment)]","[Family]","[Browsing the Internet; using social media;Resting; napping; doing nothing]","[Family]"
"27","w1xuearb",2018-10-21 17:38:05,2,3,2,1,2,"[Cafe; Restaurant]","[Family;Significant other]","[Eating; drinking;Talking; texting; socializing]","[Family;Significant other]"
"28","w1xuearb",2018-10-21 18:01:00,2,3,2,0,2,"[Vehicle]","[Family;Significant other]","[Commuting; traveling]","[Family;Significant other]"
"29","w1xuearb",2018-10-22 11:29:28,2,3,1,1,1,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing;Watching TV; movies]","[Not applicable; was not interacting with anyone]"
"30","w1xuearb",2018-10-22 22:41:04,3,3,0,1,1,"[Friend’s house]","[Classmates; students;Friends]","[Talking; texting; socializing]","[Classmates; students;Friends]"
"31","w1xuearb",2018-10-23 09:12:51,2,3,1,1,1,"[Home (dorm; apartment)]","[No one; alone]","[Doing household chores; running errands;Watching TV; movies]","[Not applicable; was not interacting with anyone]"
"32","w1xuearb",2018-10-23 12:49:30,3,3,0,1,1,"[Home (dorm; apartment)]","[No one; alone]","[Eating; drinking]","[No one; alone]"
"33","w1xuearb",2018-10-23 15:26:35,3,3,0,2,1,"[Home (dorm; apartment)]","[No one; alone;Roommates]","[Watching TV; movies]","[No one; alone;Roommates]"
