"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","wega8h6t",2018-10-10 09:07:53,0,0,2,0,0,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"2","wega8h6t",2018-10-10 12:09:52,0,2,1,0,2,"Library","Classmates; students","Studying; reading; preparing for an exam","Classmates; students"
"3","wega8h6t",2018-10-10 15:01:06,0,3,1,0,1,"[Home (dorm; apartment)]","[Roommates]","[Browsing the Internet; using social media]","[Roommates]"
"4","wega8h6t",2018-10-10 18:01:41,0,3,1,0,1,"[None of the above; other]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"5","wega8h6t",2018-10-11 09:22:07,0,3,1,0,2,"[Campus]","[Strangers]","[Commuting; traveling]","[Interacting on Snapchat;Interacting on Twitter]"
"6","wega8h6t",2018-10-11 12:16:33,0,3,1,0,2,"[Library]","[Strangers]","[Studying; reading; preparing for an exam]","[Strangers]"
"7","wega8h6t",2018-10-11 15:13:24,0,3,2,0,2,"[Library]","[Strangers]","[Studying; reading; preparing for an exam]","[Strangers]"
"8","wega8h6t",2018-10-11 18:25:22,0,3,2,0,2,"[Campus]","[Strangers]","[Commuting; traveling]","[Strangers]"
"9","wega8h6t",2018-10-12 11:59:29,0,3,2,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person]"
"10","wega8h6t",2018-10-12 13:29:19,0,3,1,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"11","wega8h6t",2018-10-12 19:02:38,0,3,1,1,2,"[Campus]","[Classmates; students]","[Studying; reading; preparing for an exam]","[Classmates; students]"
"12","wega8h6t",2018-10-13 12:06:39,0,3,1,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[No one; alone]"
"13","wega8h6t",2018-10-13 15:06:11,0,3,2,0,3,"[None of the above; other]","[Classmates; students;Friends;Strangers]","[Talking; texting; socializing;None of the above; Other]","[Classmates; students;Friends;Strangers]"
"14","wega8h6t",2018-10-13 19:55:26,0,3,1,0,2,"[Home (dorm; apartment)]","[Friends;Roommates]","[Studying; reading; preparing for an exam]","[Friends;Roommates]"
"15","wega8h6t",2018-10-15 12:18:57,0,3,2,0,3,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"16","wega8h6t",2018-10-15 16:09:29,0,3,1,0,2,"[Campus;Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media;Watching TV; movies]","[No one; alone]"
"17","wega8h6t",2018-10-16 10:58:40,0,3,1,0,1,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person;Text messaging on the phone;Interacting on Snapchat;Interacting on Twitter]"
"18","wega8h6t",2018-10-16 15:00:59,0,3,2,0,3,"[Campus;Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"19","wega8h6t",2018-10-16 20:55:46,0,1,2,0,3,"[Campus;Home (dorm; apartment)]","[Classmates; students]","[Attending classes; meetings;Studying; reading; preparing for an exam]","[Classmates; students]"
"20","wega8h6t",2018-10-17 13:04:12,0,3,1,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"21","wega8h6t",2018-10-17 19:07:27,1,0,0,0,1,"[Campus;Home (dorm; apartment)]","[No one; alone]","[Eating; drinking;Resting; napping; doing nothing]","[No one; alone]"
"22","wega8h6t",2018-10-18 09:28:16,0,1,0,0,1,"[Campus;Home (dorm; apartment)]","[Strangers]","[Commuting; traveling]","[Talking in person]"
"23","wega8h6t",2018-10-19 18:02:57,0,2,1,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings;Studying; reading; preparing for an exam]","[Classmates; students]"
"24","wega8h6t",2018-10-20 11:16:33,0,0,2,0,2,"[None of the above; other]","[Family]","[Resting; napping; doing nothing]","[Talking in person]"
"25","wega8h6t",2018-10-20 16:00:36,0,0,1,0,2,"[Home (dorm; apartment);None of the above; other]","[Family]","[Talking; texting; socializing;Watching TV; movies]","[Family]"
"26","wega8h6t",2018-10-21 09:42:46,0,2,1,0,2,"[Home (dorm; apartment);None of the above; other]","[Family]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"27","wega8h6t",2018-10-21 15:31:05,2,2,0,0,1,"[Vehicle]","[Family]","[Commuting; traveling]","[Family]"
"28","wega8h6t",2018-10-22 12:47:19,1,2,0,0,1,"[Campus;Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"29","wega8h6t",2018-10-22 15:30:34,0,2,0,0,0,"[Campus]","[Friends]","[Talking; texting; socializing]","[Friends]"
"30","wega8h6t",2018-10-23 12:05:16,1,1,0,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings;Commuting; traveling]","[Classmates; students]"
"31","wega8h6t",2018-10-23 18:39:47,1,2,1,0,1,"[Campus;Home (dorm; apartment)]","[No one; alone]","[Attending classes; meetings;Studying; reading; preparing for an exam]","[No one; alone]"
"32","wega8h6t",2018-10-24 13:27:47,0,2,1,0,2,"[Campus;Home (dorm; apartment)]","[Friends;Roommates]","[Studying; reading; preparing for an exam;Talking; texting; socializing]","[Friends;Roommates]"
"33","wega8h6t",2018-10-24 16:47:22,1,1,1,1,1,"[Campus]","[Friends;Roommates]","[Eating; drinking;Resting; napping; doing nothing;Talking; texting; socializing]","[Friends;Roommates]"
"34","wega8h6t",2018-10-25 09:26:02,0,1,1,0,1,"[Campus;Home (dorm; apartment)]","[Roommates;Strangers]","[Commuting; traveling]","[Text messaging on the phone]"
"35","wega8h6t",2018-10-25 12:00:55,0,1,1,0,1,"[Campus]","[Friends;Roommates]","[Studying; reading; preparing for an exam]","[Friends;Roommates]"
"36","wega8h6t",2018-10-25 16:40:52,0,2,1,0,2,"[Campus;Home (dorm; apartment)]","[Classmates; students;Friends;Roommates]","[Attending classes; meetings]","[Classmates; students;Friends;Roommates]"
"37","wega8h6t",2018-10-25 18:01:50,1,1,1,0,2,"[Campus;Vehicle]","[No one; alone]","[Commuting; traveling]","[No one; alone]"
"38","wega8h6t",2018-10-26 13:34:47,1,2,1,0,2,"[Campus;Home (dorm; apartment)]","[Classmates; students;Friends;Roommates]","[Attending classes; meetings;Commuting; traveling]","[Classmates; students;Friends;Roommates]"
"39","wega8h6t",2018-10-26 19:19:32,1,2,1,0,2,"[Campus;Home (dorm; apartment)]","[Classmates; students;Strangers]","[Attending classes; meetings;Studying; reading; preparing for an exam]","[Classmates; students;Strangers]"
"40","wega8h6t",2018-10-27 10:28:39,1,1,2,0,2,"[Home (dorm; apartment);None of the above; other]","[Family]","[Resting; napping; doing nothing;Watching TV; movies]","[Talking in person;Interacting on Twitter]"
"41","wega8h6t",2018-10-27 17:34:57,0,1,1,0,3,"[Store / Mall]","[Family]","[Commuting; traveling;None of the above; Other]","[Family]"
"42","wega8h6t",2018-10-28 10:38:18,0,2,1,0,1,"[Home (dorm; apartment)]","[Family]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
