"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","wexypda1",2018-10-11 17:00:43,1,2,2,1,2,"[Cafe; Restaurant]","[Classmates; students;Friends;Roommates]","[Eating; drinking]","[Classmates; students;Friends;Roommates]"
"2","wexypda1",2018-10-11 20:26:09,0,1,2,0,3,"[Gym]","[Strangers]","[Exercising; physical activity; sports]","[Strangers]"
"3","wexypda1",2018-10-12 13:08:20,1,1,1,1,2,"[Home (dorm; apartment)]","[Friends;Roommates]","[Resting; napping; doing nothing;Talking; texting; socializing]","[Friends;Roommates]"
"4","wexypda1",2018-10-12 14:27:51,1,1,2,1,3,"[Home (dorm; apartment)]","[Friends;Roommates]","[Watching TV; movies]","[Talking in person]"
"5","wexypda1",2018-10-13 11:49:15,1,1,1,1,1,"[Vehicle]","[No one; alone]","[Commuting; traveling]","[No one; alone]"
"6","wexypda1",2018-10-13 15:01:03,0,0,2,0,2,"[Home (dorm; apartment)]","[Friends;Roommates]","[Watching TV; movies]","[Friends;Roommates]"
"7","wexypda1",2018-10-13 15:40:07,0,1,2,0,2,"[Home (dorm; apartment)]","[Friends;Roommates]","[Watching TV; movies]","[Talking in person]"
"8","wexypda1",2018-10-14 16:14:00,1,1,2,1,3,"[Home (dorm; apartment)]","[Friends;Roommates]","[Studying; reading; preparing for an exam;Talking; texting; socializing;Watching TV; movies]","[Friends;Roommates]"
"9","wexypda1",2018-10-14 20:48:35,1,1,2,1,2,"[Home (dorm; apartment)]","[Friends;Roommates]","[Watching TV; movies]","[Friends;Roommates]"
"10","wexypda1",2018-10-15 09:13:02,1,1,2,1,2,"[Vehicle]","[Friends;No one; alone]","[Commuting; traveling]","[Talking in person]"
"11","wexypda1",2018-10-15 12:28:22,1,1,2,1,2,"[Campus]","[Classmates; students;Roommates]","[Attending classes; meetings]","[Classmates; students;Roommates]"
"12","wexypda1",2018-10-16 16:34:41,1,1,1,1,2,"[Vehicle]","[Friends]","[Commuting; traveling]","[Friends]"
"13","wexypda1",2018-10-17 10:51:01,1,1,1,1,2,"[Campus]","[Classmates; students;Friends]","[Studying; reading; preparing for an exam]","[Talking in person]"
"14","wexypda1",2018-10-17 15:37:09,0,1,2,0,2,"[Campus]","[Roommates]","[Attending classes; meetings]","[Roommates]"
"15","wexypda1",2018-10-18 13:10:16,1,1,2,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[No one; alone]"
"16","wexypda1",2018-10-19 03:01:14,0,0,3,0,4,"[Bar; Party]","[Friends;Roommates;Strangers]","[Talking; texting; socializing]","[Friends;Roommates;Strangers]"
"17","wexypda1",2018-10-20 12:52:15,1,1,2,1,2,"[Home (dorm; apartment)]","[Friends;Roommates]","[None of the above; Other]","[Friends;Roommates]"
"18","wexypda1",2018-10-20 18:29:41,1,1,2,1,2,"[Home (dorm; apartment)]","[Friends;Roommates]","[Talking; texting; socializing]","[Friends;Roommates]"
"19","wexypda1",2018-10-21 13:09:49,1,1,2,1,2,"[Home (dorm; apartment)]","[Friends;Roommates]","[Watching TV; movies]","[Friends;Roommates]"
"20","wexypda1",2018-10-21 20:02:05,1,1,2,1,3,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"21","wexypda1",2018-10-22 11:25:06,1,1,1,1,1,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"22","wexypda1",2018-10-22 15:30:59,0,1,2,1,3,"[Campus]","[Classmates; students;Friends]","[Attending classes; meetings]","[Classmates; students;Friends]"
"23","wexypda1",2018-10-23 12:18:38,1,0,1,1,2,"[Home (dorm; apartment)]","[None of the above; Other]","[Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
"24","wexypda1",2018-10-23 15:51:06,1,1,2,1,3,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"25","wexypda1",2018-10-23 18:45:22,0,1,2,0,3,"[Vehicle]","[Friends]","[Commuting; traveling]","[Friends]"
"26","wexypda1",2018-10-24 12:29:46,1,1,2,1,3,"[Campus]","[No one; alone]","[Attending classes; meetings]","[No one; alone]"
"27","wexypda1",2018-10-24 15:47:56,1,2,2,0,3,"[Campus]","[Classmates; students;Friends]","[Attending classes; meetings]","[Classmates; students;Friends]"
"28","wexypda1",2018-10-24 18:36:17,1,1,2,1,3,"[Home (dorm; apartment)]","[Friends]","[Talking; texting; socializing]","[Friends]"
"29","wexypda1",2018-10-25 12:00:45,0,1,2,1,2,"[Home (dorm; apartment)]","[None of the above; Other]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"30","wexypda1",2018-10-26 14:19:27,0,1,2,1,2,"[Home (dorm; apartment)]","[Friends;Roommates]","[Talking; texting; socializing]","[Friends;Roommates]"
"31","wexypda1",2018-10-26 15:04:01,0,1,2,0,3,"[Home (dorm; apartment)]","[Friends;Roommates]","[Studying; reading; preparing for an exam;Talking; texting; socializing]","[Friends;Roommates]"
"32","wexypda1",2018-10-27 18:14:08,0,1,2,0,3,"[Home (dorm; apartment)]","[Friends;Roommates]","[Watching TV; movies]","[Friends;Roommates]"
"33","wexypda1",2018-10-28 15:41:56,0,1,2,0,3,"[Home (dorm; apartment)]","[Friends;Roommates]","[Studying; reading; preparing for an exam;Talking; texting; socializing]","[Friends;Roommates]"
"34","wexypda1",2018-10-29 14:53:43,1,2,1,0,0,"[Campus]","[Classmates; students;Friends]","[Attending classes; meetings]","[Classmates; students;Friends]"
"35","wexypda1",2018-10-29 19:47:00,0,1,2,0,2,"[Vehicle]","[Friends;Roommates]","[Commuting; traveling]","[Friends;Roommates]"
"36","wexypda1",2018-10-30 12:23:35,0,1,2,1,2,"[Campus]","[No one; alone]","[None of the above; Other]","[No one; alone]"
"37","wexypda1",2018-10-30 16:45:40,0,1,2,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"38","wexypda1",2018-10-30 18:26:21,0,1,2,0,3,"[Vehicle]","[Friends]","[Commuting; traveling]","[Friends]"
"39","wexypda1",2018-10-31 09:26:21,1,2,1,0,2,"[Campus]","[No one; alone]","[Attending classes; meetings]","[Not applicable; was not interacting with anyone]"
"40","wexypda1",2018-10-31 12:28:26,1,2,1,0,2,"[Library]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"41","wexypda1",2018-10-31 18:07:44,1,2,2,1,2,"[Home (dorm; apartment)]","[Friends;Roommates]","[Talking; texting; socializing]","[Friends;Roommates]"
"42","wexypda1",2018-11-01 13:23:33,0,1,2,0,2,"[Vehicle]","[No one; alone]","[Commuting; traveling]","[No one; alone]"
