"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","whitjyb5",2018-10-18 09:10:23,0,1,1,0,1,"[Campus]","[Classmates; students;Friends]","[Attending classes; meetings]","[Talking in person]"
"2","whitjyb5",2018-10-18 12:00:59,0,2,1,0,2,"[Cafe; Restaurant]","[No one; alone]","[Browsing the Internet; using social media;Studying; reading; preparing for an exam]","[No one; alone]"
"3","whitjyb5",2018-10-18 16:37:36,0,2,2,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Eating; drinking;Studying; reading; preparing for an exam]","[No one; alone]"
"4","whitjyb5",2018-10-18 18:29:46,0,2,1,0,2,"[Campus]","[No one; alone]","[Commuting; traveling;Studying; reading; preparing for an exam]","[No one; alone]"
"5","whitjyb5",2018-10-19 09:01:19,0,1,1,0,1,"[Campus]","[Classmates; students;No one; alone]","[Attending classes; meetings;Studying; reading; preparing for an exam]","[Talking in person;Interacting on Snapchat]"
"6","whitjyb5",2018-10-19 13:37:05,0,1,2,0,2,"[Campus]","[Classmates; students;Friends;Strangers]","[Attending classes; meetings]","[Classmates; students;Friends;Strangers]"
"7","whitjyb5",2018-10-19 20:21:17,0,1,2,0,3,"[Cafe; Restaurant]","[Friends]","[Eating; drinking;Talking; texting; socializing]","[Friends]"
"8","whitjyb5",2018-10-21 09:01:53,0,0,2,0,2,"[Campus]","[No one; alone]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"9","whitjyb5",2018-10-22 12:42:37,0,1,1,0,2,"[Campus]","[No one; alone;Roommates]","[Commuting; traveling;Watching TV; movies]","[No one; alone;Roommates]"
"10","whitjyb5",2018-10-23 14:56:09,0,1,1,0,1,"[Campus]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"11","whitjyb5",2018-10-24 11:33:41,0,1,2,0,2,"[Campus]","[Strangers]","[Attending classes; meetings]","[Text messaging on the phone;Emailing;Interacting on Snapchat]"
"12","whitjyb5",2018-10-25 18:00:41,0,0,2,0,2,"[Vehicle]","[Friends]","[Browsing the Internet; using social media;Commuting; traveling]","[Friends]"
"13","whitjyb5",2018-10-29 11:02:00,0,1,1,0,2,"[Campus;Home (dorm; apartment)]","[Classmates; students;Friends;Roommates]","[Attending classes; meetings]","[Not applicable; was not interacting with anyone]"
"14","whitjyb5",2018-10-29 23:02:14,0,0,1,0,1,"[Home (dorm; apartment)]","[Roommates]","[Studying; reading; preparing for an exam;Watching TV; movies]","[Roommates]"
"15","whitjyb5",2018-10-30 14:00:00,0,1,1,0,1,"[Campus]","[Classmates; students;Friends]","[Attending classes; meetings]","[Classmates; students;Friends]"
