"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","wjb6v3ih",2018-10-10 09:03:05,0,1,2,0,2,"[Campus]","[None of the above; Other]","[Attending classes; meetings]","[Talking in person]"
"2","wjb6v3ih",2018-10-10 12:02:24,0,1,2,1,2,"Campus","No one; alone","Commuting; traveling","No one; alone"
"3","wjb6v3ih",2018-10-10 15:30:56,0,1,2,0,2,"[Cafe; Restaurant]","[Friends;No one; alone;Strangers]","[Commuting; traveling]","[Friends;No one; alone;Strangers]"
"4","wjb6v3ih",2018-10-10 19:52:19,1,0,2,0,2,"[Fraternity; Sorority House]","[Friends]","[Talking; texting; socializing]","[Friends]"
"5","wjb6v3ih",2018-10-11 09:30:29,0,1,2,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Text messaging on the phone]"
"6","wjb6v3ih",2018-10-11 12:15:10,0,1,2,0,3,"[Campus]","[Classmates; students;Friends]","[Attending classes; meetings]","[Classmates; students;Friends]"
"7","wjb6v3ih",2018-10-11 15:01:42,0,1,2,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"8","wjb6v3ih",2018-10-11 18:01:12,0,1,2,0,2,"[Cafe; Restaurant]","[Friends]","[Studying; reading; preparing for an exam]","[Friends]"
"9","wjb6v3ih",2018-10-12 10:14:09,1,1,2,0,3,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Text messaging on the phone]"
"10","wjb6v3ih",2018-10-12 12:17:16,0,1,2,0,2,"[Cafe; Restaurant]","[Friends]","[Eating; drinking]","[Friends]"
"11","wjb6v3ih",2018-10-12 15:05:07,0,0,2,0,3,"[Campus]","[Friends;Significant other]","[Commuting; traveling]","[Friends;Significant other]"
"12","wjb6v3ih",2018-10-12 18:10:02,0,0,3,0,3,"[None of the above; other]","[Significant other]","[Exercising; physical activity; sports]","[Significant other]"
"13","wjb6v3ih",2018-10-13 18:00:44,0,0,2,0,3,"[Cafe; Restaurant;Home (dorm; apartment)]","[Friends]","[Eating; drinking]","[Friends]"
"14","wjb6v3ih",2018-10-14 10:51:32,1,0,3,0,3,"[Home (dorm; apartment)]","[Significant other]","[Watching TV; movies]","[Talking in person]"
"15","wjb6v3ih",2018-10-14 12:00:33,1,1,3,0,3,"[Home (dorm; apartment)]","[Significant other]","[Watching TV; movies]","[Significant other]"
"16","wjb6v3ih",2018-10-14 19:46:49,1,0,3,0,2,"[Vehicle]","[Significant other]","[Commuting; traveling]","[Significant other]"
"17","wjb6v3ih",2018-10-15 10:46:24,0,1,3,0,3,"[Campus]","[No one; alone]","[Commuting; traveling]","[Text messaging on the phone]"
"18","wjb6v3ih",2018-10-15 12:03:49,0,0,3,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media]","[No one; alone]"
"19","wjb6v3ih",2018-10-15 19:55:55,1,1,3,1,2,"[Fraternity; Sorority House]","[Friends]","[Attending classes; meetings;Talking; texting; socializing]","[Friends]"
"20","wjb6v3ih",2018-10-16 09:47:58,0,0,3,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Text messaging on the phone]"
"21","wjb6v3ih",2018-10-16 12:00:45,0,1,3,0,3,"[Campus]","[Classmates; students;Friends]","[Attending classes; meetings]","[Classmates; students;Friends]"
"22","wjb6v3ih",2018-10-16 15:00:40,0,0,3,0,3,"[Campus]","[Classmates; students;Family]","[Attending classes; meetings;Commuting; traveling]","[Classmates; students;Family]"
"23","wjb6v3ih",2018-10-17 10:47:36,0,0,2,0,3,"[Campus]","[No one; alone]","[Commuting; traveling]","[Text messaging on the phone]"
"24","wjb6v3ih",2018-10-17 12:00:50,0,0,3,0,3,"[Campus]","[Classmates; students;Friends]","[Commuting; traveling]","[Classmates; students;Friends]"
"25","wjb6v3ih",2018-10-17 15:01:13,0,0,3,0,3,"[Home (dorm; apartment)]","[No one; alone]","[Watching TV; movies]","[No one; alone]"
"26","wjb6v3ih",2018-10-17 18:01:16,0,1,3,0,3,"[Cafe; Restaurant]","[Friends]","[Eating; drinking;Talking; texting; socializing;Watching TV; movies]","[Friends]"
"27","wjb6v3ih",2018-10-18 10:07:51,1,1,2,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Doing household chores; running errands]","[Text messaging on the phone]"
"28","wjb6v3ih",2018-10-18 12:07:48,0,1,3,0,3,"[Campus]","[Classmates; students;Friends]","[Attending classes; meetings;Studying; reading; preparing for an exam]","[Classmates; students;Friends]"
"29","wjb6v3ih",2018-10-18 15:04:53,0,1,2,0,2,"[Fraternity; Sorority House]","[Friends]","[Browsing the Internet; using social media;Studying; reading; preparing for an exam;Talking; texting; socializing]","[Friends]"
"30","wjb6v3ih",2018-10-18 18:04:00,0,1,3,0,3,"[Home (dorm; apartment)]","[Friends]","[Eating; drinking;Resting; napping; doing nothing;Talking; texting; socializing;Watching TV; movies]","[Friends]"
"31","wjb6v3ih",2018-10-19 10:41:25,0,1,3,0,3,"[Campus]","[No one; alone]","[Commuting; traveling]","[Text messaging on the phone]"
"32","wjb6v3ih",2018-10-19 15:20:01,0,0,3,0,3,"[Vehicle]","[Significant other]","[Commuting; traveling]","[Significant other]"
"33","wjb6v3ih",2018-10-19 18:03:21,0,0,3,0,3,"[None of the above; other]","[Family;Significant other]","[Commuting; traveling;Resting; napping; doing nothing;Talking; texting; socializing]","[Family;Significant other]"
