"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","wte1gm1h",2018-10-10 09:47:52,0,2,2,0,3,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person; Text messaging on the phone]"
"2","wte1gm1h",2018-10-10 12:01:17,0,3,2,1,2,"6","4","11","4"
"3","wte1gm1h",2018-10-10 17:17:17,0,0,2,0,3,"[Library]","[Classmates; students]","[Browsing the Internet; using social media]","[Classmates; students]"
"4","wte1gm1h",2018-10-10 19:39:51,1,3,1,1,1,"[Library]","[Strangers]","[Attending classes; meetings]","[Strangers]"
"5","wte1gm1h",2018-10-11 10:25:09,1,3,2,0,1,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media; Studying; reading; preparing for an exam]","[Chatting on Whatsapp or other chat app]"
"6","wte1gm1h",2018-10-11 12:05:45,0,0,3,0,3,"[Campus]","[Classmates; students; Other]","[Attending classes; meetings]","[Classmates; students; Other]"
"7","wte1gm1h",2018-10-11 17:11:16,2,3,0,0,1,"[Campus]","[No one; alone]","[Attending classes; meetings]","[No one; alone]"
"8","wte1gm1h",2018-10-11 19:17:40,0,0,3,0,3,"[Store / Mall]","[Friends]","[Doing household chores; running errands; Talking; texting; socializing]","[Friends]"
"9","wte1gm1h",2018-10-12 09:07:34,2,2,0,1,1,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam; None of the above; Other]","[Not applicable; was not interacting with anyone]"
"10","wte1gm1h",2018-10-12 13:59:47,0,2,1,0,0,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"11","wte1gm1h",2018-10-12 15:15:57,0,1,1,0,0,"[Home (dorm; apartment)]","[Roommates]","[Eating; drinking; Talking; texting; socializing]","[Roommates]"
"12","wte1gm1h",2018-10-12 18:55:49,2,3,1,0,0,"[Home (dorm; apartment)]","[Roommates]","[Studying; reading; preparing for an exam]","[Roommates]"
"13","wte1gm1h",2018-10-13 12:55:44,0,0,2,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[No one; alone]"
"14","wte1gm1h",2018-10-13 15:03:09,0,2,1,2,1,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media]","[No one; alone]"
"15","wte1gm1h",2018-10-13 18:15:18,0,2,0,0,0,"[Library]","[No one; alone]","[Browsing the Internet; using social media; Studying; reading; preparing for an exam]","[No one; alone]"
"16","wte1gm1h",2018-10-14 13:20:36,1,2,1,0,1,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[No one; alone]"
"17","wte1gm1h",2018-10-14 15:01:59,0,1,3,0,3,"[Gym]","[Classmates; students; No one; alone]","[Studying; reading; preparing for an exam; None of the above; Other]","[Classmates; students; No one; alone]"
"18","wte1gm1h",2018-10-14 18:02:15,0,1,3,0,3,"[Campus]","[No one; alone]","[None of the above; Other]","[No one; alone]"
"19","wte1gm1h",2018-10-15 09:35:44,0,2,1,0,1,"[Campus]","[Classmates; students; Friends]","[Attending classes; meetings]","[Talking in person]"
"20","wte1gm1h",2018-10-15 12:00:54,0,1,2,1,2,"[Cafe; Restaurant; Campus]","[No one; alone]","[Browsing the Internet; using social media; Eating; drinking]","[No one; alone]"
"21","wte1gm1h",2018-10-15 17:03:11,0,1,3,0,3,"[Campus; Home (dorm; apartment)]","[Classmates; students; Friends; Roommates]","[Attending classes; meetings]","[Classmates; students; Friends; Roommates]"
"22","wte1gm1h",2018-10-15 19:24:07,1,2,1,2,1,"[Cafe; Restaurant; Campus]","[No one; alone]","[Eating; drinking]","[No one; alone]"
"23","wte1gm1h",2018-10-16 12:13:31,0,2,1,0,1,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"24","wte1gm1h",2018-10-16 15:28:44,1,2,1,2,0,"[Library]","[No one; alone]","[Browsing the Internet; using social media; Studying; reading; preparing for an exam]","[No one; alone]"
"25","wte1gm1h",2018-10-16 18:03:52,1,1,1,1,1,"[Library]","[No one; alone]","[Browsing the Internet; using social media]","[No one; alone]"
"26","wte1gm1h",2018-10-17 10:55:39,1,3,2,2,1,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person]"
"27","wte1gm1h",2018-10-17 12:01:46,0,1,3,0,3,"[Cafe; Restaurant; Campus]","[Friends]","[Eating; drinking]","[Friends]"
"28","wte1gm1h",2018-10-17 16:02:15,0,2,2,0,3,"[Campus]","[Classmates; students; Friends]","[Attending classes; meetings]","[Classmates; students; Friends]"
