"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","xbp1zpvh",2018-10-10 18:09:15,0,1,2,0,1,"[Home (dorm; apartment)]","[Friends;Roommates]","[Resting; napping; doing nothing]","[Friends;Roommates]"
"2","xbp1zpvh",2018-10-11 12:10:48,0,1,3,0,1,"[Home (dorm; apartment)]","[No one; alone]","[Eating; drinking]","[No one; alone]"
"3","xbp1zpvh",2018-10-11 18:19:00,0,1,1,0,0,"[Campus]","[Classmates; students;Friends]","[Talking; texting; socializing]","[Classmates; students;Friends]"
"4","xbp1zpvh",2018-10-12 09:53:24,1,3,0,1,0,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person]"
"5","xbp1zpvh",2018-10-15 09:02:29,0,2,2,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings;Commuting; traveling]","[Talking in person]"
"6","xbp1zpvh",2018-10-15 16:30:45,0,1,1,0,1,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"7","xbp1zpvh",2018-10-15 19:10:53,0,2,2,0,2,"[Campus;Home (dorm; apartment)]","[Co-workers;Family;Friends]","[Attending classes; meetings;Commuting; traveling]","[Co-workers;Family;Friends]"
"8","xbp1zpvh",2018-10-16 19:15:58,2,2,1,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Doing household chores; running errands;Studying; reading; preparing for an exam]","[No one; alone]"
"9","xbp1zpvh",2018-10-19 12:53:39,2,3,0,1,1,"[Campus]","[No one; alone]","[Attending classes; meetings;Commuting; traveling]","[No one; alone]"
"10","xbp1zpvh",2018-10-19 15:02:30,0,1,1,0,1,"[Campus]","[Friends]","[Attending classes; meetings;Talking; texting; socializing]","[Friends]"
"11","xbp1zpvh",2018-10-20 09:35:57,2,2,0,0,0,"[Home (dorm; apartment)]","[Friends]","[Talking; texting; socializing]","[Talking in person]"
"12","xbp1zpvh",2018-10-20 18:53:18,2,3,1,0,0,"[Home (dorm; apartment)]","[Friends;Roommates]","[Talking; texting; socializing]","[Friends;Roommates]"
"13","xbp1zpvh",2018-10-21 12:12:57,1,1,1,0,1,"[Home (dorm; apartment)]","[Friends;Roommates]","[Resting; napping; doing nothing]","[Friends;Roommates]"
"14","xbp1zpvh",2018-10-21 15:07:41,1,2,1,0,2,"[Home (dorm; apartment)]","[Friends]","[Studying; reading; preparing for an exam;Talking; texting; socializing]","[Friends]"
"15","xbp1zpvh",2018-10-21 18:44:41,0,1,1,0,2,"[Campus]","[Friends]","[Studying; reading; preparing for an exam]","[Friends]"
"16","xbp1zpvh",2018-10-22 11:10:48,0,2,0,0,0,"[Home (dorm; apartment)]","[No one; alone;Roommates]","[Commuting; traveling]","[Talking in person;Text messaging on the phone]"
"17","xbp1zpvh",2018-10-22 15:03:12,1,2,1,0,3,"[Home (dorm; apartment)]","[Friends;Roommates]","[Talking; texting; socializing]","[Friends;Roommates]"
"18","xbp1zpvh",2018-10-23 14:15:22,0,2,1,0,1,"[Home (dorm; apartment)]","[No one; alone]","[Eating; drinking]","[No one; alone]"
"19","xbp1zpvh",2018-10-23 19:11:11,0,1,1,0,2,"[Campus]","[Family;No one; alone]","[Studying; reading; preparing for an exam;Talking; texting; socializing]","[Family;No one; alone]"
"20","xbp1zpvh",2018-10-24 15:01:13,0,2,1,0,0,"[Campus]","[Co-workers;Friends]","[Attending classes; meetings;Studying; reading; preparing for an exam;Talking; texting; socializing]","[Co-workers;Friends]"
"21","xbp1zpvh",2018-10-24 19:23:16,0,1,1,0,1,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[No one; alone]"
"22","xbp1zpvh",2018-10-26 09:00:41,2,3,0,0,0,"[Campus]","[None of the above; Other]","[Commuting; traveling]","[Not applicable; was not interacting with anyone]"
"23","xbp1zpvh",2018-10-29 09:59:35,1,2,1,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings;Commuting; traveling]","[Talking in person]"
"24","xbp1zpvh",2018-10-29 12:34:15,0,1,2,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Eating; drinking]","[No one; alone]"
"25","xbp1zpvh",2018-10-29 15:01:26,0,1,2,0,1,"[Campus]","[Friends]","[Talking; texting; socializing]","[Friends]"
"26","xbp1zpvh",2018-10-29 19:36:21,0,1,2,0,2,"[Home (dorm; apartment)]","[Roommates]","[Eating; drinking]","[Roommates]"
"27","xbp1zpvh",2018-10-30 12:31:22,0,1,2,0,2,"[Campus]","[No one; alone]","[Attending classes; meetings;Commuting; traveling]","[No one; alone]"
"28","xbp1zpvh",2018-10-30 15:52:45,0,2,1,0,2,"[Home (dorm; apartment)]","[Classmates; students;Friends]","[Attending classes; meetings;Talking; texting; socializing]","[Classmates; students;Friends]"
