"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","xd26g6lr",2018-10-16 11:22:39,0,1,0,0,2,"[Home (dorm; apartment)]","[Roommates]","[Studying; reading; preparing for an exam]","[Talking on the phone;Text messaging on the phone]"
"2","xd26g6lr",2018-10-16 13:54:07,0,1,0,0,2,"[Library]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"3","xd26g6lr",2018-10-16 15:51:11,0,1,1,0,2,"[Library]","[Friends]","[Attending classes; meetings]","[Friends]"
"4","xd26g6lr",2018-10-16 18:01:08,0,0,2,0,3,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[No one; alone]"
"5","xd26g6lr",2018-10-17 15:05:15,0,0,2,0,3,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"6","xd26g6lr",2018-10-18 09:49:52,0,0,2,1,2,"[Cafe; restaurant;Campus;Home (dorm; apartment)]","[Friends;No one; alone;Roommates]","[Attending classes; meetings]","[Talking in person;Talking on the phone]"
"7","xd26g6lr",2018-10-18 14:35:01,0,1,1,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"8","xd26g6lr",2018-10-20 16:27:59,0,0,3,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media;Resting; napping; doing nothing]","[No one; alone]"
"9","xd26g6lr",2018-10-21 14:06:29,0,0,3,2,2,"[Home (dorm; apartment)]","[Family;No one; alone]","[Doing household chores; running errands;Resting; napping; doing nothing]","[Family;No one; alone]"
"10","xd26g6lr",2018-10-21 19:15:42,0,0,3,2,3,"[Home (dorm; apartment)]","[Family;Friends;No one; alone;Roommates]","[Eating; drinking;Resting; napping; doing nothing;Studying; reading; preparing for an exam]","[Family;Friends;No one; alone;Roommates]"
"11","xd26g6lr",2018-10-22 12:50:11,1,0,3,0,3,"[Campus;Home (dorm; apartment)]","[Friends;Roommates]","[Attending classes; meetings]","[Talking in person;Talking on the phone;Text messaging on the phone]"
"12","xd26g6lr",2018-10-22 15:03:26,0,0,1,1,2,"[Campus]","[Classmates; students;Friends;Roommates]","[Attending classes; meetings;Studying; reading; preparing for an exam]","[Classmates; students;Friends;Roommates]"
"13","xd26g6lr",2018-10-22 18:00:37,0,2,1,0,2,"[Library]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"14","xd26g6lr",2018-10-23 15:51:30,0,0,1,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
"15","xd26g6lr",2018-10-23 22:11:41,0,0,2,1,3,"[Home (dorm; apartment);Library]","[Friends;No one; alone]","[Studying; reading; preparing for an exam;Talking; texting; socializing]","[Friends;No one; alone]"
"16","xd26g6lr",2018-10-24 12:43:48,0,0,1,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"17","xd26g6lr",2018-10-24 19:16:19,0,0,3,0,3,"[Home (dorm; apartment)]","[Family;Friends]","[Browsing the Internet; using social media;Studying; reading; preparing for an exam]","[Family;Friends]"
"18","xd26g6lr",2018-10-25 16:16:50,0,1,2,0,2,"[Campus]","[Friends]","[Attending classes; meetings;Studying; reading; preparing for an exam]","[Talking in person]"
"19","xd26g6lr",2018-10-25 18:09:30,1,0,2,0,3,"[Home (dorm; apartment)]","[No one; alone;Roommates]","[Doing household chores; running errands;Studying; reading; preparing for an exam]","[No one; alone;Roommates]"
"20","xd26g6lr",2018-10-26 18:49:45,0,0,3,0,4,"[None of the above; other]","[Family]","[Studying; reading; preparing for an exam;Talking; texting; socializing]","[Family]"
"21","xd26g6lr",2018-10-27 13:22:22,0,0,2,0,4,"[Vehicle]","[Family]","[Doing household chores; running errands]","[Family]"
"22","xd26g6lr",2018-10-27 17:30:22,0,0,3,0,4,"[Cafe; Restaurant]","[Friends]","[Eating; drinking]","[Friends]"
"23","xd26g6lr",2018-10-28 21:01:10,0,1,2,0,1,"[None of the above; other]","[Family]","[Doing household chores; running errands]","[Talking in person]"
"24","xd26g6lr",2018-10-29 15:47:26,0,0,2,0,2,"[Campus]","[No one; alone]","[Commuting; traveling]","[No one; alone]"
"25","xd26g6lr",2018-10-29 23:10:59,0,1,2,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"26","xd26g6lr",2018-10-30 15:52:40,0,0,2,0,1,"[Campus]","[Friends]","[Attending classes; meetings]","[Talking in person]"
"27","xd26g6lr",2018-10-30 20:29:03,0,2,3,0,3,"[Library]","[Family;Friends;Roommates]","[Eating; drinking]","[Family;Friends;Roommates]"
"28","xd26g6lr",2018-10-31 11:59:04,0,1,3,0,3,"[Campus]","[Friends]","[Attending classes; meetings]","[Talking in person]"
"29","xd26g6lr",2018-10-31 20:43:03,1,3,1,0,1,"[Friend’s house]","[Friends]","[Studying; reading; preparing for an exam]","[Friends]"
