"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","xljk1msa",2018-10-10 09:48:20,0,0,3,0,1,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Not applicable; was not interacting with anyone]"
"2","xljk1msa",2018-10-10 18:30:21,3,3,1,1,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"3","xljk1msa",2018-10-11 09:05:51,0,1,3,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person]"
"4","xljk1msa",2018-10-11 13:14:36,0,1,3,0,2,"[Home (dorm; apartment)]","[Other]","[Doing household chores; running errands]","[Other]"
"5","xljk1msa",2018-10-11 18:46:04,0,2,3,0,2,"[Campus]","[Other]","[Eating; drinking]","[Other]"
"6","xljk1msa",2018-10-12 09:53:11,0,3,0,0,0,"[Campus]","[Classmates; students; No one; alone; None of the above; Other]","[Attending classes; meetings]","[Not applicable; was not interacting with anyone]"
"7","xljk1msa",2018-10-12 19:37:21,0,0,3,0,2,"[Campus]","[No one; alone; Strangers]","[Studying; reading; preparing for an exam]","[No one; alone; Strangers]"
"8","xljk1msa",2018-10-13 12:56:26,0,0,3,0,2,"[Home (dorm; apartment)]","[None of the above; Other]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"9","xljk1msa",2018-10-13 14:13:24,0,0,3,0,2,"[Cafe; Restaurant]","[Strangers]","[Eating; drinking]","[Strangers]"
"10","xljk1msa",2018-10-13 16:18:11,0,0,3,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[No one; alone]"
"11","xljk1msa",2018-10-13 18:02:13,0,0,3,0,2,"[Cafe; Restaurant]","[No one; alone]","[Eating; drinking]","[No one; alone]"
"12","xljk1msa",2018-10-14 16:36:32,0,1,3,0,2,"[Library]","[Friends]","[Studying; reading; preparing for an exam]","[Friends]"
"13","xljk1msa",2018-10-14 18:35:00,0,0,3,0,3,"[Gym]","[No one; alone]","[Exercising; physical activity; sports]","[No one; alone]"
"14","xljk1msa",2018-10-15 10:46:07,0,1,3,0,2,"[Campus; Store/Mall]","[No one; alone]","[None of the above; Other]","[Not applicable; was not interacting with anyone]"
"15","xljk1msa",2018-10-15 12:16:20,0,1,3,0,2,"[Campus]","[Friends]","[Talking; texting; socializing]","[Friends]"
"16","xljk1msa",2018-10-15 18:44:31,0,0,3,0,2,"[Cafe; Restaurant]","[Strangers]","[Eating; drinking]","[Strangers]"
"17","xljk1msa",2018-10-16 12:17:55,0,0,3,0,3,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
