"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","xq4989ja",2018-10-10 11:06:38,0,0,1,0,3,"[Campus; Home (dorm; apartment)]","[No one; alone; Roommates]","[Browsing the Internet; using social media; Commuting; traveling; Resting; napping; doing nothing]","[Talking in person; Text messaging on the phone; Emailing]"
"2","xq4989ja",2018-10-10 12:14:36,0,1,2,0,3,"5","4","7","4"
"3","xq4989ja",2018-10-10 15:04:21,0,0,2,0,3,"5","4","7","4"
"4","xq4989ja",2018-10-10 18:04:54,1,0,1,1,2,"[Home (dorm; apartment)]","[Classmates; students; Friends]","[Commuting; traveling]","[Classmates; students; Friends]"
"5","xq4989ja",2018-10-11 09:15:50,1,1,1,1,2,"[Home (dorm; apartment)]","[None of the above; Other]","[Browsing the Internet; using social media; Commuting; traveling; Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"6","xq4989ja",2018-10-11 12:04:09,0,0,3,0,4,"[Campus]","[Classmates; students; Friends]","[Attending classes; meetings; Talking; texting; socializing]","[Classmates; students; Friends]"
"7","xq4989ja",2018-10-11 15:32:02,0,0,2,0,3,"[Home (dorm; apartment)]","[No one; alone]","[Eating; drinking; Studying; reading; preparing for an exam]","[No one; alone]"
"8","xq4989ja",2018-10-11 18:03:02,0,0,2,0,3,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"9","xq4989ja",2018-10-12 10:05:18,0,1,1,0,1,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"10","xq4989ja",2018-10-12 14:31:55,0,1,2,0,3,"[Campus]","[Classmates; students; Friends; Strangers]","[None of the above; Other]","[Classmates; students; Friends; Strangers]"
"11","xq4989ja",2018-10-12 15:55:35,0,0,3,0,4,"[Home (dorm; apartment)]","[Co-workers; Strangers]","[Studying; reading; preparing for an exam; Talking; texting; socializing]","[Co-workers; Strangers]"
"12","xq4989ja",2018-10-12 18:09:32,0,0,2,0,3,"[Home (dorm; apartment)]","[Classmates; students; Friends; Strangers]","[Browsing the Internet; using social media; Talking; texting; socializing]","[Classmates; students; Friends; Strangers]"
"13","xq4989ja",2018-10-13 10:56:32,0,0,3,0,3,"[Home (dorm; apartment)]","[Friends]","[Talking; texting; socializing]","[Talking in person]"
