"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","z565yuyp",2018-10-11 11:02:04,0,1,2,0,3,"[None of the above; other]","[Friends]","[Commuting; traveling]","[Talking in person]"
"2","z565yuyp",2018-10-11 13:16:23,0,1,2,0,3,"[Campus]","[Friends]","[Attending classes; meetings]","[Friends]"
"3","z565yuyp",2018-10-11 15:02:33,0,1,2,0,2,"[Campus]","[Friends]","[Studying; reading; preparing for an exam]","[Friends]"
"4","z565yuyp",2018-10-11 18:30:32,0,1,2,0,2,"[Gym]","[Friends]","[Exercising; physical activity; sports]","[Friends]"
"5","z565yuyp",2018-10-12 11:02:19,0,1,1,0,2,"[Vehicle]","[Friends]","[Commuting; traveling]","[Talking in person]"
"6","z565yuyp",2018-10-12 12:13:19,0,2,1,0,2,"[Campus]","[Friends]","[Eating; drinking]","[Friends]"
"7","z565yuyp",2018-10-12 15:10:25,0,2,1,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"8","z565yuyp",2018-10-14 11:26:28,0,2,2,0,2,"[Fraternity; Sorority House]","[Friends]","[Eating; drinking]","[Talking in person;Chatting on Whatsapp or other chat app]"
"9","z565yuyp",2018-10-14 15:00:47,0,2,2,0,2,"[Fraternity; Sorority House]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"10","z565yuyp",2018-10-14 19:31:46,0,2,2,0,2,"[Fraternity; Sorority House]","[Friends]","[Studying; reading; preparing for an exam]","[Friends]"
"11","z565yuyp",2018-10-15 12:12:18,0,2,2,0,2,"[None of the above; other]","[Friends]","[Commuting; traveling]","[Talking in person]"
"12","z565yuyp",2018-10-16 00:06:12,0,2,2,0,2,"[Fraternity; Sorority House]","[Friends]","[Studying; reading; preparing for an exam]","[Friends]"
"13","z565yuyp",2018-10-16 10:38:18,0,2,1,0,2,"[Vehicle]","[Friends]","[Commuting; traveling]","[Talking in person]"
"14","z565yuyp",2018-10-16 12:00:33,0,2,1,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"15","z565yuyp",2018-10-16 17:45:40,0,2,1,0,2,"[Campus]","[Friends]","[Exercising; physical activity; sports]","[Friends]"
