"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","zlhbcwip",2018-10-18 12:19:34,2,3,1,2,2,"[Library]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"2","zlhbcwip",2018-10-18 15:08:10,1,3,1,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"3","zlhbcwip",2018-10-18 20:45:54,1,1,2,1,2,"[Store / Mall]","[Friends]","[Doing household chores; running errands]","[Friends]"
"4","zlhbcwip",2018-10-19 12:01:02,1,1,2,0,3,"[Gym]","[Strangers]","[Exercising; physical activity; sports]","[Strangers]"
"5","zlhbcwip",2018-10-19 15:15:55,0,1,2,0,3,"[Store / Mall]","[Friends]","[Doing household chores; running errands]","[Friends]"
"6","zlhbcwip",2018-10-20 09:15:44,0,0,2,0,3,"[Home (dorm; apartment)]","[No one; alone]","[Doing household chores; running errands]","[Interacting on Snapchat]"
"7","zlhbcwip",2018-10-20 13:26:20,0,1,2,0,3,"[Friend’s house]","[Friends]","[Resting; napping; doing nothing]","[Friends]"
"8","zlhbcwip",2018-10-21 14:15:13,2,2,1,1,0,"[Friend’s house]","[Friends]","[Watching TV; movies]","[Friends]"
"9","zlhbcwip",2018-10-21 18:01:18,0,1,3,0,2,"[Store / Mall]","[Friends]","[None of the above; Other]","[Friends]"
"10","zlhbcwip",2018-10-22 11:18:59,1,1,2,0,2,"[Campus]","[Classmates; students]","[Commuting; traveling]","[Talking in person]"
"11","zlhbcwip",2018-10-22 14:37:39,0,1,2,0,2,"[Friend’s house]","[Friends]","[Talking; texting; socializing]","[Friends]"
"12","zlhbcwip",2018-10-23 10:29:56,0,1,3,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Eating; drinking;Talking; texting; socializing]","[Not applicable; was not interacting with anyone]"
"13","zlhbcwip",2018-10-23 15:57:08,1,2,1,1,1,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"14","zlhbcwip",2018-10-24 12:51:58,2,2,1,2,1,"[Campus;Home (dorm; apartment)]","[No one; alone]","[None of the above; Other]","[No one; alone]"
"15","zlhbcwip",2018-10-24 16:44:39,2,2,1,2,1,"[Home (dorm; apartment)]","[Roommates]","[Eating; drinking]","[Roommates]"
"16","zlhbcwip",2018-10-25 13:01:59,1,1,2,0,2,"[Friend’s house]","[Friends]","[Eating; drinking]","[Friends]"
"17","zlhbcwip",2018-10-25 18:03:14,1,1,2,0,2,"[Campus]","[Friends]","[Attending classes; meetings]","[Friends]"
"18","zlhbcwip",2018-10-26 12:01:02,1,0,3,1,2,"[Home (dorm; apartment)]","[Friends]","[Eating; drinking]","[Friends]"
"19","zlhbcwip",2018-10-26 17:59:12,0,1,2,0,2,"[Home (dorm; apartment)]","[Friends]","[Resting; napping; doing nothing]","[Friends]"
"20","zlhbcwip",2018-10-27 12:00:39,2,1,1,2,1,"[Home (dorm; apartment)]","[No one; alone]","[Watching TV; movies]","[No one; alone]"
"21","zlhbcwip",2018-10-27 15:04:38,0,1,3,1,2,"[Cafe; Restaurant]","[Friends]","[Eating; drinking]","[Friends]"
"22","zlhbcwip",2018-10-28 15:01:08,0,0,3,0,1,"[Cafe; Restaurant]","[Friends]","[Eating; drinking]","[Friends]"
"23","zlhbcwip",2018-10-29 12:00:35,1,2,2,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Eating; drinking]","[No one; alone]"
"24","zlhbcwip",2018-10-29 18:53:36,0,1,2,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Eating; drinking]","[No one; alone]"
"25","zlhbcwip",2018-10-30 12:12:34,1,3,1,1,1,"[Campus]","[No one; alone]","[Commuting; traveling]","[No one; alone]"
"26","zlhbcwip",2018-10-30 20:56:11,1,1,2,0,2,"[Friend’s house]","[Friends]","[Eating; drinking]","[Friends]"
"27","zlhbcwip",2018-10-31 15:00:35,1,3,0,1,1,"[Campus]","[Classmates; students]","[Studying; reading; preparing for an exam]","[Classmates; students]"
"28","zlhbcwip",2018-10-31 18:14:41,1,3,1,1,2,"[Campus]","[Classmates; students]","[Studying; reading; preparing for an exam]","[Classmates; students]"
"29","zlhbcwip",2018-11-01 14:21:52,1,1,2,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Eating; drinking]","[No one; alone]"
