"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","zn3ckd9m",2018-10-10 18:50:01,1,2,1,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person;Text messaging on the phone;Interacting on Snapchat]"
"2","zn3ckd9m",2018-10-11 16:23:16,2,3,1,1,1,"[Home (dorm; apartment)]","[Roommates]","[Attending classes; meetings;Browsing the Internet; using social media;Talking; texting; socializing]","[Talking in person;Interacting on Snapchat]"
"3","zn3ckd9m",2018-10-11 18:07:10,0,2,2,1,3,"[Campus;Home (dorm; apartment)]","[Roommates]","[Browsing the Internet; using social media;Watching TV; movies]","[Roommates]"
"4","zn3ckd9m",2018-10-13 11:29:05,0,1,0,0,1,"[Home (dorm; apartment)]","[Roommates]","[Eating; drinking;Resting; napping; doing nothing]","[Talking in person;Text messaging on the phone]"
"5","zn3ckd9m",2018-10-13 18:06:04,0,1,2,0,2,"[Home (dorm; apartment)]","[Roommates]","[Browsing the Internet; using social media;Studying; reading; preparing for an exam]","[Roommates]"
"6","zn3ckd9m",2018-10-14 11:00:02,0,1,2,0,2,"[Campus;Home (dorm; apartment)]","[Classmates; students;Roommates]","[Attending classes; meetings;Commuting; traveling;Talking; texting; socializing]","[Talking in person;Text messaging on the phone]"
"7","zn3ckd9m",2018-10-14 12:03:28,0,1,2,0,2,"[Vehicle]","[Roommates]","[Commuting; traveling;Talking; texting; socializing]","[Roommates]"
"8","zn3ckd9m",2018-10-14 15:28:37,0,1,2,0,2,"[Store / Mall;Vehicle]","[Roommates]","[Talking; texting; socializing;None of the above; Other]","[Roommates]"
"9","zn3ckd9m",2018-10-14 18:34:21,0,1,2,0,2,"[Home (dorm; apartment)]","[Friends;Roommates]","[Eating; drinking;Studying; reading; preparing for an exam;Talking; texting; socializing]","[Friends;Roommates]"
"10","zn3ckd9m",2018-10-15 17:50:23,1,2,2,0,0,"[Campus]","[Classmates; students;Friends]","[Attending classes; meetings;Commuting; traveling]","[Talking in person;Text messaging on the phone]"
"11","zn3ckd9m",2018-10-15 23:47:56,2,3,1,0,0,"[Friend’s house]","[Significant other]","[Commuting; traveling;Studying; reading; preparing for an exam;Talking; texting; socializing]","[Significant other]"
"12","zn3ckd9m",2018-10-16 14:55:03,1,1,1,0,0,"[Home (dorm; apartment)]","[No one; alone]","[Eating; drinking;Studying; reading; preparing for an exam]","[Text messaging on the phone]"
"13","zn3ckd9m",2018-10-16 16:36:07,0,1,1,0,0,"[Home (dorm; apartment)]","[Roommates]","[Attending classes; meetings]","[Roommates]"
"14","zn3ckd9m",2018-10-16 18:03:56,0,1,1,0,0,"[Home (dorm; apartment)]","[Roommates]","[Studying; reading; preparing for an exam;Talking; texting; socializing]","[Roommates]"
"15","zn3ckd9m",2018-10-19 00:50:57,0,1,2,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings;Commuting; traveling]","[Talking in person]"
"16","zn3ckd9m",2018-10-19 19:03:59,0,0,3,0,3,"[Campus]","[Classmates; students;Significant other]","[Attending classes; meetings]","[Talking in person]"
"17","zn3ckd9m",2018-10-19 19:36:45,0,0,3,0,3,"[Vehicle]","[Roommates]","[Commuting; traveling;Eating; drinking]","[Roommates]"
"18","zn3ckd9m",2018-10-21 03:20:26,0,0,3,0,3,"[Vehicle]","[Friends;Roommates]","[Commuting; traveling;Talking; texting; socializing]","[Talking in person;Interacting on Snapchat]"
"19","zn3ckd9m",2018-10-27 18:00:57,1,2,2,0,3,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"20","zn3ckd9m",2018-10-29 23:53:51,1,3,0,0,0,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone;Skip question]"
"21","zn3ckd9m",2018-10-30 17:26:23,1,2,1,0,1,"[Campus]","[No one; alone]","[Attending classes; meetings;Doing household chores; running errands]","[Talking in person]"
