"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","zsp2g9wd",2018-10-10 09:11:58,0,1,2,1,1,"[Campus]","[No one; alone]","[Studying; reading; preparing for an exam;Talking; texting; socializing]","[Talking on the phone;Text messaging on the phone;Interacting on Snapchat]"
"2","zsp2g9wd",2018-10-10 12:17:53,0,1,2,0,2,"Campus","Classmates; students","Eating; drinking","Classmates; students"
"3","zsp2g9wd",2018-10-11 09:25:14,0,1,2,0,3,"[Campus]","[No one; alone;None of the above; Other]","[Commuting; traveling]","[Text messaging on the phone;Interacting on Snapchat]"
"4","zsp2g9wd",2018-10-11 19:51:07,0,1,2,1,2,"[Campus]","[No one; alone]","[Browsing the Internet; using social media;Studying; reading; preparing for an exam]","[No one; alone]"
"5","zsp2g9wd",2018-10-12 11:13:37,0,1,3,1,3,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media]","[Text messaging on the phone;Interacting on Snapchat]"
"6","zsp2g9wd",2018-10-12 14:35:09,0,0,3,1,3,"[Home (dorm; apartment)]","[No one; alone]","[Talking; texting; socializing;Watching TV; movies]","[No one; alone]"
"7","zsp2g9wd",2018-10-12 19:22:01,1,2,1,1,2,"[Home (dorm; apartment)]","[No one; alone;Roommates]","[Studying; reading; preparing for an exam]","[No one; alone;Roommates]"
"8","zsp2g9wd",2018-10-13 12:03:57,0,1,2,1,3,"[Home (dorm; apartment)]","[No one; alone]","[Talking; texting; socializing]","[Talking on the phone]"
"9","zsp2g9wd",2018-10-13 16:29:55,0,1,3,1,2,"[Campus]","[Classmates; students]","[Exercising; physical activity; sports]","[Classmates; students]"
"10","zsp2g9wd",2018-10-13 21:01:29,0,2,3,1,1,"[Campus]","[Classmates; students]","[Exercising; physical activity; sports]","[Classmates; students]"
"11","zsp2g9wd",2018-10-14 12:02:30,0,0,2,1,2,"[Home (dorm; apartment)]","[No one; alone]","[None of the above; Other]","[Text messaging on the phone;Interacting on Snapchat]"
"12","zsp2g9wd",2018-10-14 16:27:41,1,0,2,2,2,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media;Eating; drinking;Exercising; physical activity; sports]","[No one; alone]"
"13","zsp2g9wd",2018-10-14 21:00:48,0,0,2,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[No one; alone]"
"14","zsp2g9wd",2018-10-15 15:00:43,0,0,1,2,2,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media;Doing household chores; running errands;Eating; drinking]","[No one; alone]"
"15","zsp2g9wd",2018-10-15 22:57:16,0,1,2,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media;Resting; napping; doing nothing;Studying; reading; preparing for an exam;Watching TV; movies]","[No one; alone]"
"16","zsp2g9wd",2018-10-16 15:02:38,1,1,2,2,2,"[Home (dorm; apartment)]","[No one; alone]","[Eating; drinking]","[Talking on the phone;Text messaging on the phone;Interacting on Snapchat]"
"17","zsp2g9wd",2018-10-16 22:19:32,0,1,1,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media;Eating; drinking]","[No one; alone]"
"18","zsp2g9wd",2018-10-17 09:08:34,0,0,2,1,2,"[Campus]","[No one; alone]","[Commuting; traveling]","[Skip question]"
"19","zsp2g9wd",2018-10-17 13:30:58,0,0,2,1,1,"[Campus]","[Classmates; students]","[Attending classes; meetings;Eating; drinking;Watching TV; movies]","[Classmates; students]"
"20","zsp2g9wd",2018-10-18 09:08:09,0,1,2,1,2,"[Campus]","[No one; alone]","[Talking; texting; socializing]","[Talking on the phone;Text messaging on the phone;Interacting on Snapchat]"
"21","zsp2g9wd",2018-10-18 13:15:33,1,1,2,1,3,"[Campus]","[No one; alone]","[Commuting; traveling;Studying; reading; preparing for an exam]","[No one; alone]"
"22","zsp2g9wd",2018-10-18 16:38:53,1,1,1,1,2,"[Campus]","[No one; alone]","[Attending classes; meetings;Browsing the Internet; using social media]","[No one; alone]"
"23","zsp2g9wd",2018-10-18 18:04:35,0,1,2,1,1,"[Library]","[No one; alone]","[Browsing the Internet; using social media;Studying; reading; preparing for an exam;Watching TV; movies]","[No one; alone]"
"24","zsp2g9wd",2018-10-19 11:50:20,0,0,2,2,1,"[Home (dorm; apartment)]","[No one; alone;Strangers]","[Resting; napping; doing nothing]","[Talking on the phone]"
"25","zsp2g9wd",2018-10-19 16:52:53,0,0,3,1,3,"[Home (dorm; apartment)]","[No one; alone]","[Talking; texting; socializing;Watching TV; movies]","[No one; alone]"
"26","zsp2g9wd",2018-10-19 19:17:29,0,1,2,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media;Studying; reading; preparing for an exam;Talking; texting; socializing;Watching TV; movies]","[No one; alone]"
"27","zsp2g9wd",2018-10-20 23:25:32,0,0,3,0,4,"[Store / Mall]","[Family;Significant other]","[Eating; drinking;Talking; texting; socializing]","[Family;Significant other]"
"28","zsp2g9wd",2018-10-21 12:00:51,0,0,3,1,2,"[Home (dorm; apartment)]","[No one; alone;None of the above; Other]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"29","zsp2g9wd",2018-10-21 13:47:13,0,0,2,0,2,"[Home (dorm; apartment)]","[Family]","[Doing household chores; running errands;Eating; drinking]","[Family]"
"30","zsp2g9wd",2018-10-21 15:12:55,0,0,2,0,3,"[Home (dorm; apartment)]","[Family]","[Studying; reading; preparing for an exam;Watching TV; movies]","[Family]"
"31","zsp2g9wd",2018-10-22 14:46:14,0,1,2,1,2,"[Campus]","[No one; alone]","[Eating; drinking;Talking; texting; socializing;Watching TV; movies]","[No one; alone]"
"32","zsp2g9wd",2018-10-22 16:18:47,1,3,2,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing;Watching TV; movies]","[No one; alone]"
"33","zsp2g9wd",2018-10-23 12:35:08,0,2,2,1,2,"[Campus]","[No one; alone]","[Studying; reading; preparing for an exam]","[Talking on the phone;Text messaging on the phone]"
"34","zsp2g9wd",2018-10-23 12:58:23,0,1,2,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"35","zsp2g9wd",2018-10-23 17:42:43,0,1,2,1,2,"[Campus]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"36","zsp2g9wd",2018-10-24 00:02:21,1,1,1,1,1,"[Home (dorm; apartment)]","[Family;No one; alone]","[Resting; napping; doing nothing;Watching TV; movies]","[Family;No one; alone]"
"37","zsp2g9wd",2018-10-24 11:01:53,0,0,2,1,2,"[Campus]","[No one; alone]","[Watching TV; movies]","[Talking on the phone]"
"38","zsp2g9wd",2018-10-24 21:02:21,0,0,2,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Talking; texting; socializing;Watching TV; movies]","[No one; alone]"
"39","zsp2g9wd",2018-10-25 13:31:23,0,0,2,1,3,"[Campus]","[No one; alone]","[Eating; drinking;Talking; texting; socializing]","[Talking on the phone;Video-chatting]"
"40","zsp2g9wd",2018-10-26 00:09:32,0,0,2,0,1,"[Vehicle]","[No one; alone]","[Commuting; traveling]","[No one; alone]"
"41","zsp2g9wd",2018-10-28 10:12:51,0,0,2,0,3,"[Home (dorm; apartment)]","[Family]","[Eating; drinking;Watching TV; movies]","[Family]"
"42","zsp2g9wd",2018-10-29 11:10:13,1,0,1,1,2,"[Campus]","[No one; alone]","[Studying; reading; preparing for an exam;Talking; texting; socializing]","[Talking on the phone;Interacting on Snapchat;Interacting on Twitter]"
"43","zsp2g9wd",2018-10-31 18:42:17,0,0,2,1,3,"[Home (dorm; apartment)]","[No one; alone]","[Talking; texting; socializing;Watching TV; movies]","[Talking on the phone;Interacting on Snapchat;Interacting on Twitter]"
