"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","zxylk9qd",2018-10-10 09:03:56,0,1,3,1,4,"[Home (dorm; apartment)]","[No one; alone]","[Talking; texting; socializing]","[Text messaging on the phone]"
"2","zxylk9qd",2018-10-10 12:01:41,0,3,1,1,2,"Campus","Classmates; students","Attending classes; meetings","Classmates; students"
"3","zxylk9qd",2018-10-10 15:14:34,0,0,1,0,4,"[Store / Mall]","[Friends]","[Talking; texting; socializing]","[Friends]"
"4","zxylk9qd",2018-10-11 10:59:21,3,3,0,3,1,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person;Talking on the phone;Text messaging on the phone]"
"5","zxylk9qd",2018-10-11 14:50:49,3,3,0,3,0,"[Campus]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"6","zxylk9qd",2018-10-11 15:17:27,3,3,0,3,0,"[Campus;Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"7","zxylk9qd",2018-10-12 10:26:42,1,3,1,3,1,"[Campus]","[No one; alone]","[Commuting; traveling]","[Text messaging on the phone]"
"8","zxylk9qd",2018-10-12 13:22:46,0,3,1,3,1,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"9","zxylk9qd",2018-10-12 15:41:21,0,3,2,3,2,"[Home (dorm; apartment)]","[Roommates]","[Talking; texting; socializing]","[Roommates]"
"10","zxylk9qd",2018-10-13 10:46:20,1,3,1,0,0,"[Campus]","[Roommates]","[Browsing the Internet; using social media]","[Talking in person;Text messaging on the phone;Interacting on Facebook]"
"11","zxylk9qd",2018-10-13 12:33:43,1,3,1,3,1,"[Home (dorm; apartment)]","[Roommates]","[Studying; reading; preparing for an exam]","[Roommates]"
"12","zxylk9qd",2018-10-13 17:26:08,3,3,0,3,0,"[Home (dorm; apartment)]","[No one; alone]","[Talking; texting; socializing]","[No one; alone]"
"13","zxylk9qd",2018-10-14 13:53:18,0,1,3,0,0,"[Campus]","[Roommates]","[Commuting; traveling;Eating; drinking]","[Roommates]"
"14","zxylk9qd",2018-10-14 19:44:05,0,1,1,1,3,"[Home (dorm; apartment)]","[Roommates]","[Talking; texting; socializing]","[Roommates]"
"15","zxylk9qd",2018-10-15 09:13:46,0,1,1,3,0,"[Home (dorm; apartment)]","[Roommates]","[Talking; texting; socializing]","[Text messaging on the phone]"
"16","zxylk9qd",2018-10-15 12:00:42,3,3,0,1,0,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"17","zxylk9qd",2018-10-15 15:13:15,3,3,0,3,0,"[Home (dorm; apartment)]","[Roommates]","[Resting; napping; doing nothing]","[Roommates]"
"18","zxylk9qd",2018-10-15 18:01:06,1,3,0,3,3,"[Home (dorm; apartment)]","[No one; alone]","[Talking; texting; socializing]","[No one; alone]"
"19","zxylk9qd",2018-10-16 12:10:30,1,3,0,0,0,"[Store / Mall]","[No one; alone]","[Commuting; traveling]","[No one; alone]"
"20","zxylk9qd",2018-10-16 16:12:28,1,1,1,3,1,"[Home (dorm; apartment)]","[No one; alone]","[Attending classes; meetings]","[No one; alone]"
"21","zxylk9qd",2018-10-16 18:28:09,1,2,1,3,0,"[Campus]","[Roommates]","[Attending classes; meetings]","[Roommates]"
"22","zxylk9qd",2018-10-17 09:25:47,0,1,1,3,2,"[Home (dorm; apartment)]","[Roommates]","[Talking; texting; socializing]","[Text messaging on the phone;Interacting on Facebook]"
"23","zxylk9qd",2018-10-17 13:21:29,1,2,2,3,0,"[Campus]","[No one; alone]","[Eating; drinking]","[No one; alone]"
"24","zxylk9qd",2018-10-17 18:17:21,1,3,0,3,0,"[Campus]","[No one; alone]","[Eating; drinking]","[No one; alone]"
"25","zxylk9qd",2018-10-18 09:22:48,0,2,1,0,2,"[Campus]","[Roommates]","[Studying; reading; preparing for an exam]","[Talking in person;Text messaging on the phone]"
"26","zxylk9qd",2018-10-18 12:06:34,0,3,1,1,2,"[Home (dorm; apartment)]","[Roommates]","[Studying; reading; preparing for an exam]","[Roommates]"
"27","zxylk9qd",2018-10-18 18:00:39,0,3,1,0,4,"[Campus]","[Roommates]","[Eating; drinking]","[Roommates]"
"28","zxylk9qd",2018-10-19 12:00:55,0,0,3,0,4,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"29","zxylk9qd",2018-10-19 16:31:51,1,3,0,3,0,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media]","[No one; alone]"
"30","zxylk9qd",2018-10-20 09:15:05,0,0,3,3,4,"[Home (dorm; apartment)]","[Roommates]","[Studying; reading; preparing for an exam]","[Text messaging on the phone;Interacting on Snapchat]"
"31","zxylk9qd",2018-10-20 13:54:38,1,3,1,3,2,"[Campus]","[No one; alone]","[Eating; drinking]","[No one; alone]"
"32","zxylk9qd",2018-10-20 17:58:16,0,3,3,0,4,"[Home (dorm; apartment)]","[Roommates]","[Studying; reading; preparing for an exam]","[Roommates]"
"33","zxylk9qd",2018-10-21 16:47:01,1,3,0,3,0,"[Home (dorm; apartment)]","[Roommates]","[Studying; reading; preparing for an exam]","[Roommates]"
"34","zxylk9qd",2018-10-22 12:02:51,0,3,0,3,4,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Classmates; students]"
"35","zxylk9qd",2018-10-23 09:31:59,0,3,0,1,0,"[Campus]","[Roommates]","[Attending classes; meetings]","[Talking in person;Text messaging on the phone]"
"36","zxylk9qd",2018-10-23 14:04:22,1,3,1,3,2,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[No one; alone]"
"37","zxylk9qd",2018-10-23 18:56:26,0,2,3,3,4,"[Campus]","[Friends;Roommates]","[Attending classes; meetings]","[Friends;Roommates]"
"38","zxylk9qd",2018-10-25 15:00:41,2,3,0,3,2,"[Home (dorm; apartment)]","[Roommates]","[Studying; reading; preparing for an exam]","[Roommates]"
"39","zxylk9qd",2018-10-26 18:49:55,0,0,3,3,4,"[Home (dorm; apartment)]","[Roommates]","[Resting; napping; doing nothing]","[Roommates]"
"40","zxylk9qd",2018-10-27 15:04:37,0,0,3,0,4,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[No one; alone]"
"41","zxylk9qd",2018-10-28 13:53:36,1,0,3,3,2,"[Home (dorm; apartment)]","[Roommates]","[Browsing the Internet; using social media]","[Roommates]"
"42","zxylk9qd",2018-10-30 15:11:50,0,0,3,3,4,"[Campus]","[No one; alone]","[Commuting; traveling]","[No one; alone]"
