"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","18pw5ito",2019-02-14 12:43:18,1,3,2,1,2,"[Library]","[No one; alone]","[Studying; reading; preparing for an exam]","[Text messaging on the phone]"
"2","18pw5ito",2019-02-14 15:01:16,0,3,2,1,1,"[Library]","[No one; alone]","[Watching TV; movies]","[Text messaging on the phone]"
"3","18pw5ito",2019-02-17 16:38:57,0,2,2,0,1,"[Library]","[Significant Other]","[Studying; reading; preparing for an exam]","[Talking in person]"
"4","18pw5ito",2019-02-18 20:01:18,1,3,1,1,2,"[Library]","[No one; alone]","[Studying; reading; preparing for an exam]","[Text messaging on the phone]"
"5","18pw5ito",2019-02-19 13:58:23,0,1,2,0,2,"[Campus]","[Classmates; students;Friends]","[Attending classes; meetings]","[Talking in person]"
"6","18pw5ito",2019-02-19 18:22:38,0,2,2,1,2,"[Cafe; Restaurant]","[Friends]","[Eating; drinking]","[Talking in person]"
"7","18pw5ito",2019-02-20 18:03:14,0,1,1,0,1,"[Campus]","[Friends]","[Talking; texting; socializing]","[Talking in person]"
"8","18pw5ito",2019-02-21 18:03:28,0,2,2,0,1,"[Cafe; Restaurant]","[Friends;Significant Other]","[Eating; drinking]","[Talking in person]"
"9","18pw5ito",2019-02-22 15:00:46,2,3,0,1,2,"[Campus]","[No one; alone]","[Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
"10","18pw5ito",2019-02-23 09:00:52,0,1,1,0,1,"[Campus;Home (dorm; apartment)]","[Roommates]","[Resting; napping; doing nothing]","[Talking in person]"
"11","18pw5ito",2019-02-23 12:09:47,2,2,1,2,1,"[None of the above; Other]","[Classmates; students;Friends]","[Talking; texting; socializing]","[Talking in person;Text messaging on the phone]"
"12","18pw5ito",2019-02-25 12:01:28,3,3,0,3,1,"[Campus]","[No one; alone]","[Commuting; traveling]","[Not applicable; was not interacting with anyone]"
"13","18pw5ito",2019-02-25 18:15:22,0,1,3,0,3,"[Campus]","[Friends]","[Attending classes; meetings]","[Talking in person]"
"14","18pw5ito",2019-02-27 18:01:53,2,2,1,2,2,"[Campus]","[Friends]","[Attending classes; meetings]","[Talking in person]"
"15","18pw5ito",2019-02-28 10:42:46,3,3,0,3,3,"[Campus]","[Classmates; students;Friends]","[Attending classes; meetings]","[Talking in person]"
"16","18pw5ito",2019-02-28 12:01:00,3,3,0,3,2,"[Campus]","[Classmates; students]","[Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
"17","18pw5ito",2019-02-28 15:00:57,2,3,0,0,2,"[Home (dorm; apartment)]","[Significant Other]","[Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
"18","18pw5ito",2019-02-28 18:01:31,1,1,1,2,2,"[Cafe; Restaurant]","[Significant Other]","[Eating; drinking]","[Talking in person]"
"19","18pw5ito",2019-03-01 12:05:27,0,0,2,1,3,"[Campus]","[Friends]","[Eating; drinking]","[Talking in person;Talking on the phone]"
"20","18pw5ito",2019-03-01 15:04:35,0,0,3,1,3,"[Home (dorm; apartment)]","[Significant Other]","[Resting; napping; doing nothing]","[Talking in person]"
"21","18pw5ito",2019-03-01 18:04:03,0,0,2,0,1,"[Vehicle]","[Family]","[Commuting; traveling]","[Talking in person]"
"22","18pw5ito",2019-03-02 15:00:50,1,0,1,2,1,"[Vehicle]","[Family]","[Commuting; traveling]","[Talking in person;Text messaging on the phone]"
"23","18pw5ito",2019-03-02 18:00:53,0,0,2,0,1,"[Home (dorm; apartment)]","[Family]","[Eating; drinking]","[Talking in person;Text messaging on the phone]"
"24","18pw5ito",2019-03-03 10:17:57,2,2,2,1,2,"[Campus]","[Friends;Strangers]","[Exercising; physical activity; sports]","[Talking in person]"
"25","18pw5ito",2019-03-03 13:11:45,0,1,2,0,2,"[Campus]","[Friends]","[Talking; texting; socializing]","[Talking in person]"
"26","18pw5ito",2019-03-03 15:00:36,0,1,3,0,1,"[Home (dorm; apartment)]","[Significant Other]","[Resting; napping; doing nothing]","[Talking in person]"
"27","18pw5ito",2019-03-04 09:05:49,1,3,1,2,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Not applicable; was not interacting with anyone]"
"28","18pw5ito",2019-03-04 12:12:55,1,3,1,1,2,"[Campus]","[Classmates; students]","[Studying; reading; preparing for an exam]","[Talking in person]"
"29","18pw5ito",2019-03-04 18:58:36,3,3,0,3,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person]"
"30","18pw5ito",2019-03-05 09:47:02,2,3,1,2,1,"[Campus;Home (dorm; apartment)]","[Friends;Roommates]","[Eating; drinking]","[Talking on the phone]"
"31","18pw5ito",2019-03-07 15:06:29,0,3,1,2,3,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person]"
"32","18pw5ito",2019-03-11 10:09:06,1,3,1,1,2,"[Campus]","[No one; alone]","[Eating; drinking]","[Not applicable; was not interacting with anyone]"
