"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","1nupsdh7",2019-02-17 15:55:33,0,1,1,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"2","1nupsdh7",2019-02-18 09:44:02,0,2,1,0,1,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"3","1nupsdh7",2019-02-18 13:31:17,2,2,0,0,3,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing;Talking; texting; socializing]","[Text messaging on the phone]"
"4","1nupsdh7",2019-02-18 15:13:40,2,2,0,0,3,"[Home (dorm; apartment)]","[No one; alone]","[Attending classes; meetings;Talking; texting; socializing]","[Interacting on Facebook;Interacting on Snapchat]"
"5","1nupsdh7",2019-02-21 16:24:37,0,1,1,0,2,"[Home (dorm; apartment)]","[Classmates; students;No one; alone]","[Attending classes; meetings;Browsing the Internet; using social media]","[Interacting on Snapchat]"
"6","1nupsdh7",2019-02-21 18:58:14,0,1,1,0,2,"[Cafe; Restaurant;Campus;Home (dorm; apartment)]","[Friends;No one; alone;Roommates;Strangers]","[Browsing the Internet; using social media;Commuting; traveling;Eating; drinking]","[Talking in person;Chatting on Whatsapp or other chat app;Video-chatting;Interacting on Snapchat]"
"7","1nupsdh7",2019-02-22 19:04:52,0,1,2,0,2,"[Campus;Home (dorm; apartment);Vehicle]","[Classmates; students;No one; alone]","[Browsing the Internet; using social media;Commuting; traveling;Doing household chores; running errands;Talking; texting; socializing]","[Talking in person;Video-chatting;Interacting on Snapchat]"
"8","1nupsdh7",2019-02-23 19:33:47,0,2,0,0,2,"[Library]","[No one; alone]","[Studying; reading; preparing for an exam;Talking; texting; socializing]","[Interacting on Snapchat;Not applicable; was not interacting with anyone]"
"9","1nupsdh7",2019-02-24 10:58:42,0,1,1,1,2,"[Home (dorm; apartment)]","[No one; alone;None of the above; Other]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"10","1nupsdh7",2019-02-24 16:58:43,0,1,1,0,2,"[Home (dorm; apartment)]","[No one; alone;Roommates]","[Resting; napping; doing nothing]","[Talking in person;Not applicable; was not interacting with anyone]"
"11","1nupsdh7",2019-02-25 10:48:14,1,1,0,0,2,"[Campus]","[No one; alone;Roommates]","[Resting; napping; doing nothing]","[Talking in person;Not applicable; was not interacting with anyone]"
"12","1nupsdh7",2019-02-25 13:35:16,1,2,1,0,2,"[Campus;Library]","[Classmates; students;No one; alone]","[Attending classes; meetings;Commuting; traveling;Studying; reading; preparing for an exam]","[Chatting on Whatsapp or other chat app;Not applicable; was not interacting with anyone]"
"13","1nupsdh7",2019-02-26 13:43:29,0,1,0,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
