"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","23vxppiy",2019-02-14 12:01:39,1,3,1,0,3,"[Home (dorm; apartment)]","[Strangers]","[Eating; drinking]","[Not applicable; was not interacting with anyone]"
"2","23vxppiy",2019-02-14 15:20:14,1,2,1,0,2,"[Home (dorm; apartment)]","[None of the above; Other]","[Studying; reading; preparing for an exam]","[Interacting on Twitter]"
"3","23vxppiy",2019-02-14 18:39:53,2,2,0,0,1,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person]"
"4","23vxppiy",2019-02-15 12:01:12,0,0,2,0,1,"[Cafe; Restaurant;Campus]","[Classmates; students;Strangers]","[Attending classes; meetings;Eating; drinking]","[Text messaging on the phone;Interacting on Twitter]"
"5","23vxppiy",2019-02-15 18:46:21,0,0,2,0,2,"[Campus;Home (dorm; apartment)]","[Friends;Roommates]","[Talking; texting; socializing]","[Talking in person]"
"6","23vxppiy",2019-02-16 14:43:43,1,1,2,0,1,"[Campus;Home (dorm; apartment)]","[Friends;Roommates]","[Browsing the Internet; using social media;Talking; texting; socializing]","[Talking on the phone;Video-chatting]"
"7","23vxppiy",2019-02-16 15:04:27,0,1,2,0,1,"[Home (dorm; apartment)]","[Friends]","[Talking; texting; socializing]","[Video-chatting]"
"8","23vxppiy",2019-02-16 18:08:51,0,0,2,0,3,"[Cafe; Restaurant]","[Friends]","[Eating; drinking]","[Talking in person]"
"9","23vxppiy",2019-02-17 16:34:55,0,1,2,0,2,"[Campus;Home (dorm; apartment)]","[Friends]","[Exercising; physical activity; sports]","[Talking in person]"
"10","23vxppiy",2019-02-17 19:20:41,0,0,2,0,2,"[Campus;Home (dorm; apartment)]","[Roommates]","[Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
"11","23vxppiy",2019-02-18 09:48:21,1,2,1,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media]","[Not applicable; was not interacting with anyone]"
"12","23vxppiy",2019-02-18 12:07:58,0,2,2,0,2,"[Campus]","[Strangers]","[Attending classes; meetings]","[Talking in person]"
"13","23vxppiy",2019-02-18 15:39:30,0,1,2,0,1,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
"14","23vxppiy",2019-02-18 18:05:13,0,1,2,0,2,"[Campus]","[Friends]","[Attending classes; meetings;Eating; drinking]","[Talking in person]"
"15","23vxppiy",2019-02-19 09:02:11,0,2,1,1,3,"[Work]","[No one; alone]","[Commuting; traveling;Working at job]","[Not applicable; was not interacting with anyone]"
"16","23vxppiy",2019-02-19 13:44:41,2,1,0,2,1,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person]"
"17","23vxppiy",2019-02-19 15:03:47,2,1,1,1,2,"[Campus]","[Classmates; students]","[Attending classes; meetings;Eating; drinking]","[Talking in person]"
"18","23vxppiy",2019-02-19 19:08:33,1,1,2,1,1,"[Home (dorm; apartment)]","[Roommates]","[Browsing the Internet; using social media]","[Talking in person]"
"19","23vxppiy",2019-02-20 10:02:00,1,1,2,1,3,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person]"
"20","23vxppiy",2019-02-20 13:07:02,1,1,2,0,3,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
"21","23vxppiy",2019-02-20 15:47:33,2,1,1,2,2,"[Home (dorm; apartment)]","[Roommates]","[Browsing the Internet; using social media]","[Talking in person]"
"22","23vxppiy",2019-02-20 20:25:26,1,2,1,1,2,"[Home (dorm; apartment)]","[Roommates]","[Studying; reading; preparing for an exam]","[Talking in person;Talking on the phone]"
"23","23vxppiy",2019-02-21 09:12:29,0,1,2,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person]"
"24","23vxppiy",2019-02-21 12:40:09,0,2,0,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Eating; drinking;Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
"25","23vxppiy",2019-02-21 15:14:32,0,1,1,1,1,"[Home (dorm; apartment)]","[Classmates; students]","[Attending classes; meetings]","[Talking in person;Talking on the phone]"
"26","23vxppiy",2019-02-21 18:36:41,1,2,1,1,1,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
"27","23vxppiy",2019-02-22 09:51:53,0,0,2,0,3,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person]"
"28","23vxppiy",2019-02-22 12:25:28,0,1,3,0,2,"[Campus;Vehicle]","[Classmates; students]","[Attending classes; meetings;Commuting; traveling]","[Talking in person;Text messaging on the phone]"
"29","23vxppiy",2019-02-22 18:08:23,0,0,3,0,3,"[Home (dorm; apartment)]","[Family]","[Eating; drinking]","[Talking in person;Talking on the phone]"
"30","23vxppiy",2019-02-23 09:50:53,0,0,3,0,3,"[Home (dorm; apartment)]","[Family]","[Resting; napping; doing nothing]","[Talking in person]"
"31","23vxppiy",2019-02-23 12:05:18,0,0,3,0,2,"[Home (dorm; apartment)]","[Family]","[Browsing the Internet; using social media]","[Talking in person]"
"32","23vxppiy",2019-02-23 16:15:01,0,1,3,0,1,"[Home (dorm; apartment)]","[Family]","[Resting; napping; doing nothing]","[Talking in person]"
"33","23vxppiy",2019-02-23 18:44:18,0,1,3,0,2,"[Home (dorm; apartment)]","[Family]","[Browsing the Internet; using social media]","[Talking in person]"
"34","23vxppiy",2019-02-24 09:50:11,2,1,1,0,2,"[Home (dorm; apartment)]","[Family]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"35","23vxppiy",2019-02-24 12:00:35,0,0,3,0,3,"[Cafe; Restaurant]","[Family]","[Eating; drinking]","[Talking in person]"
"36","23vxppiy",2019-02-24 15:18:32,0,1,3,0,3,"[Home (dorm; apartment)]","[Family]","[Browsing the Internet; using social media]","[Talking in person]"
"37","23vxppiy",2019-02-24 18:46:03,2,1,2,1,2,"[Cafe; Restaurant;Vehicle]","[No one; alone]","[Commuting; traveling]","[Text messaging on the phone]"
"38","23vxppiy",2019-02-25 12:46:28,1,2,1,0,1,"[Home (dorm; apartment)]","[No one; alone]","[Eating; drinking]","[Not applicable; was not interacting with anyone]"
"39","23vxppiy",2019-02-25 17:51:03,1,1,1,1,1,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
"40","23vxppiy",2019-02-26 09:45:51,1,1,2,1,3,"[Campus]","[No one; alone]","[Attending classes; meetings]","[Not applicable; was not interacting with anyone]"
"41","23vxppiy",2019-02-26 13:56:42,0,1,2,0,3,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Not applicable; was not interacting with anyone]"
"42","23vxppiy",2019-02-26 16:20:53,0,1,2,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Attending classes; meetings]","[Not applicable; was not interacting with anyone]"
"43","23vxppiy",2019-02-26 18:24:00,0,1,2,0,2,"[Home (dorm; apartment)]","[Roommates]","[Browsing the Internet; using social media]","[Talking in person]"
"44","23vxppiy",2019-02-27 09:01:25,3,3,0,1,1,"[Campus;Vehicle]","[Friends]","[Commuting; traveling]","[Talking in person]"
"45","23vxppiy",2019-02-27 12:41:56,3,3,1,2,2,"[Home (dorm; apartment)]","[Roommates]","[Eating; drinking]","[Talking in person]"
"46","23vxppiy",2019-02-27 15:52:16,3,2,1,1,1,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media]","[Text messaging on the phone]"
