"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","25tlqzef",2019-02-14 15:07:57,1,1,0,1,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Interacting on Snapchat]"
"2","25tlqzef",2019-02-14 18:01:56,0,0,2,0,2,"[Home (dorm; apartment)]","[Significant Other]","[Talking; texting; socializing]","[Video-chatting]"
"3","25tlqzef",2019-02-15 15:51:10,0,0,2,0,2,"[Cafe; Restaurant;Home (dorm; apartment)]","[Friends;No one; alone]","[Commuting; traveling;Eating; drinking;Talking; texting; socializing]","[Talking in person;Video-chatting;Interacting on Snapchat]"
"4","25tlqzef",2019-02-15 19:01:38,0,0,1,0,2,"[Home (dorm; apartment)]","[No one; alone;Significant Other]","[Talking; texting; socializing;None of the above; Other]","[Video-chatting;Interacting on Snapchat]"
"5","25tlqzef",2019-02-16 15:15:38,0,0,2,0,1,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"6","25tlqzef",2019-02-16 19:20:22,0,0,2,0,2,"[Friend's house]","[Friends]","[Commuting; traveling;Talking; texting; socializing;Watching TV; movies]","[Talking in person;Interacting on Instagram;Interacting on Snapchat]"
"7","25tlqzef",2019-02-17 15:01:05,0,0,2,0,2,"[Home (dorm; apartment)]","[None of the above; Other]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"8","25tlqzef",2019-02-17 23:43:21,0,0,2,0,2,"[Cafe; Restaurant;Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media;Eating; drinking;Talking; texting; socializing;Watching TV; movies]","[Interacting on Instagram;Interacting on Snapchat]"
"9","25tlqzef",2019-02-19 08:32:24,0,1,1,0,2,"[Campus]","[Classmates; students;Friends]","[Attending classes; meetings]","[Talking in person;Interacting on Instagram;Interacting on Snapchat]"
"10","25tlqzef",2019-02-20 08:02:20,0,0,1,0,2,"[Cafe; Restaurant;Home (dorm; apartment)]","[No one; alone]","[Eating; drinking;Studying; reading; preparing for an exam;Talking; texting; socializing;Watching TV; movies]","[Interacting on Instagram;Interacting on Snapchat]"
"11","25tlqzef",2019-02-20 12:58:02,0,0,1,0,1,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Interacting on Instagram;Interacting on Snapchat]"
"12","25tlqzef",2019-02-21 13:52:09,1,0,1,0,2,"[Cafe; Restaurant;Campus;Home (dorm; apartment)]","[Classmates; students;No one; alone]","[Attending classes; meetings;Commuting; traveling;Eating; drinking]","[Interacting on Instagram;Interacting on Snapchat]"
"13","25tlqzef",2019-02-21 15:46:40,0,1,1,0,2,"[Cafe; Restaurant;Campus]","[Friends]","[Attending classes; meetings]","[Interacting on Snapchat]"
"14","25tlqzef",2019-02-22 14:02:05,1,1,0,1,2,"[Home (dorm; apartment)]","[None of the above; Other]","[Doing household chores; running errands;Studying; reading; preparing for an exam]","[Interacting on Instagram;Interacting on Snapchat]"
"15","25tlqzef",2019-02-25 18:21:55,0,0,1,0,2,"[Home (dorm; apartment)]","[Roommates]","[Studying; reading; preparing for an exam]","[Talking in person;Interacting on Instagram;Interacting on Snapchat]"
"16","25tlqzef",2019-02-26 13:52:06,0,0,1,0,1,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person;Interacting on Instagram;Interacting on Snapchat]"
"17","25tlqzef",2019-02-27 08:16:36,0,0,1,0,1,"[Cafe; Restaurant]","[Strangers]","[Eating; drinking]","[Interacting on Instagram;Interacting on Snapchat]"
"18","25tlqzef",2019-02-27 20:50:19,0,0,1,0,1,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Interacting on Instagram;Interacting on Snapchat]"
"19","25tlqzef",2019-03-01 14:11:43,0,0,1,0,1,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Interacting on Instagram;Interacting on Snapchat]"
"20","25tlqzef",2019-03-01 16:05:59,0,0,2,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing;Watching TV; movies]","[Interacting on Instagram;Interacting on Snapchat]"
"21","25tlqzef",2019-03-01 18:12:00,0,0,2,0,3,"[Friend's house;Home (dorm; apartment)]","[Friends;Roommates]","[Commuting; traveling;Talking; texting; socializing]","[Talking in person;Talking on the phone;Interacting on Instagram;Interacting on Snapchat]"
"22","25tlqzef",2019-03-02 15:37:08,0,0,2,0,1,"[Home (dorm; apartment)]","[Roommates]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"23","25tlqzef",2019-03-03 23:07:02,0,1,2,0,3,"[Fraternity; Sorority House]","[Friends]","[Studying; reading; preparing for an exam;Talking; texting; socializing]","[Talking in person;Interacting on Instagram;Interacting on Snapchat]"
"24","25tlqzef",2019-03-04 09:31:41,0,0,1,0,2,"[Campus;Home (dorm; apartment)]","[Classmates; students]","[Attending classes; meetings;Eating; drinking;Resting; napping; doing nothing]","[Talking in person;Interacting on Instagram;Interacting on Snapchat]"
"25","25tlqzef",2019-03-04 15:06:37,0,0,1,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person]"
"26","25tlqzef",2019-03-06 07:56:47,0,1,2,0,2,"[Campus]","[Friends;Significant Other]","[Doing household chores; running errands]","[Chatting on Whatsapp or other chat app]"
"27","25tlqzef",2019-03-06 13:38:25,0,1,3,0,3,"[Cafe; Restaurant]","[Family]","[Doing household chores; running errands]","[Emailing]"
"28","25tlqzef",2019-03-06 21:19:13,1,1,2,1,1,"[Home (dorm; apartment)]","NO_ANSWER_SELECTED","NO_ANSWER_SELECTED","[Talking on the phone;Interacting on Instagram;Interacting on Snapchat]"
"29","25tlqzef",2019-03-07 09:34:41,0,0,1,0,1,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person;Interacting on Instagram;Interacting on Snapchat]"
"30","25tlqzef",2019-03-08 14:46:22,1,2,2,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
