"","pid","survey.date","local.time","answer","variable"
"1","36dsqll3",2019-02-14,2019-02-14 21:01:52,0,"sad"
"2","36dsqll3",2019-02-15,2019-02-15 21:53:46,0,"sad"
"3","36dsqll3",2019-02-16,2019-02-16 21:01:55,0,"sad"
"4","36dsqll3",2019-02-18,2019-02-18 21:01:19,0,"sad"
"5","36dsqll3",2019-02-19,2019-02-19 22:05:32,0,"sad"
"6","36dsqll3",2019-02-20,2019-02-20 21:12:41,0,"sad"
"7","36dsqll3",2019-02-21,2019-02-21 21:48:40,0,"sad"
"8","36dsqll3",2019-02-22,2019-02-22 21:21:48,0,"sad"
"9","36dsqll3",2019-02-23,2019-02-23 21:05:58,0,"sad"
"10","36dsqll3",2019-02-24,2019-02-24 21:21:05,0,"sad"
"11","36dsqll3",2019-02-26,2019-02-26 21:06:55,0,"sad"
"12","36dsqll3",2019-02-27,2019-02-27 21:31:15,0,"sad"
"13","36dsqll3",2019-02-28,2019-02-28 22:16:03,0,"sad"
"14","36dsqll3",2019-03-04,2019-03-04 23:02:53,0,"sad"
"15","36dsqll3",2019-03-05,2019-03-05 21:08:30,0,"sad"
"16","36dsqll3",2019-03-06,2019-03-06 21:30:50,0,"sad"
"17","36dsqll3",2019-03-08,2019-03-08 22:34:52,0,"sad"
"18","36dsqll3",2019-03-09,2019-03-09 21:13:26,0,"sad"
"19","36dsqll3",2019-03-11,2019-03-11 22:28:22,0,"sad"
"20","36dsqll3",2019-03-13,2019-03-13 21:43:54,0,"sad"
"21","36dsqll3",2019-03-15,2019-03-15 21:03:45,0,"sad"
"22","36dsqll3",2019-03-16,2019-03-16 22:12:09,0,"sad"
"23","36dsqll3",2019-03-18,2019-03-18 21:06:49,0,"sad"
"24","36dsqll3",2019-03-22,2019-03-22 22:32:14,0,"sad"
"25","36dsqll3",2019-03-24,2019-03-24 21:24:07,0,"sad"
"26","36dsqll3",2019-03-25,2019-03-25 22:07:08,0,"sad"
"27","36dsqll3",2019-03-26,2019-03-26 21:29:51,0,"sad"
"28","36dsqll3",2019-03-28,2019-03-28 21:00:59,1,"sad"
"29","36dsqll3",2019-04-06,2019-04-06 21:11:40,0,"sad"
"30","36dsqll3",2019-04-09,2019-04-09 22:42:41,0,"sad"
"31","36dsqll3",2019-04-10,2019-04-10 21:36:06,0,"sad"
"32","36dsqll3",2019-04-11,2019-04-11 22:37:09,0,"sad"
"33","36dsqll3",2019-04-12,2019-04-12 21:08:57,0,"sad"
"34","36dsqll3",2019-02-14,2019-02-14 21:01:52,2,"stress"
"35","36dsqll3",2019-02-15,2019-02-15 21:53:46,0,"stress"
"36","36dsqll3",2019-02-16,2019-02-16 21:01:55,0,"stress"
"37","36dsqll3",2019-02-18,2019-02-18 21:01:19,0,"stress"
"38","36dsqll3",2019-02-19,2019-02-19 22:05:32,0,"stress"
"39","36dsqll3",2019-02-20,2019-02-20 21:12:41,0,"stress"
"40","36dsqll3",2019-02-21,2019-02-21 21:48:40,1,"stress"
"41","36dsqll3",2019-02-22,2019-02-22 21:21:48,0,"stress"
"42","36dsqll3",2019-02-23,2019-02-23 21:05:58,0,"stress"
