"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","3hsdnzcg",2019-02-14 12:01:19,0,1,2,0,1,"[Campus]","[Friends]","[Attending classes; meetings; Eating; drinking]","[Talking in person; Text messaging on the phone; Chatting on Whatsapp or other chat app; Interacting on Instagram; Interacting on Snapchat]"
"2","3hsdnzcg",2019-02-14 15:02:26,0,1,3,0,1,"[Campus]","[Classmates; students; Family; Friends]","[Attending classes; meetings; Browsing the Internet; using social media]","[Talking in person; Talking on the phone; Text messaging on the phone; Interacting on Instagram; Interacting on Snapchat]"
"3","3hsdnzcg",2019-02-14 18:02:51,0,1,3,0,1,"[Campus]","[Friends]","[Browsing the Internet; using social media; Resting; napping; doing nothing; Talking; texting; socializing]","[Talking in person]"
"4","3hsdnzcg",2019-02-15 09:01:15,0,1,3,0,0,"[Campus; Home (dorm; apartment)]","[Classmates; students; Friends; No one; alone]","[Attending classes; meetings; Commuting; traveling]","[Talking in person]"
"5","3hsdnzcg",2019-02-15 12:00:50,0,1,3,0,2,"[Cafe; Restaurant; Campus; Home (dorm; apartment)]","[Classmates; students; Friends; No one; alone; Roommates]","[Browsing the Internet; using social media; Studying; reading; preparing for an exam; Watching TV; movies]","[Talking in person; Text messaging on the phone; Interacting on Snapchat]"
"6","3hsdnzcg",2019-02-15 15:01:07,1,1,2,0,2,"[Library]","[Friends]","[Studying; reading; preparing for an exam; Talking; texting; socializing]","[Talking in person; Text messaging on the phone]"
"7","3hsdnzcg",2019-02-15 18:02:02,0,1,3,0,3,"[Library]","[Friends]","[Browsing the Internet; using social media; Watching TV; movies]","[Talking in person; Text messaging on the phone]"
"8","3hsdnzcg",2019-02-16 10:32:08,0,1,3,0,3,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"9","3hsdnzcg",2019-02-16 12:03:41,0,1,3,0,2,"[Library]","[Friends]","[Studying; reading; preparing for an exam]","[Talking in person]"
"10","3hsdnzcg",2019-02-16 15:00:35,1,0,1,1,1,"[Library]","[Friends]","[Studying; reading; preparing for an exam; Talking; texting; socializing]","[Talking in person; Talking on the phone; Interacting on Snapchat]"
