"","pid","survey.date","local.time","answer","variable"
"1","3rfbf9ho",2019-02-14,2019-02-14 22:54:47,2,"sad"
"2","3rfbf9ho",2019-02-15,2019-02-15 23:00:51,0,"sad"
"3","3rfbf9ho",2019-02-16,2019-02-16 23:21:31,0,"sad"
"4","3rfbf9ho",2019-02-17,2019-02-18 01:55:35,2,"sad"
"5","3rfbf9ho",2019-02-18,2019-02-19 05:12:29,2,"sad"
"6","3rfbf9ho",2019-02-20,2019-02-21 00:53:40,0,"sad"
"7","3rfbf9ho",2019-02-21,2019-02-22 09:01:02,0,"sad"
"8","3rfbf9ho",2019-02-22,2019-02-23 01:34:24,0,"sad"
"9","3rfbf9ho",2019-02-24,2019-02-25 11:43:27,0,"sad"
"10","3rfbf9ho",2019-02-26,2019-02-26 21:55:24,1,"sad"
"11","3rfbf9ho",2019-02-27,2019-02-27 22:35:01,0,"sad"
"12","3rfbf9ho",2019-02-28,2019-02-28 21:21:52,0,"sad"
"13","3rfbf9ho",2019-03-02,2019-03-02 23:13:38,0,"sad"
"14","3rfbf9ho",2019-03-03,2019-03-04 07:43:26,0,"sad"
"15","3rfbf9ho",2019-03-04,2019-03-04 21:16:31,0,"sad"
"16","3rfbf9ho",2019-03-07,2019-03-07 18:57:47,0,"sad"
"17","3rfbf9ho",2019-03-08,2019-03-08 12:01:24,0,"sad"
"18","3rfbf9ho",2019-03-09,2019-03-10 03:24:55,0,"sad"
"19","3rfbf9ho",2019-02-14,2019-02-14 22:54:47,1,"stress"
"20","3rfbf9ho",2019-02-15,2019-02-15 23:00:51,1,"stress"
"21","3rfbf9ho",2019-02-16,2019-02-16 23:21:31,1,"stress"
"22","3rfbf9ho",2019-02-17,2019-02-18 01:55:35,3,"stress"
"23","3rfbf9ho",2019-02-18,2019-02-19 05:12:29,1,"stress"
"24","3rfbf9ho",2019-02-20,2019-02-21 00:53:40,0,"stress"
"25","3rfbf9ho",2019-02-21,2019-02-22 09:01:02,2,"stress"
"26","3rfbf9ho",2019-02-22,2019-02-23 01:34:24,0,"stress"
"27","3rfbf9ho",2019-02-24,2019-02-25 11:43:27,0,"stress"
"28","3rfbf9ho",2019-02-26,2019-02-26 21:55:24,1,"stress"
"29","3rfbf9ho",2019-02-27,2019-02-27 22:35:01,0,"stress"
"30","3rfbf9ho",2019-02-28,2019-02-28 21:21:52,0,"stress"
"31","3rfbf9ho",2019-03-03,2019-03-04 07:43:26,0,"stress"
"32","3rfbf9ho",2019-03-04,2019-03-04 21:16:31,0,"stress"
"33","3rfbf9ho",2019-03-05,2019-03-06 02:08:34,0,"stress"
"34","3rfbf9ho",2019-03-07,2019-03-07 18:57:47,0,"stress"
"35","3rfbf9ho",2019-03-08,2019-03-08 12:01:24,0,"stress"
"36","3rfbf9ho",2019-03-09,2019-03-10 03:24:55,0,"stress"
"37","3rfbf9ho",2019-02-14,2019-02-14 22:54:47,2,"content"
"38","3rfbf9ho",2019-02-15,2019-02-15 23:00:51,2,"content"
"39","3rfbf9ho",2019-02-16,2019-02-16 23:21:31,2,"content"
"40","3rfbf9ho",2019-02-17,2019-02-18 01:55:35,0,"content"
"41","3rfbf9ho",2019-02-18,2019-02-19 05:12:29,1,"content"
"42","3rfbf9ho",2019-02-20,2019-02-21 00:53:40,2,"content"
"43","3rfbf9ho",2019-02-21,2019-02-22 09:01:02,2,"content"
"44","3rfbf9ho",2019-02-22,2019-02-23 01:34:24,3,"content"
"45","3rfbf9ho",2019-02-24,2019-02-25 11:43:27,2,"content"
"46","3rfbf9ho",2019-02-26,2019-02-26 21:55:24,0,"content"
"47","3rfbf9ho",2019-02-27,2019-02-27 22:35:01,1,"content"
"48","3rfbf9ho",2019-02-28,2019-02-28 21:21:52,2,"content"
"49","3rfbf9ho",2019-03-02,2019-03-02 23:13:38,2,"content"
"50","3rfbf9ho",2019-03-03,2019-03-04 07:43:26,2,"content"
"51","3rfbf9ho",2019-03-04,2019-03-04 21:16:31,2,"content"
"52","3rfbf9ho",2019-03-05,2019-03-06 02:08:34,2,"content"
"53","3rfbf9ho",2019-03-07,2019-03-07 18:57:47,2,"content"
"54","3rfbf9ho",2019-03-08,2019-03-08 12:01:24,2,"content"
"55","3rfbf9ho",2019-03-09,2019-03-10 03:24:55,3,"content"
"56","3rfbf9ho",2019-02-14,2019-02-14 22:54:47,0,"lonely"
"57","3rfbf9ho",2019-02-15,2019-02-15 23:00:51,0,"lonely"
"58","3rfbf9ho",2019-02-16,2019-02-16 23:21:31,0,"lonely"
"59","3rfbf9ho",2019-02-17,2019-02-18 01:55:35,0,"lonely"
"60","3rfbf9ho",2019-02-18,2019-02-19 05:12:29,0,"lonely"
"61","3rfbf9ho",2019-02-20,2019-02-21 00:53:40,1,"lonely"
"62","3rfbf9ho",2019-02-21,2019-02-22 09:01:02,0,"lonely"
"63","3rfbf9ho",2019-02-22,2019-02-23 01:34:24,0,"lonely"
"64","3rfbf9ho",2019-02-24,2019-02-25 11:43:27,0,"lonely"
"65","3rfbf9ho",2019-02-26,2019-02-26 21:55:24,0,"lonely"
"66","3rfbf9ho",2019-02-27,2019-02-27 22:35:01,0,"lonely"
"67","3rfbf9ho",2019-02-28,2019-02-28 21:21:52,0,"lonely"
"68","3rfbf9ho",2019-03-02,2019-03-02 23:13:38,0,"lonely"
"69","3rfbf9ho",2019-03-03,2019-03-04 07:43:26,0,"lonely"
"70","3rfbf9ho",2019-03-04,2019-03-04 21:16:31,0,"lonely"
"71","3rfbf9ho",2019-03-05,2019-03-06 02:08:34,0,"lonely"
"72","3rfbf9ho",2019-03-07,2019-03-07 18:57:47,0,"lonely"
"73","3rfbf9ho",2019-03-08,2019-03-08 12:01:24,0,"lonely"
"74","3rfbf9ho",2019-03-09,2019-03-10 03:24:55,0,"lonely"
"75","3rfbf9ho",2019-02-14,2019-02-14 22:54:47,2,"energy"
"76","3rfbf9ho",2019-02-15,2019-02-15 23:00:51,2,"energy"
"77","3rfbf9ho",2019-02-16,2019-02-16 23:21:31,2,"energy"
"78","3rfbf9ho",2019-02-17,2019-02-18 01:55:35,3,"energy"
"79","3rfbf9ho",2019-02-18,2019-02-19 05:12:29,2,"energy"
"80","3rfbf9ho",2019-02-20,2019-02-21 00:53:40,2,"energy"
"81","3rfbf9ho",2019-02-21,2019-02-22 09:01:02,2,"energy"
"82","3rfbf9ho",2019-02-22,2019-02-23 01:34:24,3,"energy"
"83","3rfbf9ho",2019-02-24,2019-02-25 11:43:27,2,"energy"
"84","3rfbf9ho",2019-02-26,2019-02-26 21:55:24,1,"energy"
"85","3rfbf9ho",2019-02-27,2019-02-27 22:35:01,2,"energy"
"86","3rfbf9ho",2019-02-28,2019-02-28 21:21:52,3,"energy"
"87","3rfbf9ho",2019-03-02,2019-03-02 23:13:38,2,"energy"
"88","3rfbf9ho",2019-03-03,2019-03-04 07:43:26,2,"energy"
"89","3rfbf9ho",2019-03-04,2019-03-04 21:16:31,2,"energy"
"90","3rfbf9ho",2019-03-05,2019-03-06 02:08:34,1,"energy"
"91","3rfbf9ho",2019-03-07,2019-03-07 18:57:47,2,"energy"
"92","3rfbf9ho",2019-03-08,2019-03-08 12:01:24,2,"energy"
"93","3rfbf9ho",2019-03-09,2019-03-10 03:24:55,1,"energy"
"94","3rfbf9ho",2019-02-14,2019-02-14 13:57:42,3,"sleep"
