"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","4hbzghv8",2019-02-14 09:15:34,0,2,1,0,1,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Chatting on Whatsapp or other chat app]"
"2","4hbzghv8",2019-02-14 12:13:36,0,2,2,0,2,"[Campus;Home (dorm; apartment)]","[Classmates; students]","[Attending classes; meetings]","[Text messaging on the phone;Chatting on Whatsapp or other chat app]"
"3","4hbzghv8",2019-02-14 15:39:27,0,2,1,0,2,"[Campus;Home (dorm; apartment)]","[Classmates; students;Friends]","[Attending classes; meetings;Browsing the Internet; using social media;Resting; napping; doing nothing;Studying; reading; preparing for an exam;Talking; texting; socializing]","[Text messaging on the phone;Chatting on Whatsapp or other chat app;Interacting on Instagram]"
"4","4hbzghv8",2019-02-14 18:01:52,0,2,1,0,2,"[Home (dorm; apartment)]","[Classmates; students;Friends]","[Browsing the Internet; using social media;Resting; napping; doing nothing;Studying; reading; preparing for an exam]","[Talking in person;Text messaging on the phone;Chatting on Whatsapp or other chat app;Interacting on Instagram]"
"5","4hbzghv8",2019-02-15 11:16:56,1,2,2,1,2,"[Home (dorm; apartment)]","[None of the above; Other]","[Resting; napping; doing nothing]","[Text messaging on the phone]"
"6","4hbzghv8",2019-02-15 12:08:10,1,2,2,1,2,"[Campus]","[Classmates; students;Friends]","[Attending classes; meetings;Browsing the Internet; using social media]","[Text messaging on the phone;Interacting on Instagram;Other form of social interaction]"
"7","4hbzghv8",2019-02-15 15:01:02,0,1,2,1,3,"[None of the above; Other]","[Classmates; students;Friends]","[Browsing the Internet; using social media]","[Talking in person;Text messaging on the phone]"
"8","4hbzghv8",2019-02-15 18:01:00,0,2,3,1,2,"[None of the above; Other]","[Friends]","[Browsing the Internet; using social media;Eating; drinking;Talking; texting; socializing]","[Talking in person;Text messaging on the phone;Interacting on Instagram]"
"9","4hbzghv8",2019-02-16 10:56:24,1,2,2,1,2,"[Home (dorm; apartment)]","[Friends;Roommates]","[Resting; napping; doing nothing]","[Text messaging on the phone;Interacting on Instagram]"
"10","4hbzghv8",2019-02-16 12:04:37,0,2,2,1,3,"[Campus;Home (dorm; apartment)]","[Friends;No one; alone]","[Attending classes; meetings]","[Talking in person;Text messaging on the phone;Interacting on Instagram]"
"11","4hbzghv8",2019-02-16 15:02:09,0,1,2,1,3,"[Home (dorm; apartment)]","[Friends;Roommates]","[Browsing the Internet; using social media]","[Text messaging on the phone;Interacting on Instagram]"
"12","4hbzghv8",2019-02-16 18:22:07,0,1,2,1,3,"[Cafe; Restaurant;Home (dorm; apartment)]","[Classmates; students;Friends;Roommates]","[Browsing the Internet; using social media;Studying; reading; preparing for an exam;Talking; texting; socializing]","[Talking in person;Text messaging on the phone;Interacting on Instagram]"
"13","4hbzghv8",2019-02-17 09:21:02,0,1,3,0,3,"[Friend's house]","[Significant Other]","[Resting; napping; doing nothing;Talking; texting; socializing]","[Talking in person]"
"14","4hbzghv8",2019-02-17 12:00:52,0,1,2,1,3,"[Home (dorm; apartment)]","[Friends;Roommates]","[Browsing the Internet; using social media;Talking; texting; socializing]","[Text messaging on the phone;Interacting on Instagram]"
"15","4hbzghv8",2019-02-17 15:02:32,0,1,2,0,3,"[Library]","[Significant Other]","[Commuting; traveling;Studying; reading; preparing for an exam]","[Talking in person;Talking on the phone]"
