"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","4pzlxdto",2019-02-14 09:01:15,1,1,1,1,1,"[Campus]","[Classmates; students;Strangers]","[Attending classes; meetings;Browsing the Internet; using social media]","[Talking in person;Text messaging on the phone]"
"2","4pzlxdto",2019-02-14 12:03:37,1,2,1,1,2,"[Campus]","[Classmates; students;Strangers]","[Attending classes; meetings;Browsing the Internet; using social media;Talking; texting; socializing]","[Talking in person;Text messaging on the phone]"
"3","4pzlxdto",2019-02-14 15:01:19,0,1,1,1,2,"[Home (dorm; apartment)]","[None of the above; Other]","[Browsing the Internet; using social media;Studying; reading; preparing for an exam;Talking; texting; socializing;Watching TV; movies]","[Text messaging on the phone;Interacting on Twitter]"
"4","4pzlxdto",2019-02-14 18:01:05,0,1,2,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media;Resting; napping; doing nothing;Talking; texting; socializing;Watching TV; movies]","[Not applicable; was not interacting with anyone]"
"5","4pzlxdto",2019-02-15 12:01:10,0,1,2,0,1,"[Vehicle]","[Significant Other]","[Commuting; traveling;Eating; drinking]","[Text messaging on the phone;Interacting on Twitter]"
"6","4pzlxdto",2019-02-15 15:00:57,0,1,2,0,2,"[Home (dorm; apartment)]","[Friends;Roommates]","[Studying; reading; preparing for an exam;Talking; texting; socializing]","[Talking in person;Text messaging on the phone;Interacting on Twitter]"
"7","4pzlxdto",2019-02-15 18:01:03,1,2,1,1,3,"[Home (dorm; apartment)]","[Roommates]","[Browsing the Internet; using social media;Studying; reading; preparing for an exam;Talking; texting; socializing]","[Talking in person;Text messaging on the phone]"
"8","4pzlxdto",2019-02-16 15:01:09,1,2,1,1,1,"[Campus]","[Friends]","[Browsing the Internet; using social media;Studying; reading; preparing for an exam]","[Talking in person;Text messaging on the phone]"
"9","4pzlxdto",2019-02-17 18:01:10,0,3,1,1,1,"[Campus]","[Friends]","[Browsing the Internet; using social media;Studying; reading; preparing for an exam;Talking; texting; socializing]","[Talking in person;Text messaging on the phone;Interacting on Twitter]"
"10","4pzlxdto",2019-02-18 15:02:00,1,3,1,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
"11","4pzlxdto",2019-02-18 18:01:37,1,3,1,1,1,"[Home (dorm; apartment)]","[Roommates]","[Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
"12","4pzlxdto",2019-02-19 15:08:53,1,1,1,0,2,"[Home (dorm; apartment)]","[Roommates]","[Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
"13","4pzlxdto",2019-02-19 18:01:01,0,0,2,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing;Watching TV; movies]","[Not applicable; was not interacting with anyone]"
"14","4pzlxdto",2019-02-20 12:00:44,1,1,2,1,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person]"
"15","4pzlxdto",2019-02-20 15:13:39,0,0,1,0,2,"[Campus]","[Strangers]","[None of the above; Other]","[Talking in person]"
"16","4pzlxdto",2019-02-21 10:04:34,0,1,0,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person]"
"17","4pzlxdto",2019-02-21 15:04:41,0,1,2,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
"18","4pzlxdto",2019-02-23 12:00:52,0,0,2,0,2,"[Home (dorm; apartment)]","[Significant Other]","[Browsing the Internet; using social media;Resting; napping; doing nothing]","[Talking in person]"
"19","4pzlxdto",2019-02-23 15:23:22,0,1,2,0,2,"[Vehicle]","[Significant Other]","[Browsing the Internet; using social media;Commuting; traveling]","[Talking in person;Interacting on Instagram;Interacting on Snapchat;Interacting on Twitter]"
"20","4pzlxdto",2019-02-23 18:03:10,0,1,2,0,3,"[Home (dorm; apartment)]","[Family;Significant Other]","[Browsing the Internet; using social media;Eating; drinking;Resting; napping; doing nothing;Talking; texting; socializing;Watching TV; movies]","[Talking in person;Text messaging on the phone;Interacting on Instagram;Interacting on Snapchat;Interacting on Twitter]"
"21","4pzlxdto",2019-02-24 12:48:21,1,1,1,1,1,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"22","4pzlxdto",2019-02-24 15:00:40,0,1,1,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media;Studying; reading; preparing for an exam]","[Emailing]"
"23","4pzlxdto",2019-02-24 18:00:55,1,1,1,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media;Resting; napping; doing nothing;Studying; reading; preparing for an exam]","[Talking on the phone;Text messaging on the phone;Interacting on Snapchat;Interacting on Twitter]"
"24","4pzlxdto",2019-02-25 10:31:36,1,1,1,0,2,"[Vehicle]","[No one; alone]","[Commuting; traveling]","[Not applicable; was not interacting with anyone]"
"25","4pzlxdto",2019-02-25 12:00:50,0,2,1,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person]"
"26","4pzlxdto",2019-02-25 15:01:24,1,1,1,1,3,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
"27","4pzlxdto",2019-02-25 18:04:24,0,1,2,0,2,"[Cafe; Restaurant;Home (dorm; apartment)]","[Friends]","[Eating; drinking;Talking; texting; socializing]","[Talking in person;Text messaging on the phone]"
"28","4pzlxdto",2019-02-26 09:00:50,0,1,1,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings;Studying; reading; preparing for an exam]","[Talking in person;Text messaging on the phone]"
"29","4pzlxdto",2019-02-26 12:01:16,0,2,1,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person]"
"30","4pzlxdto",2019-02-26 15:14:15,1,0,2,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"31","4pzlxdto",2019-02-26 18:00:42,0,1,1,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media;Eating; drinking;Studying; reading; preparing for an exam;Talking; texting; socializing]","[Talking on the phone;Text messaging on the phone;Interacting on Instagram;Interacting on Snapchat;Interacting on Twitter]"
"32","4pzlxdto",2019-02-27 10:44:38,0,1,1,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"33","4pzlxdto",2019-02-27 13:01:53,0,1,2,0,2,"[Campus]","[Classmates; students;Friends]","[Attending classes; meetings;Talking; texting; socializing]","[Talking in person;Talking on the phone]"
"34","4pzlxdto",2019-02-27 15:00:53,0,1,2,0,3,"[Home (dorm; apartment)]","[No one; alone]","[Eating; drinking;Watching TV; movies]","[Not applicable; was not interacting with anyone]"
"35","4pzlxdto",2019-02-27 18:01:14,0,1,2,0,3,"[Gym]","[Friends]","[Exercising; physical activity; sports]","[Talking in person]"
"36","4pzlxdto",2019-02-28 09:01:06,0,1,1,0,1,"[Campus]","[Classmates; students;Strangers]","[Attending classes; meetings]","[Talking in person]"
"37","4pzlxdto",2019-02-28 12:01:44,1,2,1,1,1,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person]"
"38","4pzlxdto",2019-02-28 15:02:32,1,1,2,0,2,"[Home (dorm; apartment)]","[Friends]","[Talking; texting; socializing]","[Talking in person]"
"39","4pzlxdto",2019-02-28 18:00:48,1,1,2,0,3,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media;Eating; drinking;Watching TV; movies]","[Not applicable; was not interacting with anyone]"
"40","4pzlxdto",2019-03-01 12:00:51,1,2,0,1,1,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person]"
"41","4pzlxdto",2019-03-02 16:29:08,1,2,2,0,2,"[Library]","[Friends;Strangers]","[Browsing the Internet; using social media;Studying; reading; preparing for an exam;Talking; texting; socializing]","[Talking in person;Text messaging on the phone;Interacting on Instagram;Interacting on Twitter]"
"42","4pzlxdto",2019-03-02 18:05:32,0,1,2,0,2,"[Cafe; Restaurant;Vehicle]","[Friends;Significant Other]","[Commuting; traveling;Eating; drinking]","[Talking in person]"
"43","4pzlxdto",2019-03-04 10:26:45,1,2,1,1,1,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"44","4pzlxdto",2019-03-04 12:04:21,1,2,1,1,1,"[Campus]","[Classmates; students;Friends]","[Attending classes; meetings]","[Talking in person]"
"45","4pzlxdto",2019-03-04 18:00:58,1,2,1,1,1,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
"46","4pzlxdto",2019-03-05 09:01:17,1,2,1,1,1,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Not applicable; was not interacting with anyone]"
"47","4pzlxdto",2019-03-05 12:04:53,0,1,1,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person]"
"48","4pzlxdto",2019-03-05 18:00:55,1,1,1,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media;Talking; texting; socializing;Watching TV; movies]","[Talking in person;Talking on the phone;Text messaging on the phone;Interacting on Snapchat;Interacting on Twitter]"
"49","4pzlxdto",2019-03-06 12:00:39,0,1,1,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Doing household chores; running errands;Watching TV; movies]","[Not applicable; was not interacting with anyone]"
"50","4pzlxdto",2019-03-06 15:23:05,1,1,1,1,2,"[Work;Vehicle]","[No one; alone]","[Commuting; traveling;Working at job]","[Not applicable; was not interacting with anyone]"
"51","4pzlxdto",2019-03-06 18:01:33,1,1,2,1,2,"[Cafe; Restaurant;Home (dorm; apartment)]","[No one; alone]","[Eating; drinking;Studying; reading; preparing for an exam]","[Text messaging on the phone;Interacting on Twitter]"
