"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","55n2pl3j",2019-02-14 09:02:35,0,0,1,0,1,"[Campus;Vehicle]","[Classmates; students;No one; alone]","[Attending classes; meetings]","[Talking in person;Text messaging on the phone;Interacting on Snapchat]"
"2","55n2pl3j",2019-02-14 13:00:18,0,0,0,0,2,"[Friend's house]","[Friends]","[Talking; texting; socializing]","[Talking in person]"
"3","55n2pl3j",2019-02-15 10:12:57,0,0,0,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Doing household chores; running errands;Eating; drinking;Talking; texting; socializing]","[Text messaging on the phone;Interacting on Snapchat]"
"4","55n2pl3j",2019-02-15 15:05:13,0,0,1,0,2,"[Campus]","[Strangers]","[None of the above; Other]","[Talking in person]"
"5","55n2pl3j",2019-02-15 20:48:30,0,0,3,0,3,"[Store / Mall]","[Strangers]","[Talking; texting; socializing]","[Talking in person;Text messaging on the phone]"
"6","55n2pl3j",2019-02-16 21:39:59,0,0,1,0,1,"[Home (dorm; apartment)]","[Family]","[Watching TV; movies]","[Text messaging on the phone]"
"7","55n2pl3j",2019-02-17 15:00:56,0,1,3,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Doing household chores; running errands;Eating; drinking]","[Text messaging on the phone;Interacting on Snapchat]"
"8","55n2pl3j",2019-02-17 18:01:47,0,0,2,0,1,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media;Eating; drinking;Watching TV; movies]","[Not applicable; was not interacting with anyone]"
"9","55n2pl3j",2019-02-18 10:29:31,1,1,1,0,1,"[Campus]","[Classmates; students]","[Attending classes; meetings;Eating; drinking]","[Talking in person;Text messaging on the phone;Interacting on Snapchat]"
"10","55n2pl3j",2019-02-18 12:03:43,1,2,0,0,2,"[Campus]","[Classmates; students;Friends]","[Attending classes; meetings;Studying; reading; preparing for an exam]","[Talking in person;Text messaging on the phone;Interacting on Snapchat;Interacting on Twitter]"
"11","55n2pl3j",2019-02-18 15:02:18,0,0,1,0,2,"[Campus]","[Classmates; students;No one; alone]","[Browsing the Internet; using social media;Watching TV; movies]","[Text messaging on the phone;Interacting on Facebook;Interacting on Snapchat]"
"12","55n2pl3j",2019-02-19 12:28:17,1,1,1,0,2,"[Campus]","[Classmates; students;Strangers]","[Attending classes; meetings;Browsing the Internet; using social media;Talking; texting; socializing]","[Text messaging on the phone;Interacting on Snapchat]"
"13","55n2pl3j",2019-02-19 15:01:44,0,3,0,1,1,"[Campus]","[No one; alone]","[Browsing the Internet; using social media;Studying; reading; preparing for an exam]","[Text messaging on the phone]"
"14","55n2pl3j",2019-02-20 10:34:00,1,1,2,0,2,"[Campus;Store / Mall;Vehicle]","[No one; alone;Strangers]","[Commuting; traveling]","[Talking in person;Text messaging on the phone;Interacting on Snapchat]"
