"","pid","survey.date","local.time","answer","variable"
"1","5gyyonjq",2019-02-18,2019-02-18 21:35:30,2,"sad"
"2","5gyyonjq",2019-02-19,2019-02-19 21:24:12,0,"sad"
"3","5gyyonjq",2019-02-20,2019-02-20 22:05:43,1,"sad"
"4","5gyyonjq",2019-02-21,2019-02-21 21:40:53,0,"sad"
"5","5gyyonjq",2019-02-22,2019-02-22 22:55:22,0,"sad"
"6","5gyyonjq",2019-02-23,2019-02-23 22:18:27,1,"sad"
"7","5gyyonjq",2019-02-24,2019-02-24 21:34:43,0,"sad"
"8","5gyyonjq",2019-02-25,2019-02-25 22:18:22,1,"sad"
"9","5gyyonjq",2019-02-26,2019-02-26 22:08:06,1,"sad"
"10","5gyyonjq",2019-02-27,2019-02-27 21:18:44,1,"sad"
"11","5gyyonjq",2019-02-28,2019-02-28 21:59:37,1,"sad"
"12","5gyyonjq",2019-03-01,2019-03-01 21:46:11,1,"sad"
"13","5gyyonjq",2019-03-02,2019-03-02 21:28:29,1,"sad"
"14","5gyyonjq",2019-03-03,2019-03-03 21:58:27,1,"sad"
"15","5gyyonjq",2019-03-04,2019-03-04 23:01:05,1,"sad"
"16","5gyyonjq",2019-03-05,2019-03-05 22:25:39,1,"sad"
"17","5gyyonjq",2019-03-06,2019-03-06 22:29:02,0,"sad"
"18","5gyyonjq",2019-03-07,2019-03-07 22:37:27,0,"sad"
"19","5gyyonjq",2019-03-08,2019-03-08 22:12:28,0,"sad"
"20","5gyyonjq",2019-03-09,2019-03-09 21:28:51,0,"sad"
"21","5gyyonjq",2019-03-11,2019-03-11 21:42:40,1,"sad"
"22","5gyyonjq",2019-02-18,2019-02-18 21:35:30,3,"stress"
"23","5gyyonjq",2019-02-19,2019-02-19 21:24:12,1,"stress"
"24","5gyyonjq",2019-02-20,2019-02-20 22:05:43,2,"stress"
"25","5gyyonjq",2019-02-21,2019-02-21 21:40:53,2,"stress"
"26","5gyyonjq",2019-02-22,2019-02-22 22:55:22,0,"stress"
"27","5gyyonjq",2019-02-23,2019-02-23 22:18:27,2,"stress"
"28","5gyyonjq",2019-02-24,2019-02-24 21:34:43,2,"stress"
"29","5gyyonjq",2019-02-25,2019-02-25 22:18:22,2,"stress"
"30","5gyyonjq",2019-02-26,2019-02-26 22:08:06,1,"stress"
"31","5gyyonjq",2019-02-27,2019-02-27 21:18:44,2,"stress"
"32","5gyyonjq",2019-02-28,2019-02-28 21:59:37,1,"stress"
"33","5gyyonjq",2019-03-01,2019-03-01 21:46:11,2,"stress"
"34","5gyyonjq",2019-03-02,2019-03-02 21:28:29,2,"stress"
"35","5gyyonjq",2019-03-03,2019-03-03 21:58:27,2,"stress"
"36","5gyyonjq",2019-03-04,2019-03-04 23:01:05,3,"stress"
"37","5gyyonjq",2019-03-05,2019-03-05 22:25:39,0,"stress"
"38","5gyyonjq",2019-03-06,2019-03-06 22:29:02,1,"stress"
"39","5gyyonjq",2019-03-07,2019-03-07 22:37:27,1,"stress"
"40","5gyyonjq",2019-03-08,2019-03-08 22:12:28,0,"stress"
"41","5gyyonjq",2019-03-09,2019-03-09 21:28:51,0,"stress"
"42","5gyyonjq",2019-03-11,2019-03-11 21:42:40,2,"stress"
"43","5gyyonjq",2019-02-18,2019-02-18 21:35:30,1,"content"
"44","5gyyonjq",2019-02-19,2019-02-19 21:24:12,3,"content"
"45","5gyyonjq",2019-02-20,2019-02-20 22:05:43,2,"content"
"46","5gyyonjq",2019-02-21,2019-02-21 21:40:53,2,"content"
"47","5gyyonjq",2019-02-22,2019-02-22 22:55:22,3,"content"
"48","5gyyonjq",2019-02-23,2019-02-23 22:18:27,1,"content"
"49","5gyyonjq",2019-02-24,2019-02-24 21:34:43,1,"content"
"50","5gyyonjq",2019-02-25,2019-02-25 22:18:22,0,"content"
"51","5gyyonjq",2019-02-26,2019-02-26 22:08:06,2,"content"
"52","5gyyonjq",2019-02-27,2019-02-27 21:18:44,2,"content"
"53","5gyyonjq",2019-02-28,2019-02-28 21:59:37,3,"content"
"54","5gyyonjq",2019-03-01,2019-03-01 21:46:11,1,"content"
"55","5gyyonjq",2019-03-02,2019-03-02 21:28:29,1,"content"
"56","5gyyonjq",2019-03-03,2019-03-03 21:58:27,2,"content"
"57","5gyyonjq",2019-03-04,2019-03-04 23:01:05,1,"content"
"58","5gyyonjq",2019-03-05,2019-03-05 22:25:39,1,"content"
"59","5gyyonjq",2019-03-06,2019-03-06 22:29:02,2,"content"
"60","5gyyonjq",2019-03-07,2019-03-07 22:37:27,3,"content"
"61","5gyyonjq",2019-03-08,2019-03-08 22:12:28,3,"content"
"62","5gyyonjq",2019-03-09,2019-03-09 21:28:51,2,"content"
"63","5gyyonjq",2019-03-11,2019-03-11 21:42:40,1,"content"
"64","5gyyonjq",2019-02-18,2019-02-18 21:35:30,1,"lonely"
"65","5gyyonjq",2019-02-19,2019-02-19 21:24:12,0,"lonely"
"66","5gyyonjq",2019-02-20,2019-02-20 22:05:43,0,"lonely"
"67","5gyyonjq",2019-02-21,2019-02-21 21:40:53,0,"lonely"
"68","5gyyonjq",2019-02-22,2019-02-22 22:55:22,0,"lonely"
"69","5gyyonjq",2019-02-23,2019-02-23 22:18:27,1,"lonely"
"70","5gyyonjq",2019-02-24,2019-02-24 21:34:43,0,"lonely"
"71","5gyyonjq",2019-02-25,2019-02-25 22:18:22,0,"lonely"
"72","5gyyonjq",2019-02-26,2019-02-26 22:08:06,0,"lonely"
"73","5gyyonjq",2019-02-27,2019-02-27 21:18:44,1,"lonely"
"74","5gyyonjq",2019-02-28,2019-02-28 21:59:37,1,"lonely"
"75","5gyyonjq",2019-03-01,2019-03-01 21:46:11,1,"lonely"
"76","5gyyonjq",2019-03-02,2019-03-02 21:28:29,1,"lonely"
"77","5gyyonjq",2019-03-03,2019-03-03 21:58:27,0,"lonely"
"78","5gyyonjq",2019-03-04,2019-03-04 23:01:05,1,"lonely"
"79","5gyyonjq",2019-03-05,2019-03-05 22:25:39,0,"lonely"
"80","5gyyonjq",2019-03-06,2019-03-06 22:29:02,2,"lonely"
"81","5gyyonjq",2019-03-07,2019-03-07 22:37:27,0,"lonely"
"82","5gyyonjq",2019-03-08,2019-03-08 22:12:28,0,"lonely"
"83","5gyyonjq",2019-03-09,2019-03-09 21:28:51,0,"lonely"
"84","5gyyonjq",2019-03-11,2019-03-11 21:42:40,1,"lonely"
"85","5gyyonjq",2019-02-18,2019-02-18 21:35:30,1,"energy"
"86","5gyyonjq",2019-02-19,2019-02-19 21:24:12,4,"energy"
"87","5gyyonjq",2019-02-20,2019-02-20 22:05:43,3,"energy"
"88","5gyyonjq",2019-02-21,2019-02-21 21:40:53,2,"energy"
"89","5gyyonjq",2019-02-22,2019-02-22 22:55:22,3,"energy"
"90","5gyyonjq",2019-02-23,2019-02-23 22:18:27,1,"energy"
"91","5gyyonjq",2019-02-24,2019-02-24 21:34:43,2,"energy"
"92","5gyyonjq",2019-02-25,2019-02-25 22:18:22,3,"energy"
"93","5gyyonjq",2019-02-26,2019-02-26 22:08:06,3,"energy"
"94","5gyyonjq",2019-02-27,2019-02-27 21:18:44,3,"energy"
"95","5gyyonjq",2019-02-28,2019-02-28 21:59:37,2,"energy"
"96","5gyyonjq",2019-03-01,2019-03-01 21:46:11,1,"energy"
"97","5gyyonjq",2019-03-02,2019-03-02 21:28:29,1,"energy"
"98","5gyyonjq",2019-03-03,2019-03-03 21:58:27,1,"energy"
"99","5gyyonjq",2019-03-04,2019-03-04 23:01:05,1,"energy"
"100","5gyyonjq",2019-03-05,2019-03-05 22:25:39,1,"energy"
"101","5gyyonjq",2019-03-06,2019-03-06 22:29:02,2,"energy"
"102","5gyyonjq",2019-03-07,2019-03-07 22:37:27,3,"energy"
