"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","5x5xc5c6",2019-02-14 09:01:28,0,1,3,0,2,"[Campus;Home (dorm; apartment)]","[Significant Other]","[Commuting; traveling]","[Text messaging on the phone;Interacting on Facebook]"
"2","5x5xc5c6",2019-02-14 15:00:41,0,0,3,0,3,"[Home (dorm; apartment)]","[No one; alone]","[None of the above; Other]","[Not applicable; was not interacting with anyone]"
"3","5x5xc5c6",2019-02-14 19:46:11,0,0,3,0,4,"[Cafe; Restaurant;Home (dorm; apartment)]","[Significant Other]","[Commuting; traveling;Eating; drinking]","[Talking in person]"
"4","5x5xc5c6",2019-02-15 09:00:55,0,1,3,0,2,"[Home (dorm; apartment)]","[Significant Other]","[None of the above; Other]","[Not applicable; was not interacting with anyone]"
"5","5x5xc5c6",2019-02-15 15:38:20,0,0,1,0,3,"[Home (dorm; apartment)]","[Significant Other]","[Resting; napping; doing nothing]","[Talking in person]"
"6","5x5xc5c6",2019-02-16 15:40:52,0,2,0,0,1,"[Work]","[Co-workers]","[Working at job]","[Talking in person]"
"7","5x5xc5c6",2019-02-16 18:00:54,0,0,3,0,3,"[Home (dorm; apartment)]","[Significant Other]","[Studying; reading; preparing for an exam]","[Talking in person]"
"8","5x5xc5c6",2019-02-17 15:09:40,0,0,2,0,3,"[Home (dorm; apartment)]","[None of the above; Other]","[Watching TV; movies]","[Not applicable; was not interacting with anyone]"
"9","5x5xc5c6",2019-02-18 10:33:50,0,0,2,0,4,"[Home (dorm; apartment)]","[Significant Other]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"10","5x5xc5c6",2019-02-18 12:24:57,0,0,1,0,3,"[Campus]","[Strangers]","[Commuting; traveling]","[Not applicable; was not interacting with anyone]"
"11","5x5xc5c6",2019-02-18 15:08:47,0,0,2,0,2,"[Campus;Library]","[None of the above; Other]","[Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
"12","5x5xc5c6",2019-02-18 20:59:03,0,0,2,0,3,"[Home (dorm; apartment)]","[Significant Other]","NO_ANSWER_SELECTED","[Talking in person]"
"13","5x5xc5c6",2019-02-19 09:29:26,0,0,0,0,3,"[Campus]","[Classmates; students]","[Attending classes; meetings;Commuting; traveling]","[Talking in person]"
"14","5x5xc5c6",2019-02-19 12:00:37,0,0,3,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media;Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
