"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","6acfkj7q",2019-02-15 15:03:26,0,1,2,0,2,"[Work]","[Co-workers;Strangers]","[Browsing the Internet; using social media;Working at job]","[Talking in person;Interacting on Instagram;Interacting on Snapchat;Interacting on Twitter]"
"2","6acfkj7q",2019-02-18 11:02:04,0,0,3,0,4,"[Campus;Home (dorm; apartment)]","[Classmates; students;Roommates]","[Attending classes; meetings;Eating; drinking]","[Talking in person;Interacting on Instagram;Interacting on Snapchat;Interacting on Twitter]"
"3","6acfkj7q",2019-02-18 12:40:31,0,0,3,0,4,"[Home (dorm; apartment)]","[Roommates]","[Studying; reading; preparing for an exam]","[Talking in person;Interacting on Snapchat;Interacting on Twitter]"
"4","6acfkj7q",2019-02-18 16:27:34,0,1,2,0,3,"[Work]","[Co-workers]","[Working at job]","[Talking in person;Interacting on Snapchat;Interacting on Twitter]"
"5","6acfkj7q",2019-02-19 13:22:59,0,1,2,1,2,"[Work]","[Co-workers;Strangers]","[Talking; texting; socializing;Working at job]","[Talking in person;Interacting on Snapchat;Interacting on Twitter]"
"6","6acfkj7q",2019-02-20 18:02:53,0,1,2,0,2,"[Work]","[Co-workers;Strangers]","[Working at job]","[Talking in person;Interacting on Snapchat]"
"7","6acfkj7q",2019-02-21 12:37:31,0,1,2,0,2,"[Work]","[Co-workers;Strangers]","[Browsing the Internet; using social media;Talking; texting; socializing;Working at job]","[Talking in person;Interacting on Snapchat]"
"8","6acfkj7q",2019-02-23 15:06:12,0,0,2,0,2,"[Home (dorm; apartment)]","[Friends]","[Talking; texting; socializing;None of the above; Other]","[Talking in person;Interacting on Snapchat]"
"9","6acfkj7q",2019-02-24 18:01:28,1,2,1,0,2,"[Vehicle]","[Family]","[Browsing the Internet; using social media;Commuting; traveling;Talking; texting; socializing]","[Talking in person;Interacting on Snapchat]"
"10","6acfkj7q",2019-02-25 09:55:34,0,0,2,0,3,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person;Interacting on Snapchat]"
"11","6acfkj7q",2019-02-25 13:26:17,2,1,3,2,3,"[Work]","[Co-workers;Strangers]","[Working at job]","[Chatting on Whatsapp or other chat app;Interacting on Facebook;Interacting on Snapchat]"
"12","6acfkj7q",2019-02-27 12:04:09,2,3,1,1,2,"[Fraternity; Sorority House;Home (dorm; apartment);None of the above; Other]","[Family;Significant Other]","[Commuting; traveling;Exercising; physical activity; sports]","[Text messaging on the phone;Chatting on a dating app;Interacting on Facebook]"
"13","6acfkj7q",2019-02-27 15:12:55,2,2,1,1,1,"[Friend's house]","[No one; alone;Significant Other]","[Commuting; traveling;Exercising; physical activity; sports]","[Text messaging on the phone;Video-chatting;Interacting on Snapchat]"
"14","6acfkj7q",2019-02-27 18:01:11,1,2,2,1,1,"[Friend's house;Home (dorm; apartment)]","[Co-workers;Significant Other]","[Commuting; traveling;Resting; napping; doing nothing]","[Chatting on a dating app;Video-chatting]"
"15","6acfkj7q",2019-03-02 18:03:38,2,2,1,2,2,"[Cafe; Restaurant;Fraternity; Sorority House;Gym;Store / Mall]","[Family;Significant Other;None of the above; Other]","[Browsing the Internet; using social media;Exercising; physical activity; sports;Talking; texting; socializing]","[Text messaging on the phone;Emailing;Interacting on Snapchat]"
"16","6acfkj7q",2019-03-06 18:10:28,2,1,1,1,2,"[Fraternity; Sorority House;Friend's house]","[Friends;Roommates;Significant Other]","[Commuting; traveling;Exercising; physical activity; sports]","[Text messaging on the phone;Video-chatting;Interacting on Snapchat]"
