"","pid","survey.date","local.time","answer","variable"
"1","6czpfq3i",2019-02-16,2019-02-16 21:02:18,0,"sad"
"2","6czpfq3i",2019-02-27,2019-02-27 21:01:01,0,"sad"
"3","6czpfq3i",2019-02-28,2019-02-28 21:00:59,0,"sad"
"4","6czpfq3i",2019-03-02,2019-03-02 21:01:09,1,"sad"
"5","6czpfq3i",2019-03-03,2019-03-03 21:00:59,0,"sad"
"6","6czpfq3i",2019-02-16,2019-02-16 21:02:18,0,"stress"
"7","6czpfq3i",2019-02-27,2019-02-27 21:01:01,0,"stress"
"8","6czpfq3i",2019-02-28,2019-02-28 21:00:59,0,"stress"
"9","6czpfq3i",2019-03-02,2019-03-02 21:01:09,0,"stress"
"10","6czpfq3i",2019-03-03,2019-03-03 21:00:59,1,"stress"
"11","6czpfq3i",2019-02-16,2019-02-16 21:02:18,2,"content"
"12","6czpfq3i",2019-02-27,2019-02-27 21:01:01,2,"content"
"13","6czpfq3i",2019-02-28,2019-02-28 21:00:59,1,"content"
"14","6czpfq3i",2019-03-02,2019-03-02 21:01:09,1,"content"
"15","6czpfq3i",2019-03-03,2019-03-03 21:00:59,1,"content"
"16","6czpfq3i",2019-02-16,2019-02-16 21:02:18,0,"lonely"
"17","6czpfq3i",2019-02-27,2019-02-27 21:01:01,0,"lonely"
"18","6czpfq3i",2019-02-28,2019-02-28 21:00:59,0,"lonely"
"19","6czpfq3i",2019-03-02,2019-03-02 21:01:09,0,"lonely"
"20","6czpfq3i",2019-03-03,2019-03-03 21:00:59,0,"lonely"
"21","6czpfq3i",2019-02-16,2019-02-16 21:02:18,2,"energy"
"22","6czpfq3i",2019-02-27,2019-02-27 21:01:01,3,"energy"
"23","6czpfq3i",2019-02-28,2019-02-28 21:00:59,2,"energy"
"24","6czpfq3i",2019-03-02,2019-03-02 21:01:09,2,"energy"
"25","6czpfq3i",2019-03-03,2019-03-03 21:00:59,2,"energy"
"26","6czpfq3i",2019-02-28,2019-02-28 10:41:57,6,"sleep"
"27","6czpfq3i",2019-03-02,2019-03-02 09:17:41,8,"sleep"
"28","6czpfq3i",2019-03-03,2019-03-03 09:32:37,5,"sleep"
"29","6czpfq3i",2019-03-04,2019-03-04 09:32:15,8,"sleep"
"30","6czpfq3i",2019-02-28,2019-02-28 10:41:57,1,"refreshed"
"31","6czpfq3i",2019-03-02,2019-03-02 09:17:41,1,"refreshed"
"32","6czpfq3i",2019-03-03,2019-03-03 09:32:37,0,"refreshed"
"33","6czpfq3i",2019-03-04,2019-03-04 09:32:15,1,"refreshed"
"34","6czpfq3i",2019-02-28,2019-02-28 10:41:57,2,"restful"
"35","6czpfq3i",2019-03-02,2019-03-02 09:17:41,1,"restful"
"36","6czpfq3i",2019-03-03,2019-03-03 09:32:37,1,"restful"
"37","6czpfq3i",2019-03-04,2019-03-04 09:32:15,2,"restful"
