"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","7lh2dxb5",2019-02-14 09:02:01,0,1,3,0,3,"[Home (dorm; apartment)]","[No one; alone]","[Doing household chores; running errands;Eating; drinking]","[Not applicable; was not interacting with anyone]"
"2","7lh2dxb5",2019-02-14 12:23:13,0,1,2,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person]"
"3","7lh2dxb5",2019-02-14 15:28:54,0,2,2,0,1,"[Campus]","[Classmates; students;Significant Other]","[Attending classes; meetings;Commuting; traveling]","[Talking in person]"
"4","7lh2dxb5",2019-02-14 18:13:55,0,0,3,0,3,"[Campus]","[Classmates; students;Friends]","[Attending classes; meetings;Studying; reading; preparing for an exam;Talking; texting; socializing]","[Talking in person;Text messaging on the phone]"
"5","7lh2dxb5",2019-02-15 09:14:27,0,1,3,0,3,"[Campus;Home (dorm; apartment);Vehicle]","[Significant Other]","[Commuting; traveling;Doing household chores; running errands;Eating; drinking]","[Talking in person]"
"6","7lh2dxb5",2019-02-15 13:08:16,0,0,2,0,3,"[Campus]","[Classmates; students;Friends]","[Attending classes; meetings;Commuting; traveling]","[Talking in person]"
"7","7lh2dxb5",2019-02-15 18:33:35,0,1,2,0,2,"[Home (dorm; apartment);Vehicle]","[Friends;No one; alone]","[Commuting; traveling;Doing household chores; running errands;Talking; texting; socializing]","[Text messaging on the phone]"
"8","7lh2dxb5",2019-02-16 09:03:47,0,1,2,0,2,"[Friend's house;Vehicle]","[Classmates; students;Friends]","[Commuting; traveling;Talking; texting; socializing]","[Talking in person;Text messaging on the phone]"
"9","7lh2dxb5",2019-02-16 12:06:10,0,0,2,0,2,"[Vehicle;None of the above; Other]","[Classmates; students;Friends]","[Commuting; traveling;Doing household chores; running errands]","[Talking in person]"
"10","7lh2dxb5",2019-02-16 18:40:12,0,1,2,0,1,"[Friend's house]","[Classmates; students;Friends]","[Exercising; physical activity; sports;Resting; napping; doing nothing]","[Talking in person;Text messaging on the phone]"
"11","7lh2dxb5",2019-02-17 10:20:33,0,1,2,0,1,"[Friend's house;Religious facility;Vehicle]","[Classmates; students;Friends;Significant Other]","[Talking; texting; socializing]","[Talking in person]"
"12","7lh2dxb5",2019-02-17 12:12:17,2,1,2,0,2,"[Religious facility]","[Classmates; students;Friends;Significant Other]","[None of the above; Other]","[Talking in person]"
"13","7lh2dxb5",2019-02-17 15:02:10,0,1,2,0,2,"[Home (dorm; apartment)]","[Significant Other]","[Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
"14","7lh2dxb5",2019-02-17 18:04:17,1,1,2,0,1,"[Home (dorm; apartment)]","[Family;Significant Other]","[Studying; reading; preparing for an exam;Talking; texting; socializing]","[Talking in person;Talking on the phone]"
"15","7lh2dxb5",2019-02-18 15:41:49,0,1,2,0,2,"[Campus]","[Classmates; students;Friends]","[Attending classes; meetings]","[Talking in person]"
"16","7lh2dxb5",2019-02-18 20:40:36,0,1,2,0,2,"[Home (dorm; apartment)]","[Significant Other]","[Doing household chores; running errands;Eating; drinking;Talking; texting; socializing]","[Talking in person]"
"17","7lh2dxb5",2019-02-19 16:51:32,0,2,1,0,1,"[Library]","[No one; alone]","[Attending classes; meetings]","[Not applicable; was not interacting with anyone]"
"18","7lh2dxb5",2019-02-19 18:22:37,0,1,2,0,1,"[Campus]","[Friends;Significant Other]","[Talking; texting; socializing]","[Talking in person;Talking on the phone]"
"19","7lh2dxb5",2019-02-20 09:12:07,0,0,2,0,2,"[Home (dorm; apartment)]","[Significant Other]","[Eating; drinking]","[Talking in person]"
"20","7lh2dxb5",2019-02-20 15:00:48,0,2,1,0,2,"[Home (dorm; apartment)]","[Significant Other;Strangers]","[Doing household chores; running errands;Studying; reading; preparing for an exam;Talking; texting; socializing]","[Talking in person]"
"21","7lh2dxb5",2019-02-20 18:51:34,0,2,2,0,2,"[Campus;Library]","[No one; alone]","[Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
"22","7lh2dxb5",2019-02-21 09:07:52,0,1,2,0,1,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[Text messaging on the phone]"
"23","7lh2dxb5",2019-02-21 12:28:10,1,1,1,1,2,"[Campus]","[Significant Other]","[Attending classes; meetings;Commuting; traveling]","[Talking on the phone]"
"24","7lh2dxb5",2019-02-21 16:41:55,0,1,1,1,2,"[Library]","[No one; alone]","[Attending classes; meetings;Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
"25","7lh2dxb5",2019-02-22 10:27:44,0,0,2,0,1,"[Home (dorm; apartment)]","[Significant Other]","[Studying; reading; preparing for an exam;Talking; texting; socializing]","[Talking in person]"
"26","7lh2dxb5",2019-02-22 14:52:14,0,1,2,0,2,"[Campus]","[None of the above; Other]","[Browsing the Internet; using social media;Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
"27","7lh2dxb5",2019-02-22 17:54:40,0,1,2,0,2,"[Home (dorm; apartment)]","[Significant Other]","[Resting; napping; doing nothing;Studying; reading; preparing for an exam]","[Talking in person]"
"28","7lh2dxb5",2019-02-23 14:13:52,0,0,3,0,2,"[Home (dorm; apartment)]","[Significant Other]","[Doing household chores; running errands;Eating; drinking;Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"29","7lh2dxb5",2019-02-23 15:15:06,0,0,2,0,2,"[Home (dorm; apartment)]","[Friends;Significant Other]","[Doing household chores; running errands;Talking; texting; socializing]","[Talking in person;Talking on the phone]"
"30","7lh2dxb5",2019-02-23 20:00:48,0,1,3,0,2,"[Friend's house]","[Family;Significant Other]","[Doing household chores; running errands;Exercising; physical activity; sports]","[Talking in person]"
"31","7lh2dxb5",2019-02-24 15:03:30,0,0,1,0,2,"[Religious facility]","[Friends;Significant Other;Strangers]","[Talking; texting; socializing]","[Talking in person]"
"32","7lh2dxb5",2019-02-24 21:12:49,0,0,2,0,2,"[Cafe; Restaurant]","[Friends]","[Studying; reading; preparing for an exam]","[Talking in person]"
"33","7lh2dxb5",2019-02-25 09:54:30,0,0,2,0,2,"[Home (dorm; apartment)]","[None of the above; Other]","[Doing household chores; running errands]","[Not applicable; was not interacting with anyone]"
"34","7lh2dxb5",2019-02-25 16:33:50,0,1,2,0,2,"[Campus]","[Strangers]","[Attending classes; meetings;Commuting; traveling;Studying; reading; preparing for an exam]","[Talking in person]"
"35","7lh2dxb5",2019-02-25 18:01:02,0,1,2,0,2,"[Home (dorm; apartment)]","[Significant Other]","[Eating; drinking;Talking; texting; socializing]","[Talking in person]"
"36","7lh2dxb5",2019-02-26 09:00:56,0,2,1,0,1,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
"37","7lh2dxb5",2019-02-26 16:15:15,0,1,2,0,2,"[Campus]","[Classmates; students;Strangers]","[Studying; reading; preparing for an exam]","[Talking in person]"
"38","7lh2dxb5",2019-02-26 18:24:45,0,1,2,0,2,"[Campus]","[Classmates; students;Friends]","[Attending classes; meetings]","[Talking in person;Text messaging on the phone]"
"39","7lh2dxb5",2019-02-27 10:19:22,0,1,2,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Doing household chores; running errands;Talking; texting; socializing]","[Talking on the phone;Text messaging on the phone]"
"40","7lh2dxb5",2019-02-27 12:22:38,0,1,2,0,2,"[Home (dorm; apartment);Vehicle]","[No one; alone]","[Doing household chores; running errands;Studying; reading; preparing for an exam;Talking; texting; socializing]","[Text messaging on the phone]"
"41","7lh2dxb5",2019-02-27 15:27:20,0,2,1,0,2,"[Home (dorm; apartment)]","[Significant Other]","[Studying; reading; preparing for an exam]","[Talking in person]"
"42","7lh2dxb5",2019-02-27 20:16:08,1,1,1,0,1,"[Religious facility]","[Friends;Significant Other;Strangers]","[None of the above; Other]","[Talking in person]"
"43","7lh2dxb5",2019-02-28 10:21:14,1,0,2,0,2,"[Home (dorm; apartment);None of the above; Other]","[No one; alone]","[Browsing the Internet; using social media;Exercising; physical activity; sports;Talking; texting; socializing]","[Text messaging on the phone]"
"44","7lh2dxb5",2019-02-28 12:32:56,0,0,2,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings;Commuting; traveling]","[Talking in person]"
"45","7lh2dxb5",2019-02-28 17:59:51,0,1,1,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person]"
"46","7lh2dxb5",2019-03-01 09:17:11,0,0,3,0,3,"[Cafe; Restaurant;Home (dorm; apartment);Vehicle]","[Significant Other]","[Commuting; traveling;Doing household chores; running errands;Talking; texting; socializing]","[Talking in person]"
"47","7lh2dxb5",2019-03-01 14:03:33,0,0,2,0,2,"[Campus]","[Classmates; students;Significant Other]","[Attending classes; meetings;Talking; texting; socializing]","[Talking in person]"
"48","7lh2dxb5",2019-03-01 16:34:12,0,0,2,0,3,"[Vehicle]","[Significant Other]","[Commuting; traveling]","[Talking in person]"
"49","7lh2dxb5",2019-03-01 21:03:19,0,0,2,0,2,"[Cafe; Restaurant]","[Family;Significant Other]","[Eating; drinking;Talking; texting; socializing]","[Talking in person]"
"50","7lh2dxb5",2019-03-03 09:13:31,0,1,2,0,1,"[Religious facility]","[Co-workers;Significant Other]","[Working at job]","[Talking in person]"
"51","7lh2dxb5",2019-03-03 15:00:37,0,1,1,0,1,"[Store / Mall]","[Significant Other;Strangers]","[Doing household chores; running errands]","[Talking in person]"
"52","7lh2dxb5",2019-03-03 22:04:50,0,0,2,0,2,"[Home (dorm; apartment)]","[Significant Other]","[Eating; drinking;Studying; reading; preparing for an exam;Talking; texting; socializing]","[Talking in person]"
"53","7lh2dxb5",2019-03-04 12:55:03,0,0,2,0,3,"[Home (dorm; apartment)]","[Significant Other]","[Studying; reading; preparing for an exam;Talking; texting; socializing]","[Talking in person]"
"54","7lh2dxb5",2019-03-04 22:26:16,0,1,2,0,2,"[Campus]","[Classmates; students;Significant Other]","[Commuting; traveling;Eating; drinking;Talking; texting; socializing]","[Talking in person]"
"55","7lh2dxb5",2019-03-05 10:00:13,0,1,2,0,1,"[Home (dorm; apartment)]","[No one; alone]","[Doing household chores; running errands;Eating; drinking]","[Not applicable; was not interacting with anyone]"
"56","7lh2dxb5",2019-03-05 15:20:54,0,0,2,0,1,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person]"
"57","7lh2dxb5",2019-03-05 17:27:50,0,0,2,0,1,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person]"
"58","7lh2dxb5",2019-03-05 21:03:27,0,0,3,0,2,"[Cafe; Restaurant]","[Significant Other;Strangers]","[Eating; drinking;Talking; texting; socializing]","[Talking in person]"
"59","7lh2dxb5",2019-03-06 21:34:40,0,0,2,0,2,"[Home (dorm; apartment)]","[Significant Other]","[Doing household chores; running errands;Eating; drinking;Studying; reading; preparing for an exam]","[Talking in person]"
"60","7lh2dxb5",2019-03-07 16:56:03,0,1,2,0,1,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person]"
"61","7lh2dxb5",2019-03-07 23:41:15,0,0,2,0,1,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person]"
