"","pid","survey.date","local.time","answer","variable"
"1","7zo5b6ma",2019-02-14,2019-02-15 08:45:35,0,"sad"
"2","7zo5b6ma",2019-02-15,2019-02-16 00:05:21,0,"sad"
"3","7zo5b6ma",2019-02-16,2019-02-16 21:09:41,0,"sad"
"4","7zo5b6ma",2019-02-17,2019-02-17 21:42:39,0,"sad"
"5","7zo5b6ma",2019-02-18,2019-02-18 22:15:17,0,"sad"
"6","7zo5b6ma",2019-02-19,2019-02-19 21:47:45,0,"sad"
"7","7zo5b6ma",2019-02-20,2019-02-20 21:47:36,0,"sad"
"8","7zo5b6ma",2019-02-21,2019-02-21 21:23:58,0,"sad"
"9","7zo5b6ma",2019-02-22,2019-02-22 21:15:16,0,"sad"
"10","7zo5b6ma",2019-02-23,2019-02-23 21:00:45,0,"sad"
"11","7zo5b6ma",2019-02-24,2019-02-24 21:13:06,1,"sad"
"12","7zo5b6ma",2019-02-25,2019-02-26 02:31:49,1,"sad"
"13","7zo5b6ma",2019-02-26,2019-02-27 00:51:35,0,"sad"
"14","7zo5b6ma",2019-03-01,2019-03-02 11:05:57,0,"sad"
"15","7zo5b6ma",2019-03-02,2019-03-03 01:18:14,0,"sad"
"16","7zo5b6ma",2019-03-04,2019-03-05 07:59:01,0,"sad"
"17","7zo5b6ma",2019-03-06,2019-03-07 09:45:36,0,"sad"
"18","7zo5b6ma",2019-03-08,2019-03-08 17:03:07,0,"sad"
"19","7zo5b6ma",2019-03-09,2019-03-09 16:49:09,0,"sad"
"20","7zo5b6ma",2019-02-14,2019-02-15 08:45:35,1,"stress"
"21","7zo5b6ma",2019-02-15,2019-02-16 00:05:21,0,"stress"
"22","7zo5b6ma",2019-02-16,2019-02-16 21:09:41,0,"stress"
"23","7zo5b6ma",2019-02-17,2019-02-17 21:42:39,1,"stress"
"24","7zo5b6ma",2019-02-18,2019-02-18 22:15:17,2,"stress"
"25","7zo5b6ma",2019-02-19,2019-02-19 21:47:45,1,"stress"
"26","7zo5b6ma",2019-02-20,2019-02-20 21:47:36,1,"stress"
"27","7zo5b6ma",2019-02-21,2019-02-21 21:23:58,1,"stress"
"28","7zo5b6ma",2019-02-22,2019-02-22 21:15:16,0,"stress"
"29","7zo5b6ma",2019-02-23,2019-02-23 21:00:45,0,"stress"
"30","7zo5b6ma",2019-02-24,2019-02-24 21:13:06,1,"stress"
"31","7zo5b6ma",2019-02-25,2019-02-26 02:31:49,2,"stress"
"32","7zo5b6ma",2019-02-26,2019-02-27 00:51:35,2,"stress"
"33","7zo5b6ma",2019-03-01,2019-03-02 11:05:57,1,"stress"
"34","7zo5b6ma",2019-03-02,2019-03-03 01:18:14,0,"stress"
"35","7zo5b6ma",2019-03-04,2019-03-05 07:59:01,1,"stress"
"36","7zo5b6ma",2019-03-06,2019-03-07 09:45:36,0,"stress"
"37","7zo5b6ma",2019-03-08,2019-03-08 17:03:07,0,"stress"
"38","7zo5b6ma",2019-03-09,2019-03-09 16:49:09,0,"stress"
"39","7zo5b6ma",2019-02-14,2019-02-15 08:45:35,3,"content"
"40","7zo5b6ma",2019-02-15,2019-02-16 00:05:21,3,"content"
