"","pid","survey.date","local.time","answer","variable"
"1","85ew3xuo",2019-02-14,2019-02-14 21:57:22,0,"sad"
"2","85ew3xuo",2019-02-15,2019-02-15 21:13:29,0,"sad"
"3","85ew3xuo",2019-02-16,2019-02-16 21:01:31,0,"sad"
"4","85ew3xuo",2019-02-17,2019-02-17 21:01:19,0,"sad"
"5","85ew3xuo",2019-02-18,2019-02-18 21:19:06,0,"sad"
"6","85ew3xuo",2019-02-19,2019-02-19 21:13:34,0,"sad"
"7","85ew3xuo",2019-02-20,2019-02-20 21:10:11,1,"sad"
"8","85ew3xuo",2019-02-21,2019-02-21 21:16:19,2,"sad"
"9","85ew3xuo",2019-02-22,2019-02-22 21:01:02,0,"sad"
"10","85ew3xuo",2019-02-23,2019-02-23 21:07:01,0,"sad"
"11","85ew3xuo",2019-02-24,2019-02-24 22:05:19,0,"sad"
"12","85ew3xuo",2019-02-25,2019-02-25 21:48:23,0,"sad"
"13","85ew3xuo",2019-02-26,2019-02-26 21:02:22,0,"sad"
"14","85ew3xuo",2019-02-27,2019-02-27 23:07:26,0,"sad"
"15","85ew3xuo",2019-02-28,2019-03-01 08:50:26,0,"sad"
"16","85ew3xuo",2019-03-01,2019-03-01 21:46:17,0,"sad"
"17","85ew3xuo",2019-03-02,2019-03-02 22:04:50,0,"sad"
"18","85ew3xuo",2019-03-04,2019-03-04 21:51:20,0,"sad"
"19","85ew3xuo",2019-03-05,2019-03-05 23:09:48,0,"sad"
"20","85ew3xuo",2019-03-06,2019-03-06 22:41:53,0,"sad"
"21","85ew3xuo",2019-03-07,2019-03-07 21:06:08,0,"sad"
"22","85ew3xuo",2019-03-08,2019-03-08 21:02:13,0,"sad"
"23","85ew3xuo",2019-03-09,2019-03-09 22:06:02,0,"sad"
"24","85ew3xuo",2019-03-10,2019-03-10 22:55:39,0,"sad"
"25","85ew3xuo",2019-02-14,2019-02-14 21:57:22,1,"stress"
"26","85ew3xuo",2019-02-15,2019-02-15 21:13:29,1,"stress"
"27","85ew3xuo",2019-02-16,2019-02-16 21:01:31,2,"stress"
"28","85ew3xuo",2019-02-17,2019-02-17 21:01:19,2,"stress"
"29","85ew3xuo",2019-02-18,2019-02-18 21:19:06,3,"stress"
"30","85ew3xuo",2019-02-19,2019-02-19 21:13:34,2,"stress"
"31","85ew3xuo",2019-02-20,2019-02-20 21:10:11,3,"stress"
"32","85ew3xuo",2019-02-21,2019-02-21 21:16:19,2,"stress"
"33","85ew3xuo",2019-02-22,2019-02-22 21:01:02,2,"stress"
"34","85ew3xuo",2019-02-23,2019-02-23 21:07:01,1,"stress"
"35","85ew3xuo",2019-02-24,2019-02-24 22:05:19,1,"stress"
"36","85ew3xuo",2019-02-25,2019-02-25 21:48:23,1,"stress"
"37","85ew3xuo",2019-02-26,2019-02-26 21:02:22,1,"stress"
"38","85ew3xuo",2019-02-27,2019-02-27 23:07:26,1,"stress"
"39","85ew3xuo",2019-02-28,2019-03-01 08:50:26,0,"stress"
"40","85ew3xuo",2019-03-01,2019-03-01 21:46:17,1,"stress"
"41","85ew3xuo",2019-03-02,2019-03-02 22:04:50,0,"stress"
"42","85ew3xuo",2019-03-04,2019-03-04 21:51:20,1,"stress"
"43","85ew3xuo",2019-03-05,2019-03-05 23:09:48,2,"stress"
"44","85ew3xuo",2019-03-06,2019-03-06 22:41:53,1,"stress"
"45","85ew3xuo",2019-03-07,2019-03-07 21:06:08,0,"stress"
"46","85ew3xuo",2019-03-08,2019-03-08 21:02:13,1,"stress"
"47","85ew3xuo",2019-03-09,2019-03-09 22:06:02,1,"stress"
"48","85ew3xuo",2019-03-10,2019-03-10 22:55:39,1,"stress"
"49","85ew3xuo",2019-02-14,2019-02-14 21:57:22,3,"content"
"50","85ew3xuo",2019-02-15,2019-02-15 21:13:29,3,"content"
"51","85ew3xuo",2019-02-16,2019-02-16 21:01:31,2,"content"
"52","85ew3xuo",2019-02-17,2019-02-17 21:01:19,3,"content"
"53","85ew3xuo",2019-02-18,2019-02-18 21:19:06,2,"content"
"54","85ew3xuo",2019-02-19,2019-02-19 21:13:34,2,"content"
"55","85ew3xuo",2019-02-20,2019-02-20 21:10:11,2,"content"
"56","85ew3xuo",2019-02-21,2019-02-21 21:16:19,1,"content"
"57","85ew3xuo",2019-02-22,2019-02-22 21:01:02,3,"content"
"58","85ew3xuo",2019-02-23,2019-02-23 21:07:01,2,"content"
"59","85ew3xuo",2019-02-24,2019-02-24 22:05:19,3,"content"
"60","85ew3xuo",2019-02-25,2019-02-25 21:48:23,3,"content"
"61","85ew3xuo",2019-02-26,2019-02-26 21:02:22,3,"content"
"62","85ew3xuo",2019-02-27,2019-02-27 23:07:26,3,"content"
"63","85ew3xuo",2019-02-28,2019-03-01 08:50:26,2,"content"
"64","85ew3xuo",2019-03-01,2019-03-01 21:46:17,3,"content"
"65","85ew3xuo",2019-03-02,2019-03-02 22:04:50,3,"content"
"66","85ew3xuo",2019-03-04,2019-03-04 21:51:20,3,"content"
"67","85ew3xuo",2019-03-05,2019-03-05 23:09:48,3,"content"
"68","85ew3xuo",2019-03-06,2019-03-06 22:41:53,2,"content"
"69","85ew3xuo",2019-03-07,2019-03-07 21:06:08,2,"content"
"70","85ew3xuo",2019-03-08,2019-03-08 21:02:13,3,"content"
"71","85ew3xuo",2019-03-09,2019-03-09 22:06:02,3,"content"
"72","85ew3xuo",2019-03-10,2019-03-10 22:55:39,3,"content"
"73","85ew3xuo",2019-02-14,2019-02-14 21:57:22,1,"lonely"
"74","85ew3xuo",2019-02-15,2019-02-15 21:13:29,0,"lonely"
"75","85ew3xuo",2019-02-16,2019-02-16 21:01:31,1,"lonely"
"76","85ew3xuo",2019-02-17,2019-02-17 21:01:19,0,"lonely"
"77","85ew3xuo",2019-02-18,2019-02-18 21:19:06,0,"lonely"
"78","85ew3xuo",2019-02-19,2019-02-19 21:13:34,0,"lonely"
"79","85ew3xuo",2019-02-20,2019-02-20 21:10:11,0,"lonely"
"80","85ew3xuo",2019-02-21,2019-02-21 21:16:19,0,"lonely"
"81","85ew3xuo",2019-02-22,2019-02-22 21:01:02,0,"lonely"
"82","85ew3xuo",2019-02-23,2019-02-23 21:07:01,0,"lonely"
"83","85ew3xuo",2019-02-24,2019-02-24 22:05:19,0,"lonely"
"84","85ew3xuo",2019-02-25,2019-02-25 21:48:23,0,"lonely"
"85","85ew3xuo",2019-02-26,2019-02-26 21:02:22,0,"lonely"
"86","85ew3xuo",2019-02-27,2019-02-27 23:07:26,0,"lonely"
"87","85ew3xuo",2019-02-28,2019-03-01 08:50:26,0,"lonely"
"88","85ew3xuo",2019-03-01,2019-03-01 21:46:17,0,"lonely"
"89","85ew3xuo",2019-03-02,2019-03-02 22:04:50,0,"lonely"
"90","85ew3xuo",2019-03-04,2019-03-04 21:51:20,0,"lonely"
"91","85ew3xuo",2019-03-05,2019-03-05 23:09:48,0,"lonely"
"92","85ew3xuo",2019-03-06,2019-03-06 22:41:53,0,"lonely"
"93","85ew3xuo",2019-03-07,2019-03-07 21:06:08,0,"lonely"
"94","85ew3xuo",2019-03-08,2019-03-08 21:02:13,0,"lonely"
