"","pid","survey.date","local.time","answer","variable"
"1","8y1japyg",2019-02-14,2019-02-14 21:11:21,0,"sad"
"2","8y1japyg",2019-02-16,2019-02-16 21:27:21,0,"sad"
"3","8y1japyg",2019-02-17,2019-02-17 21:02:38,0,"sad"
"4","8y1japyg",2019-02-18,2019-02-18 22:46:20,0,"sad"
"5","8y1japyg",2019-02-19,2019-02-19 21:03:13,0,"sad"
"6","8y1japyg",2019-02-20,2019-02-20 21:01:26,0,"sad"
"7","8y1japyg",2019-02-21,2019-02-21 21:42:50,0,"sad"
"8","8y1japyg",2019-02-22,2019-02-22 21:03:42,0,"sad"
"9","8y1japyg",2019-02-23,2019-02-23 21:56:19,0,"sad"
"10","8y1japyg",2019-02-24,2019-02-24 21:54:31,0,"sad"
"11","8y1japyg",2019-02-25,2019-02-25 21:25:58,0,"sad"
"12","8y1japyg",2019-02-26,2019-02-27 09:57:18,0,"sad"
"13","8y1japyg",2019-02-27,2019-02-27 21:16:36,0,"sad"
"14","8y1japyg",2019-03-02,2019-03-03 00:58:06,0,"sad"
"15","8y1japyg",2019-03-03,2019-03-04 09:57:33,0,"sad"
"16","8y1japyg",2019-03-04,2019-03-05 09:52:22,0,"sad"
"17","8y1japyg",2019-03-05,2019-03-05 21:03:19,0,"sad"
"18","8y1japyg",2019-03-06,2019-03-07 09:06:17,0,"sad"
"19","8y1japyg",2019-02-14,2019-02-14 21:11:21,2,"stress"
"20","8y1japyg",2019-02-16,2019-02-16 21:27:21,0,"stress"
"21","8y1japyg",2019-02-17,2019-02-17 21:02:38,2,"stress"
"22","8y1japyg",2019-02-18,2019-02-18 22:46:20,2,"stress"
"23","8y1japyg",2019-02-19,2019-02-19 21:03:13,2,"stress"
"24","8y1japyg",2019-02-20,2019-02-20 21:01:26,1,"stress"
"25","8y1japyg",2019-02-21,2019-02-21 21:42:50,2,"stress"
"26","8y1japyg",2019-02-22,2019-02-22 21:03:42,2,"stress"
"27","8y1japyg",2019-02-23,2019-02-23 21:56:19,0,"stress"
"28","8y1japyg",2019-02-24,2019-02-24 21:54:31,0,"stress"
"29","8y1japyg",2019-02-25,2019-02-25 21:25:58,0,"stress"
"30","8y1japyg",2019-02-26,2019-02-27 09:57:18,0,"stress"
"31","8y1japyg",2019-02-27,2019-02-27 21:16:36,0,"stress"
"32","8y1japyg",2019-03-02,2019-03-03 00:58:06,0,"stress"
"33","8y1japyg",2019-03-03,2019-03-04 09:57:33,0,"stress"
