"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","a1q4gpja",2019-02-14 19:56:42,0,1,2,0,1,"[Campus;Friend's house;Home (dorm; apartment)]","[Friends;Roommates]","[Doing household chores; running errands;Resting; napping; doing nothing;Studying; reading; preparing for an exam;Talking; texting; socializing]","[Talking in person;Text messaging on the phone;Interacting on Instagram;Interacting on Snapchat]"
"2","a1q4gpja",2019-02-15 10:33:26,0,1,1,0,1,"[Campus;Home (dorm; apartment)]","[Classmates; students;Roommates]","[Attending classes; meetings;Commuting; traveling;Eating; drinking;Talking; texting; socializing]","[Talking on the phone;Text messaging on the phone;Video-chatting]"
"3","a1q4gpja",2019-02-15 13:00:51,0,1,2,0,2,"[Campus;Home (dorm; apartment)]","[None of the above; Other]","[Browsing the Internet; using social media;Doing household chores; running errands;Studying; reading; preparing for an exam;Talking; texting; socializing]","[Text messaging on the phone;Video-chatting;Interacting on Snapchat]"
"4","a1q4gpja",2019-02-15 16:32:40,0,0,1,0,2,"[Campus;Home (dorm; apartment)]","[Friends;Roommates]","[Doing household chores; running errands;Eating; drinking;Studying; reading; preparing for an exam;Talking; texting; socializing]","[Talking in person;Talking on the phone;Text messaging on the phone;Interacting on Snapchat]"
"5","a1q4gpja",2019-02-15 18:01:45,0,0,2,0,1,"[Vehicle]","[Friends;Roommates;Strangers]","[Commuting; traveling;Doing household chores; running errands]","[Talking in person;Text messaging on the phone;Interacting on Snapchat]"
"6","a1q4gpja",2019-02-16 11:35:16,0,0,1,0,1,"[Home (dorm; apartment)]","[Roommates]","[Resting; napping; doing nothing]","[Talking in person;Interacting on Snapchat]"
"7","a1q4gpja",2019-02-16 20:20:25,0,0,2,0,2,"[Campus]","[Friends;Roommates]","[Resting; napping; doing nothing;Talking; texting; socializing]","[Talking in person;Talking on the phone;Text messaging on the phone;Interacting on Instagram;Interacting on Snapchat]"
"8","a1q4gpja",2019-02-17 09:49:58,0,0,3,0,1,"[Campus;Home (dorm; apartment)]","[Significant Other]","[Exercising; physical activity; sports;Resting; napping; doing nothing;Talking; texting; socializing]","[Talking in person]"
"9","a1q4gpja",2019-02-17 12:38:41,0,0,2,0,2,"[Campus;Home (dorm; apartment)]","[Significant Other]","[Exercising; physical activity; sports;Resting; napping; doing nothing;Talking; texting; socializing]","[Talking in person;Text messaging on the phone;Video-chatting;Interacting on Instagram;Interacting on Snapchat;Interacting on Twitter]"
"10","a1q4gpja",2019-02-17 16:26:44,0,0,3,0,3,"[Campus;Home (dorm; apartment);Store / Mall]","[Friends;Roommates;Significant Other;Strangers]","[Eating; drinking;Talking; texting; socializing]","[Talking in person]"
"11","a1q4gpja",2019-02-17 18:01:14,0,1,2,0,2,"[Campus;Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media;Resting; napping; doing nothing;Talking; texting; socializing]","[Interacting on Instagram;Interacting on Snapchat]"
"12","a1q4gpja",2019-02-18 09:59:45,0,0,1,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings;Commuting; traveling]","[Talking in person;Text messaging on the phone;Interacting on Snapchat]"
"13","a1q4gpja",2019-02-18 12:03:41,0,0,1,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings;Commuting; traveling]","[Talking in person]"
"14","a1q4gpja",2019-02-18 15:58:23,0,1,1,0,2,"[Campus]","[Classmates; students;Friends]","[Studying; reading; preparing for an exam]","[Talking in person]"
"15","a1q4gpja",2019-02-18 19:22:27,0,1,1,0,2,"[Campus]","[Classmates; students;Friends]","[Commuting; traveling;Studying; reading; preparing for an exam]","[Talking in person;Text messaging on the phone]"
"16","a1q4gpja",2019-02-19 09:10:46,0,0,2,0,2,"[Campus;Home (dorm; apartment)]","[Roommates]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"17","a1q4gpja",2019-02-19 22:51:45,0,0,2,0,2,"[Campus;Home (dorm; apartment)]","[Friends]","[Eating; drinking;Talking; texting; socializing]","[Talking in person]"
"18","a1q4gpja",2019-02-20 10:15:30,1,2,0,0,1,"[Campus;Home (dorm; apartment)]","[No one; alone;Strangers]","[Studying; reading; preparing for an exam]","[Talking in person;Text messaging on the phone]"
"19","a1q4gpja",2019-02-20 13:05:44,1,2,1,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings;Studying; reading; preparing for an exam]","[Talking in person]"
"20","a1q4gpja",2019-02-20 15:56:17,3,2,0,0,1,"[Campus]","[Classmates; students;Friends]","[Attending classes; meetings]","[Talking in person]"
"21","a1q4gpja",2019-02-21 11:59:25,2,2,0,0,2,"[Cafe; Restaurant;Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
"22","a1q4gpja",2019-02-21 15:09:40,2,3,1,0,2,"[Campus]","[Classmates; students;Friends]","[Attending classes; meetings]","[Talking in person]"
"23","a1q4gpja",2019-02-21 18:56:35,1,2,1,0,2,"[Campus;Friend's house]","[Friends]","[Resting; napping; doing nothing;Watching TV; movies]","[Talking in person;Text messaging on the phone;Interacting on Snapchat]"
"24","a1q4gpja",2019-02-23 12:36:46,0,1,1,0,2,"[Campus;Friend's house]","[Significant Other;Strangers]","[Resting; napping; doing nothing;Talking; texting; socializing]","[Talking in person;Text messaging on the phone;Interacting on Snapchat]"
"25","a1q4gpja",2019-02-23 16:11:55,0,1,3,0,2,"[None of the above; Other]","[Friends;Roommates;Significant Other]","[Talking; texting; socializing]","[Talking in person;Interacting on Snapchat]"
