"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","a56i125f",2019-02-14 09:45:10,0,1,2,0,2,"[Campus;Home (dorm; apartment)]","[Classmates; students;No one; alone]","[Attending classes; meetings]","[Talking in person;Interacting on Instagram;Interacting on Snapchat]"
"2","a56i125f",2019-02-14 12:01:15,0,2,1,0,2,"[Campus;Home (dorm; apartment)]","[Roommates]","[Doing household chores; running errands;Studying; reading; preparing for an exam]","[Talking in person;Text messaging on the phone]"
"3","a56i125f",2019-02-14 15:01:05,0,1,1,0,2,"[Library]","[No one; alone]","[Studying; reading; preparing for an exam]","[Other form of social interaction;Not applicable; was not interacting with anyone]"
"4","a56i125f",2019-02-14 20:03:37,0,1,2,1,2,"[Cafe; Restaurant;Campus]","[No one; alone]","[Commuting; traveling]","[Talking on the phone]"
"5","a56i125f",2019-02-15 12:07:09,0,1,2,0,3,"[Campus;Home (dorm; apartment)]","[Classmates; students;No one; alone]","[Attending classes; meetings;Commuting; traveling]","[Talking in person;Text messaging on the phone]"
"6","a56i125f",2019-02-15 15:03:50,0,1,2,0,3,"[Campus]","[Classmates; students;Friends]","[Talking; texting; socializing]","[Talking in person;Text messaging on the phone]"
"7","a56i125f",2019-02-15 18:07:42,0,1,2,0,3,"[Store / Mall]","[Friends]","[Doing household chores; running errands]","[Talking in person]"
"8","a56i125f",2019-02-16 15:04:22,0,1,1,0,1,"[Home (dorm; apartment)]","[Significant Other]","[Studying; reading; preparing for an exam]","[Interacting on Facebook;Interacting on Instagram;Interacting on Snapchat;Interacting on Twitter]"
"9","a56i125f",2019-02-16 18:01:10,0,1,3,0,3,"[None of the above; Other]","[Significant Other]","[Exercising; physical activity; sports;Talking; texting; socializing]","[Talking in person]"
"10","a56i125f",2019-02-17 09:04:32,0,2,3,0,1,"[Home (dorm; apartment)]","[Significant Other]","[Resting; napping; doing nothing]","[Talking in person]"
"11","a56i125f",2019-02-17 15:13:02,1,2,2,0,2,"[Campus]","[No one; alone]","[Studying; reading; preparing for an exam]","[Talking on the phone;Interacting on Facebook;Interacting on Instagram;Interacting on Snapchat;Interacting on Twitter]"
"12","a56i125f",2019-02-17 18:26:36,1,2,1,1,2,"[Campus;Home (dorm; apartment)]","[Classmates; students]","[Studying; reading; preparing for an exam]","[Talking in person;Talking on the phone;Text messaging on the phone]"
"13","a56i125f",2019-02-18 13:45:29,0,1,2,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Interacting on Instagram;Interacting on Snapchat;Interacting on Twitter]"
"14","a56i125f",2019-02-18 18:13:47,0,2,1,1,1,"[Campus]","[Classmates; students;Co-workers]","[Attending classes; meetings]","[Talking in person]"
"15","a56i125f",2019-02-19 09:29:56,1,2,1,1,1,"[Cafe; Restaurant;Campus;Home (dorm; apartment)]","[Classmates; students;Friends;No one; alone]","[Attending classes; meetings;Commuting; traveling;Eating; drinking;Talking; texting; socializing]","[Talking in person;Interacting on Facebook;Interacting on Instagram;Interacting on Snapchat;Interacting on Twitter]"
"16","a56i125f",2019-02-19 12:02:16,0,2,1,1,2,"[Cafe; Restaurant;Campus]","[Classmates; students;Friends;No one; alone]","[Attending classes; meetings;Commuting; traveling;Eating; drinking]","[Talking in person]"
"17","a56i125f",2019-02-19 15:53:07,1,2,1,1,1,"[Campus]","[Classmates; students;Friends]","[Attending classes; meetings]","[Talking in person]"
"18","a56i125f",2019-02-20 09:17:54,0,1,1,0,3,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[Interacting on Snapchat]"
"19","a56i125f",2019-02-20 17:51:07,0,1,2,0,2,"[Campus]","[Classmates; students;Friends]","[Attending classes; meetings;Commuting; traveling;Resting; napping; doing nothing;Studying; reading; preparing for an exam]","[Talking in person]"
"20","a56i125f",2019-02-21 09:02:45,0,1,2,0,3,"[Campus]","[Classmates; students;Friends]","[Attending classes; meetings]","[Talking in person]"
"21","a56i125f",2019-02-21 15:01:14,0,2,2,0,2,"[Campus;Library]","[Classmates; students;Friends]","[Browsing the Internet; using social media;Studying; reading; preparing for an exam;Talking; texting; socializing]","[Talking in person;Text messaging on the phone;Interacting on Instagram;Interacting on Snapchat]"
"22","a56i125f",2019-02-22 10:30:41,0,1,2,0,2,"[Campus]","[No one; alone]","[Browsing the Internet; using social media;Studying; reading; preparing for an exam]","[Text messaging on the phone;Interacting on Facebook;Interacting on Instagram;Interacting on Snapchat;Interacting on Twitter]"
"23","a56i125f",2019-02-22 12:22:21,0,1,2,0,3,"[Campus]","[Classmates; students;Friends]","[Talking; texting; socializing]","[Talking in person]"
"24","a56i125f",2019-02-22 16:06:04,0,1,2,0,4,"[Gym]","[No one; alone]","[Exercising; physical activity; sports;Talking; texting; socializing]","[Text messaging on the phone]"
"25","a56i125f",2019-02-22 18:01:24,0,1,1,1,3,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[Text messaging on the phone;Interacting on Instagram;Interacting on Snapchat]"
"26","a56i125f",2019-02-23 13:31:46,0,2,2,1,1,"[Home (dorm; apartment)]","[No one; alone;Roommates]","[Browsing the Internet; using social media;Resting; napping; doing nothing]","[Talking in person]"
"27","a56i125f",2019-02-23 15:00:44,0,1,2,0,3,"[Cafe; Restaurant]","[Friends]","[Studying; reading; preparing for an exam]","[Talking in person;Text messaging on the phone]"
"28","a56i125f",2019-02-23 18:00:51,1,1,1,1,1,"[Cafe; Restaurant]","[No one; alone]","[Browsing the Internet; using social media;Studying; reading; preparing for an exam;Talking; texting; socializing]","[Text messaging on the phone;Interacting on Facebook]"
"29","a56i125f",2019-02-24 09:20:48,0,1,1,0,1,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Interacting on Instagram;Interacting on Snapchat]"
"30","a56i125f",2019-02-24 13:29:48,1,2,1,1,2,"[Library]","[Classmates; students;Friends]","[Studying; reading; preparing for an exam]","[Talking in person]"
"31","a56i125f",2019-02-24 15:02:06,1,1,1,1,2,"[Campus]","[No one; alone]","[Studying; reading; preparing for an exam;Talking; texting; socializing]","[Interacting on Snapchat]"
"32","a56i125f",2019-02-24 21:30:12,0,1,1,1,2,"[Cafe; Restaurant;Campus]","[No one; alone]","[Eating; drinking;Studying; reading; preparing for an exam;Talking; texting; socializing]","[Text messaging on the phone;Interacting on Instagram;Interacting on Snapchat;Interacting on Twitter]"
"33","a56i125f",2019-02-25 12:01:29,0,1,2,1,3,"[Campus]","[Classmates; students;Friends;No one; alone]","[Attending classes; meetings;Commuting; traveling]","[Talking in person;Text messaging on the phone]"
"34","a56i125f",2019-02-25 13:17:58,0,1,2,1,3,"[Home (dorm; apartment)]","[Roommates]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"35","a56i125f",2019-02-25 15:20:41,0,1,2,0,3,"[Campus]","[Classmates; students;Friends]","[Attending classes; meetings]","[Talking in person]"
"36","a56i125f",2019-02-25 18:10:38,0,1,1,0,2,"[Campus]","[Classmates; students;Friends]","[Attending classes; meetings]","[Talking in person]"
"37","a56i125f",2019-02-26 23:45:27,0,1,2,0,2,"[Campus;Library]","[Classmates; students;Friends]","[Attending classes; meetings;Studying; reading; preparing for an exam;Talking; texting; socializing]","[Talking in person;Text messaging on the phone;Interacting on Snapchat]"
"38","a56i125f",2019-02-27 09:42:04,0,1,1,1,1,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"39","a56i125f",2019-02-27 12:12:52,0,1,1,0,3,"[Campus]","[Classmates; students;Friends]","[Attending classes; meetings]","[Talking in person]"
"40","a56i125f",2019-02-27 16:16:45,0,0,3,0,3,"[Campus]","[Friends]","[Commuting; traveling;Talking; texting; socializing]","[Talking in person]"
"41","a56i125f",2019-02-27 18:03:43,0,1,2,0,2,"[Campus]","[No one; alone]","[Attending classes; meetings;Studying; reading; preparing for an exam]","[Talking in person;Interacting on Snapchat]"
"42","a56i125f",2019-02-28 09:02:46,0,1,1,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Interacting on Instagram]"
"43","a56i125f",2019-02-28 12:38:17,0,1,1,0,1,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Chatting on Whatsapp or other chat app]"
"44","a56i125f",2019-02-28 15:03:56,0,1,2,0,4,"[Campus]","[Classmates; students;Friends]","[Talking; texting; socializing]","[Talking in person]"
"45","a56i125f",2019-02-28 18:50:00,0,1,2,1,2,"[Library]","[Friends]","[Studying; reading; preparing for an exam;Talking; texting; socializing]","[Talking in person]"
"46","a56i125f",2019-03-01 10:01:00,0,0,2,0,3,"[Campus]","[Classmates; students]","[Attending classes; meetings;Commuting; traveling;Eating; drinking]","[Text messaging on the phone;Interacting on Snapchat]"
"47","a56i125f",2019-03-01 12:27:46,0,2,1,0,3,"[Campus]","[Classmates; students;Friends]","[Attending classes; meetings]","[Talking in person]"
"48","a56i125f",2019-03-01 15:09:36,0,1,2,0,3,"[Cafe; Restaurant]","[Friends]","[Talking; texting; socializing]","[Talking in person]"
"49","a56i125f",2019-03-01 18:12:47,0,0,3,0,3,"[Home (dorm; apartment)]","[Friends]","[Talking; texting; socializing]","[Talking in person;Interacting on Snapchat]"
