"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","a7ju7y6m",2019-02-14 12:08:25,0,0,3,0,4,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media;Studying; reading; preparing for an exam;Talking; texting; socializing]","[Text messaging on the phone;Emailing;Interacting on Instagram;Interacting on Snapchat]"
"2","a7ju7y6m",2019-02-14 15:43:57,0,0,1,0,2,"[Home (dorm; apartment)]","[Roommates]","[Studying; reading; preparing for an exam;Talking; texting; socializing;Watching TV; movies]","[Text messaging on the phone;Interacting on Instagram]"
"3","a7ju7y6m",2019-02-14 18:28:16,0,0,2,0,3,"[Cafe; Restaurant;Home (dorm; apartment)]","[Friends;Roommates]","[Commuting; traveling;Eating; drinking;Studying; reading; preparing for an exam;Talking; texting; socializing]","[Talking in person;Talking on the phone;Text messaging on the phone;Interacting on Instagram;Interacting on Snapchat]"
"4","a7ju7y6m",2019-02-15 09:06:06,0,0,3,0,3,"[Campus;Home (dorm; apartment)]","[Classmates; students;Friends;No one; alone]","[Attending classes; meetings;Browsing the Internet; using social media;Commuting; traveling;Eating; drinking;Talking; texting; socializing]","[Talking in person;Text messaging on the phone;Interacting on Facebook;Interacting on Instagram]"
"5","a7ju7y6m",2019-02-15 12:05:23,0,0,3,0,2,"[Campus;Home (dorm; apartment)]","[Classmates; students;Friends]","[Attending classes; meetings;Commuting; traveling;Eating; drinking;Talking; texting; socializing]","[Talking in person;Text messaging on the phone;Interacting on Instagram;Interacting on Snapchat;Interacting on Twitter]"
"6","a7ju7y6m",2019-02-15 15:01:20,0,0,3,0,4,"[Campus]","[Classmates; students]","[Attending classes; meetings;Browsing the Internet; using social media;Commuting; traveling;Talking; texting; socializing]","[Text messaging on the phone;Interacting on Facebook;Interacting on Instagram;Interacting on Snapchat;Interacting on Twitter]"
"7","a7ju7y6m",2019-02-16 12:46:45,0,0,2,0,3,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"8","a7ju7y6m",2019-02-16 15:16:05,0,0,2,0,3,"[Cafe; Restaurant;Home (dorm; apartment)]","[Friends;No one; alone;Roommates]","[Browsing the Internet; using social media;Eating; drinking;Resting; napping; doing nothing;Talking; texting; socializing;Watching TV; movies]","[Text messaging on the phone;Interacting on Facebook;Interacting on Instagram;Interacting on Snapchat;Interacting on Twitter]"
"9","a7ju7y6m",2019-02-17 19:12:10,0,1,3,0,4,"[Home (dorm; apartment)]","[Friends;No one; alone;Roommates]","[Eating; drinking;Studying; reading; preparing for an exam;Talking; texting; socializing;Watching TV; movies]","[Talking in person;Text messaging on the phone;Interacting on Facebook;Interacting on Instagram;Interacting on Twitter]"
"10","a7ju7y6m",2019-02-18 12:20:36,0,0,3,0,4,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media;Watching TV; movies]","[Text messaging on the phone;Interacting on Snapchat]"
"11","a7ju7y6m",2019-02-18 16:18:47,0,0,3,0,4,"[Cafe; Restaurant;Campus;Home (dorm; apartment)]","[Friends;Roommates]","[Attending classes; meetings;Eating; drinking;Studying; reading; preparing for an exam;Talking; texting; socializing]","[Talking in person;Text messaging on the phone;Emailing;Interacting on Instagram;Interacting on Snapchat]"
