"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","adqbdfpj",2019-02-14 12:01:35,0,0,1,1,1,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person]"
"2","adqbdfpj",2019-02-14 15:58:20,0,0,2,0,1,"[Home (dorm; apartment)]","[None of the above; Other]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"3","adqbdfpj",2019-02-14 19:52:19,0,0,2,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Other form of social interaction]"
"4","adqbdfpj",2019-02-15 09:17:49,0,0,3,0,3,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"5","adqbdfpj",2019-02-15 12:01:03,0,1,1,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Other form of social interaction]"
"6","adqbdfpj",2019-02-15 15:11:50,1,1,0,1,2,"[Vehicle]","[None of the above; Other]","[Commuting; traveling]","[Not applicable; was not interacting with anyone]"
"7","adqbdfpj",2019-02-15 18:34:25,0,0,1,0,1,"[Work]","[None of the above; Other]","[Working at job]","[Talking in person]"
"8","adqbdfpj",2019-02-16 10:36:25,0,3,1,0,2,"[Home (dorm; apartment)]","[None of the above; Other]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"9","adqbdfpj",2019-02-16 12:04:36,0,0,1,0,2,"[None of the above; Other]","[Classmates; students]","[None of the above; Other]","[Talking in person]"
"10","adqbdfpj",2019-02-16 15:01:35,1,1,0,2,1,"[Store / Mall]","[Strangers]","[Browsing the Internet; using social media]","[Not applicable; was not interacting with anyone]"
"11","adqbdfpj",2019-02-16 18:08:01,2,1,1,3,2,"[Home (dorm; apartment)]","[None of the above; Other]","[Browsing the Internet; using social media]","[Video-chatting]"
"12","adqbdfpj",2019-02-17 09:13:33,0,0,1,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"13","adqbdfpj",2019-02-17 12:32:08,0,0,2,0,3,"[Gym]","[Classmates; students]","[Exercising; physical activity; sports]","[Talking in person;Text messaging on the phone]"
"14","adqbdfpj",2019-02-17 18:00:52,0,0,2,0,3,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Text messaging on the phone;Interacting on Snapchat]"
"15","adqbdfpj",2019-02-18 09:35:55,0,1,2,0,2,"[None of the above; Other]","[No one; alone]","[Commuting; traveling]","[Not applicable; was not interacting with anyone]"
"16","adqbdfpj",2019-02-18 12:56:10,0,2,1,0,1,"[Campus;Library]","[Classmates; students;No one; alone]","[Studying; reading; preparing for an exam]","[Talking in person;Text messaging on the phone;Interacting on Snapchat]"
"17","adqbdfpj",2019-02-18 15:19:02,0,0,1,0,1,"[Campus;Library]","[No one; alone]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"18","adqbdfpj",2019-02-18 18:16:59,0,2,0,0,3,"[Campus]","[Classmates; students]","[Attending classes; meetings;Studying; reading; preparing for an exam]","[Other form of social interaction]"
"19","adqbdfpj",2019-02-19 15:01:04,0,1,1,0,2,"[Campus]","[None of the above; Other]","[Commuting; traveling]","[Text messaging on the phone]"
"20","adqbdfpj",2019-02-19 18:11:41,0,1,2,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings;Studying; reading; preparing for an exam]","[Other form of social interaction]"
"21","adqbdfpj",2019-02-20 09:21:07,0,1,1,0,1,"[Home (dorm; apartment)]","[No one; alone;Strangers]","[Commuting; traveling]","[Talking in person]"
"22","adqbdfpj",2019-02-20 12:00:43,0,1,1,0,1,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person;Text messaging on the phone;Interacting on Snapchat]"
"23","adqbdfpj",2019-02-20 15:06:51,0,1,2,0,2,"[Vehicle]","[No one; alone]","[Commuting; traveling]","[Not applicable; was not interacting with anyone]"
"24","adqbdfpj",2019-02-20 18:27:39,0,0,2,0,3,"[Work]","[Co-workers]","[Working at job]","[Talking in person;Talking on the phone;Text messaging on the phone;Interacting on Snapchat]"
"25","adqbdfpj",2019-02-21 09:50:23,0,1,2,0,2,"[Campus]","[Classmates; students]","[Commuting; traveling]","[Talking in person]"
"26","adqbdfpj",2019-02-21 12:00:47,0,1,2,0,2,"[Campus]","[Classmates; students]","[Commuting; traveling]","[Text messaging on the phone]"
"27","adqbdfpj",2019-02-21 15:16:19,0,1,1,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media;Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
"28","adqbdfpj",2019-02-21 18:39:48,0,0,2,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Text messaging on the phone]"
"29","adqbdfpj",2019-02-22 10:47:11,0,0,2,0,3,"[Home (dorm; apartment)]","[No one; alone]","[None of the above; Other]","[Not applicable; was not interacting with anyone]"
"30","adqbdfpj",2019-02-22 12:04:26,0,0,2,0,2,"[Campus]","[Classmates; students]","[Eating; drinking]","[Talking in person;Text messaging on the phone]"
"31","adqbdfpj",2019-02-22 15:00:52,0,0,2,0,2,"[Vehicle]","[No one; alone]","[Commuting; traveling]","[Interacting on Snapchat]"
"32","adqbdfpj",2019-02-22 18:44:58,0,0,2,0,3,"[Work]","[Co-workers]","[Working at job]","[Text messaging on the phone;Interacting on Snapchat]"
"33","adqbdfpj",2019-02-23 13:04:51,0,0,3,0,4,"[None of the above; Other]","[Classmates; students]","[None of the above; Other]","[Talking in person]"
"34","adqbdfpj",2019-02-23 15:00:55,0,1,1,0,1,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"35","adqbdfpj",2019-02-24 13:14:38,0,1,2,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Doing household chores; running errands]","[Text messaging on the phone]"
"36","adqbdfpj",2019-02-24 15:00:38,0,0,2,0,2,"[Campus]","[No one; alone]","[Commuting; traveling]","[Text messaging on the phone]"
"37","adqbdfpj",2019-02-24 18:03:49,0,1,2,0,2,"[Campus;Library]","[No one; alone]","[Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
"38","adqbdfpj",2019-02-25 09:09:40,0,3,1,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Commuting; traveling;Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
"39","adqbdfpj",2019-02-25 12:54:10,1,3,0,0,1,"[Campus;Library]","[No one; alone]","[Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
"40","adqbdfpj",2019-02-25 15:01:37,0,0,3,0,2,"[Vehicle]","[No one; alone]","[Commuting; traveling]","[Not applicable; was not interacting with anyone]"
"41","adqbdfpj",2019-02-25 18:11:31,0,0,3,0,2,"[Vehicle]","[Co-workers]","[Commuting; traveling;Working at job]","[Talking in person;Text messaging on the phone]"
"42","adqbdfpj",2019-02-26 09:43:11,0,0,3,0,4,"[Home (dorm; apartment)]","[No one; alone]","[Doing household chores; running errands]","[Text messaging on the phone;Interacting on Snapchat]"
"43","adqbdfpj",2019-02-26 12:04:14,0,1,2,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Eating; drinking]","[Interacting on Snapchat]"
