"","pid","survey.date","local.time","answer","variable"
"1","aeol3gla",2019-02-16,2019-02-16 21:17:12,0,"sad"
"2","aeol3gla",2019-02-17,2019-02-17 21:13:44,0,"sad"
"3","aeol3gla",2019-02-18,2019-02-18 21:06:19,0,"sad"
"4","aeol3gla",2019-02-19,2019-02-19 21:04:03,0,"sad"
"5","aeol3gla",2019-02-20,2019-02-20 21:12:09,0,"sad"
"6","aeol3gla",2019-02-21,2019-02-21 21:42:49,2,"sad"
"7","aeol3gla",2019-02-22,2019-02-22 21:07:41,0,"sad"
"8","aeol3gla",2019-02-23,2019-02-23 21:07:22,0,"sad"
"9","aeol3gla",2019-02-24,2019-02-24 21:04:21,0,"sad"
"10","aeol3gla",2019-02-25,2019-02-25 21:10:34,0,"sad"
"11","aeol3gla",2019-02-26,2019-02-26 21:12:26,0,"sad"
"12","aeol3gla",2019-02-27,2019-02-28 06:52:17,0,"sad"
"13","aeol3gla",2019-02-28,2019-02-28 21:21:06,0,"sad"
"14","aeol3gla",2019-03-01,2019-03-01 23:43:05,0,"sad"
"15","aeol3gla",2019-03-02,2019-03-02 23:09:18,0,"sad"
"16","aeol3gla",2019-03-03,2019-03-03 21:31:02,0,"sad"
"17","aeol3gla",2019-03-04,2019-03-04 21:02:44,0,"sad"
"18","aeol3gla",2019-03-05,2019-03-05 21:05:46,1,"sad"
"19","aeol3gla",2019-03-06,2019-03-06 22:12:27,0,"sad"
"20","aeol3gla",2019-02-16,2019-02-16 21:17:12,0,"stress"
"21","aeol3gla",2019-02-17,2019-02-17 21:13:44,0,"stress"
"22","aeol3gla",2019-02-18,2019-02-18 21:06:19,0,"stress"
"23","aeol3gla",2019-02-19,2019-02-19 21:04:03,1,"stress"
"24","aeol3gla",2019-02-20,2019-02-20 21:12:09,0,"stress"
"25","aeol3gla",2019-02-21,2019-02-21 21:42:49,1,"stress"
"26","aeol3gla",2019-02-22,2019-02-22 21:07:41,0,"stress"
"27","aeol3gla",2019-02-23,2019-02-23 21:07:22,0,"stress"
"28","aeol3gla",2019-02-24,2019-02-24 21:04:21,0,"stress"
"29","aeol3gla",2019-02-25,2019-02-25 21:10:34,0,"stress"
"30","aeol3gla",2019-02-26,2019-02-26 21:12:26,1,"stress"
"31","aeol3gla",2019-02-27,2019-02-28 06:52:17,0,"stress"
"32","aeol3gla",2019-02-28,2019-02-28 21:21:06,0,"stress"
"33","aeol3gla",2019-03-01,2019-03-01 23:43:05,0,"stress"
"34","aeol3gla",2019-03-02,2019-03-02 23:09:18,0,"stress"
"35","aeol3gla",2019-03-03,2019-03-03 21:31:02,0,"stress"
"36","aeol3gla",2019-03-04,2019-03-04 21:02:44,0,"stress"
"37","aeol3gla",2019-03-05,2019-03-05 21:05:46,1,"stress"
"38","aeol3gla",2019-03-06,2019-03-06 22:12:27,0,"stress"
"39","aeol3gla",2019-02-16,2019-02-16 21:17:12,2,"content"
"40","aeol3gla",2019-02-17,2019-02-17 21:13:44,2,"content"
"41","aeol3gla",2019-02-18,2019-02-18 21:06:19,2,"content"
"42","aeol3gla",2019-02-19,2019-02-19 21:04:03,2,"content"
"43","aeol3gla",2019-02-20,2019-02-20 21:12:09,2,"content"
"44","aeol3gla",2019-02-21,2019-02-21 21:42:49,2,"content"
"45","aeol3gla",2019-02-22,2019-02-22 21:07:41,2,"content"
"46","aeol3gla",2019-02-23,2019-02-23 21:07:22,2,"content"
"47","aeol3gla",2019-02-24,2019-02-24 21:04:21,2,"content"
"48","aeol3gla",2019-02-25,2019-02-25 21:10:34,3,"content"
"49","aeol3gla",2019-02-26,2019-02-26 21:12:26,1,"content"
"50","aeol3gla",2019-02-27,2019-02-28 06:52:17,2,"content"
"51","aeol3gla",2019-02-28,2019-02-28 21:21:06,2,"content"
"52","aeol3gla",2019-03-01,2019-03-01 23:43:05,2,"content"
"53","aeol3gla",2019-03-02,2019-03-02 23:09:18,2,"content"
"54","aeol3gla",2019-03-03,2019-03-03 21:31:02,2,"content"
"55","aeol3gla",2019-03-04,2019-03-04 21:02:44,2,"content"
"56","aeol3gla",2019-03-05,2019-03-05 21:05:46,1,"content"
"57","aeol3gla",2019-03-06,2019-03-06 22:12:27,2,"content"
"58","aeol3gla",2019-02-16,2019-02-16 21:17:12,0,"lonely"
"59","aeol3gla",2019-02-17,2019-02-17 21:13:44,0,"lonely"
"60","aeol3gla",2019-02-18,2019-02-18 21:06:19,0,"lonely"
"61","aeol3gla",2019-02-19,2019-02-19 21:04:03,0,"lonely"
"62","aeol3gla",2019-02-20,2019-02-20 21:12:09,0,"lonely"
"63","aeol3gla",2019-02-21,2019-02-21 21:42:49,0,"lonely"
"64","aeol3gla",2019-02-22,2019-02-22 21:07:41,0,"lonely"
"65","aeol3gla",2019-02-23,2019-02-23 21:07:22,0,"lonely"
"66","aeol3gla",2019-02-24,2019-02-24 21:04:21,0,"lonely"
"67","aeol3gla",2019-02-25,2019-02-25 21:10:34,0,"lonely"
"68","aeol3gla",2019-02-26,2019-02-26 21:12:26,0,"lonely"
"69","aeol3gla",2019-02-27,2019-02-28 06:52:17,0,"lonely"
"70","aeol3gla",2019-02-28,2019-02-28 21:21:06,0,"lonely"
"71","aeol3gla",2019-03-01,2019-03-01 23:43:05,0,"lonely"
"72","aeol3gla",2019-03-02,2019-03-02 23:09:18,0,"lonely"
"73","aeol3gla",2019-03-03,2019-03-03 21:31:02,0,"lonely"
"74","aeol3gla",2019-03-04,2019-03-04 21:02:44,0,"lonely"
"75","aeol3gla",2019-03-05,2019-03-05 21:05:46,1,"lonely"
"76","aeol3gla",2019-03-06,2019-03-06 22:12:27,0,"lonely"
"77","aeol3gla",2019-02-16,2019-02-16 21:17:12,3,"energy"
"78","aeol3gla",2019-02-17,2019-02-17 21:13:44,2,"energy"
"79","aeol3gla",2019-02-18,2019-02-18 21:06:19,2,"energy"
"80","aeol3gla",2019-02-19,2019-02-19 21:04:03,2,"energy"
"81","aeol3gla",2019-02-20,2019-02-20 21:12:09,3,"energy"
"82","aeol3gla",2019-02-21,2019-02-21 21:42:49,2,"energy"
"83","aeol3gla",2019-02-22,2019-02-22 21:07:41,2,"energy"
"84","aeol3gla",2019-02-23,2019-02-23 21:07:22,3,"energy"
"85","aeol3gla",2019-02-24,2019-02-24 21:04:21,2,"energy"
"86","aeol3gla",2019-02-25,2019-02-25 21:10:34,3,"energy"
"87","aeol3gla",2019-02-26,2019-02-26 21:12:26,2,"energy"
"88","aeol3gla",2019-02-27,2019-02-28 06:52:17,3,"energy"
"89","aeol3gla",2019-02-28,2019-02-28 21:21:06,2,"energy"
"90","aeol3gla",2019-03-01,2019-03-01 23:43:05,1,"energy"
"91","aeol3gla",2019-03-02,2019-03-02 23:09:18,2,"energy"
"92","aeol3gla",2019-03-03,2019-03-03 21:31:02,2,"energy"
"93","aeol3gla",2019-03-04,2019-03-04 21:02:44,2,"energy"
"94","aeol3gla",2019-03-05,2019-03-05 21:05:46,2,"energy"
"95","aeol3gla",2019-03-06,2019-03-06 22:12:27,3,"energy"
"96","aeol3gla",2019-02-17,2019-02-17 09:51:50,7,"sleep"
"97","aeol3gla",2019-02-18,2019-02-18 09:01:28,5,"sleep"
"98","aeol3gla",2019-02-19,2019-02-19 09:32:49,6,"sleep"
"99","aeol3gla",2019-02-20,2019-02-20 11:51:14,6,"sleep"
"100","aeol3gla",2019-02-21,2019-02-21 09:05:59,7,"sleep"
"101","aeol3gla",2019-02-22,2019-02-22 09:29:50,4,"sleep"
"102","aeol3gla",2019-02-23,2019-02-23 09:09:41,5,"sleep"
"103","aeol3gla",2019-02-24,2019-02-24 10:29:24,7,"sleep"
"104","aeol3gla",2019-02-25,2019-02-25 11:19:37,7,"sleep"
"105","aeol3gla",2019-02-26,2019-02-26 09:36:47,6,"sleep"
"106","aeol3gla",2019-02-27,2019-02-27 10:04:25,6,"sleep"
"107","aeol3gla",2019-02-28,2019-02-28 09:12:27,0,"sleep"
"108","aeol3gla",2019-03-01,2019-03-01 11:13:53,4,"sleep"
"109","aeol3gla",2019-03-02,2019-03-02 10:33:05,6,"sleep"
"110","aeol3gla",2019-03-03,2019-03-03 10:51:30,6,"sleep"
"111","aeol3gla",2019-03-04,2019-03-04 13:10:03,7,"sleep"
"112","aeol3gla",2019-03-05,2019-03-05 14:39:02,6,"sleep"
"113","aeol3gla",2019-03-06,2019-03-06 12:44:49,7,"sleep"
"114","aeol3gla",2019-02-17,2019-02-17 09:51:50,2,"refreshed"
"115","aeol3gla",2019-02-18,2019-02-18 09:01:28,3,"refreshed"
"116","aeol3gla",2019-02-19,2019-02-19 09:32:49,3,"refreshed"
"117","aeol3gla",2019-02-20,2019-02-20 11:51:14,2,"refreshed"
"118","aeol3gla",2019-02-21,2019-02-21 09:05:59,3,"refreshed"
"119","aeol3gla",2019-02-22,2019-02-22 09:29:50,2,"refreshed"
"120","aeol3gla",2019-02-23,2019-02-23 09:09:41,2,"refreshed"
"121","aeol3gla",2019-02-24,2019-02-24 10:29:24,2,"refreshed"
"122","aeol3gla",2019-02-25,2019-02-25 11:19:37,3,"refreshed"
"123","aeol3gla",2019-02-26,2019-02-26 09:36:47,3,"refreshed"
"124","aeol3gla",2019-02-27,2019-02-27 10:04:25,3,"refreshed"
"125","aeol3gla",2019-02-28,2019-02-28 09:12:27,3,"refreshed"
"126","aeol3gla",2019-03-01,2019-03-01 11:13:53,3,"refreshed"
"127","aeol3gla",2019-03-02,2019-03-02 10:33:05,3,"refreshed"
"128","aeol3gla",2019-03-03,2019-03-03 10:51:30,2,"refreshed"
"129","aeol3gla",2019-03-04,2019-03-04 13:10:03,3,"refreshed"
"130","aeol3gla",2019-03-05,2019-03-05 14:39:02,2,"refreshed"
"131","aeol3gla",2019-03-06,2019-03-06 12:44:49,2,"refreshed"
"132","aeol3gla",2019-02-17,2019-02-17 09:51:50,3,"restful"
"133","aeol3gla",2019-02-18,2019-02-18 09:01:28,3,"restful"
"134","aeol3gla",2019-02-19,2019-02-19 09:32:49,3,"restful"
"135","aeol3gla",2019-02-20,2019-02-20 11:51:14,3,"restful"
"136","aeol3gla",2019-02-21,2019-02-21 09:05:59,3,"restful"
"137","aeol3gla",2019-02-22,2019-02-22 09:29:50,2,"restful"
"138","aeol3gla",2019-02-23,2019-02-23 09:09:41,2,"restful"
"139","aeol3gla",2019-02-24,2019-02-24 10:29:24,3,"restful"
"140","aeol3gla",2019-02-25,2019-02-25 11:19:37,3,"restful"
"141","aeol3gla",2019-02-26,2019-02-26 09:36:47,3,"restful"
"142","aeol3gla",2019-02-27,2019-02-27 10:04:25,3,"restful"
"143","aeol3gla",2019-02-28,2019-02-28 09:12:27,0,"restful"
"144","aeol3gla",2019-03-01,2019-03-01 11:13:53,3,"restful"
"145","aeol3gla",2019-03-02,2019-03-02 10:33:05,3,"restful"
"146","aeol3gla",2019-03-03,2019-03-03 10:51:30,2,"restful"
"147","aeol3gla",2019-03-04,2019-03-04 13:10:03,3,"restful"
"148","aeol3gla",2019-03-05,2019-03-05 14:39:02,2,"restful"
"149","aeol3gla",2019-03-06,2019-03-06 12:44:49,3,"restful"
