"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","ano7ttv2",2019-02-14 12:07:37,0,2,2,0,3,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Talking on the phone;Interacting on Snapchat]"
"2","ano7ttv2",2019-02-14 15:02:01,0,1,2,0,1,"[Home (dorm; apartment)]","[Family]","NO_ANSWER_SELECTED","[Talking in person;Text messaging on the phone;Interacting on Snapchat]"
"3","ano7ttv2",2019-02-14 18:01:23,0,0,2,0,1,"[Vehicle]","[Family;Friends]","[Commuting; traveling]","[Talking on the phone;Interacting on Snapchat]"
"4","ano7ttv2",2019-02-15 10:08:55,0,1,2,0,3,"[Home (dorm; apartment)]","[Family;Friends]","[Talking; texting; socializing]","[Talking in person;Text messaging on the phone;Interacting on Snapchat]"
"5","ano7ttv2",2019-02-15 12:19:30,0,0,3,0,4,"[Home (dorm; apartment)]","[Family;Friends]","[Browsing the Internet; using social media;Eating; drinking;Talking; texting; socializing;Watching TV; movies]","[Talking on the phone;Text messaging on the phone;Interacting on Instagram;Interacting on Snapchat]"
"6","ano7ttv2",2019-02-15 18:02:54,0,0,3,0,4,"NO_ANSWER_SELECTED","[Significant Other]","[Commuting; traveling]","[Talking in person]"
"7","ano7ttv2",2019-02-16 09:02:28,0,0,2,0,3,"[Home (dorm; apartment)]","[Family;Significant Other]","[Browsing the Internet; using social media;Commuting; traveling;Eating; drinking;Talking; texting; socializing;Watching TV; movies]","[Talking in person;Talking on the phone;Text messaging on the phone;Interacting on Snapchat]"
"8","ano7ttv2",2019-02-16 12:02:35,1,1,1,1,3,"[Home (dorm; apartment)]","[No one; alone]","[Eating; drinking;Watching TV; movies]","[Not applicable; was not interacting with anyone]"
"9","ano7ttv2",2019-02-16 18:06:39,0,0,3,0,4,"[Friend's house]","[Friends;Significant Other]","[Eating; drinking;Talking; texting; socializing]","[Talking in person;Text messaging on the phone;Interacting on Instagram;Interacting on Snapchat;Other form of social interaction]"
"10","ano7ttv2",2019-02-17 15:36:28,0,0,3,0,4,"[Friend's house]","[Significant Other]","[Talking; texting; socializing;Watching TV; movies]","[Talking in person;Text messaging on the phone;Interacting on Instagram;Interacting on Snapchat]"
"11","ano7ttv2",2019-02-17 18:40:09,0,0,3,0,4,"[Store / Mall]","[Significant Other]","[Talking; texting; socializing;None of the above; Other]","[Talking in person;Interacting on Instagram;Interacting on Snapchat]"
"12","ano7ttv2",2019-02-18 09:02:23,0,0,3,0,4,"[Home (dorm; apartment);Vehicle]","[Family;Significant Other]","[Browsing the Internet; using social media;Commuting; traveling;Eating; drinking;Talking; texting; socializing;Watching TV; movies]","[Talking in person;Text messaging on the phone;Interacting on Instagram;Interacting on Snapchat]"
"13","ano7ttv2",2019-02-18 12:01:12,2,1,1,1,2,"[Campus]","[Classmates; students;Family;Friends;Significant Other]","[Attending classes; meetings;Browsing the Internet; using social media;Talking; texting; socializing]","[Talking in person;Talking on the phone;Interacting on Snapchat]"
"14","ano7ttv2",2019-02-18 20:21:26,0,0,3,0,4,"[Friend's house;Home (dorm; apartment)]","[Family;Friends;Significant Other]","[Browsing the Internet; using social media;Talking; texting; socializing]","[Talking in person;Talking on the phone;Interacting on Instagram;Interacting on Snapchat]"
"15","ano7ttv2",2019-02-19 12:10:33,3,3,0,3,3,"[Campus]","[Family;Friends]","[Attending classes; meetings;Browsing the Internet; using social media;Talking; texting; socializing]","[Talking on the phone;Text messaging on the phone;Interacting on Instagram;Interacting on Snapchat]"
"16","ano7ttv2",2019-02-19 18:08:59,1,1,3,1,2,"[Vehicle]","[No one; alone]","[Commuting; traveling;Talking; texting; socializing]","[Talking on the phone;Text messaging on the phone;Interacting on Snapchat]"
"17","ano7ttv2",2019-02-20 09:09:52,0,0,3,0,4,"[Friend's house]","[Significant Other]","[Talking; texting; socializing]","[Talking in person;Interacting on Instagram;Interacting on Snapchat]"
"18","ano7ttv2",2019-02-20 15:03:06,2,2,1,2,2,"[Home (dorm; apartment)]","[Roommates]","[Doing household chores; running errands;Eating; drinking]","[Talking in person;Text messaging on the phone;Interacting on Instagram;Interacting on Snapchat]"
"19","ano7ttv2",2019-02-20 18:01:26,3,3,0,3,2,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media;Talking; texting; socializing;Watching TV; movies]","[Talking on the phone;Interacting on Instagram;Interacting on Snapchat]"
"20","ano7ttv2",2019-02-21 10:35:03,2,1,1,2,2,"[Home (dorm; apartment)]","[Roommates]","[Browsing the Internet; using social media;Eating; drinking;Talking; texting; socializing]","[Talking on the phone;Interacting on Instagram;Interacting on Snapchat]"
"21","ano7ttv2",2019-02-21 18:48:22,2,2,2,2,3,"[Home (dorm; apartment)]","[Roommates;Significant Other]","[Browsing the Internet; using social media;Eating; drinking;Watching TV; movies]","[Talking in person;Interacting on Instagram;Interacting on Snapchat]"
"22","ano7ttv2",2019-02-22 15:06:46,1,1,2,1,3,"[Home (dorm; apartment)]","[No one; alone]","[Eating; drinking]","[Not applicable; was not interacting with anyone]"
"23","ano7ttv2",2019-02-22 18:03:03,1,1,1,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Doing household chores; running errands]","[Not applicable; was not interacting with anyone]"
"24","ano7ttv2",2019-02-24 09:25:34,0,2,3,0,1,"[Friend's house]","[Significant Other]","[None of the above; Other]","[Talking in person]"
"25","ano7ttv2",2019-02-24 12:23:56,0,2,3,0,2,"[Friend's house]","[Significant Other]","[Watching TV; movies]","[Talking in person]"
"26","ano7ttv2",2019-03-01 18:02:00,0,0,3,0,1,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media;Watching TV; movies]","[Not applicable; was not interacting with anyone]"
"27","ano7ttv2",2019-03-02 21:01:23,0,0,3,0,4,"[Friend's house]","[Family]","[Working at job]","[Talking in person;Talking on the phone;Interacting on Instagram;Interacting on Snapchat]"
"28","ano7ttv2",2019-03-03 12:01:06,0,0,3,0,4,"[Home (dorm; apartment)]","[Family]","[Talking; texting; socializing;Watching TV; movies]","[Talking in person;Interacting on Instagram;Interacting on Snapchat]"
"29","ano7ttv2",2019-03-03 18:06:21,0,0,3,0,4,"[Home (dorm; apartment)]","[Family]","[Resting; napping; doing nothing]","[Talking in person]"
"30","ano7ttv2",2019-03-04 15:01:06,0,0,3,0,4,"[Vehicle]","[No one; alone]","[Commuting; traveling]","[Not applicable; was not interacting with anyone]"
"31","ano7ttv2",2019-03-04 18:13:15,1,1,1,1,1,"[Home (dorm; apartment)]","[No one; alone]","[Talking; texting; socializing;Watching TV; movies]","[Interacting on Instagram;Interacting on Snapchat]"
"32","ano7ttv2",2019-03-06 09:26:27,0,0,3,0,1,"[Vehicle]","[No one; alone]","[Commuting; traveling]","[Interacting on Instagram;Interacting on Snapchat]"
