"","pid","survey.date","local.time","answer","variable"
"1","bim6jv85",2019-02-15,2019-02-16 01:18:39,3,"sad"
"2","bim6jv85",2019-03-04,2019-03-04 22:27:00,2,"sad"
"3","bim6jv85",2019-03-05,2019-03-06 10:31:48,0,"sad"
"4","bim6jv85",2019-03-09,2019-03-09 13:34:39,3,"sad"
"5","bim6jv85",2019-02-15,2019-02-16 01:18:39,3,"stress"
"6","bim6jv85",2019-03-04,2019-03-04 22:27:00,0,"stress"
"7","bim6jv85",2019-03-05,2019-03-06 10:31:48,0,"stress"
"8","bim6jv85",2019-03-07,2019-03-07 16:38:59,1,"stress"
"9","bim6jv85",2019-03-09,2019-03-09 13:34:39,3,"stress"
"10","bim6jv85",2019-02-15,2019-02-16 01:18:39,3,"content"
"11","bim6jv85",2019-03-04,2019-03-04 22:27:00,2,"content"
"12","bim6jv85",2019-03-05,2019-03-06 10:31:48,0,"content"
"13","bim6jv85",2019-03-07,2019-03-07 16:38:59,2,"content"
"14","bim6jv85",2019-03-09,2019-03-09 13:34:39,3,"content"
"15","bim6jv85",2019-02-15,2019-02-16 01:18:39,3,"lonely"
"16","bim6jv85",2019-03-04,2019-03-04 22:27:00,1,"lonely"
"17","bim6jv85",2019-03-05,2019-03-06 10:31:48,0,"lonely"
"18","bim6jv85",2019-03-07,2019-03-07 16:38:59,2,"lonely"
"19","bim6jv85",2019-03-09,2019-03-09 13:34:39,3,"lonely"
"20","bim6jv85",2019-02-15,2019-02-16 01:18:39,4,"energy"
"21","bim6jv85",2019-03-04,2019-03-04 22:27:00,1,"energy"
"22","bim6jv85",2019-03-05,2019-03-06 10:31:48,0,"energy"
"23","bim6jv85",2019-03-07,2019-03-07 16:38:59,2,"energy"
"24","bim6jv85",2019-03-09,2019-03-09 13:34:39,4,"energy"
"25","bim6jv85",2019-02-15,2019-02-15 11:51:43,7,"sleep"
"26","bim6jv85",2019-02-18,2019-02-18 13:08:02,7,"sleep"
"27","bim6jv85",2019-03-04,2019-03-04 22:28:11,3,"sleep"
"28","bim6jv85",2019-03-05,2019-03-05 15:02:57,0,"sleep"
"29","bim6jv85",2019-03-06,2019-03-06 10:11:13,7,"sleep"
"30","bim6jv85",2019-03-09,2019-03-09 13:35:16,4,"sleep"
"31","bim6jv85",2019-02-15,2019-02-15 11:51:43,2,"refreshed"
"32","bim6jv85",2019-02-18,2019-02-18 13:08:02,2,"refreshed"
"33","bim6jv85",2019-03-04,2019-03-04 22:28:11,1,"refreshed"
"34","bim6jv85",2019-03-05,2019-03-05 15:02:57,3,"refreshed"
"35","bim6jv85",2019-03-06,2019-03-06 10:11:13,1,"refreshed"
"36","bim6jv85",2019-03-09,2019-03-09 13:35:16,2,"refreshed"
"37","bim6jv85",2019-02-15,2019-02-15 11:51:43,2,"restful"
"38","bim6jv85",2019-02-18,2019-02-18 13:08:02,2,"restful"
"39","bim6jv85",2019-03-04,2019-03-04 22:28:11,1,"restful"
"40","bim6jv85",2019-03-05,2019-03-05 15:02:57,3,"restful"
"41","bim6jv85",2019-03-06,2019-03-06 10:11:13,3,"restful"
"42","bim6jv85",2019-03-09,2019-03-09 13:35:16,2,"restful"
