"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","bl4tlnxl",2019-02-14 14:13:53,1,0,1,1,1,"[Home (dorm; apartment);Vehicle]","[No one; alone]","[Commuting; traveling]","[Interacting on Snapchat]"
"2","bl4tlnxl",2019-02-14 18:59:43,1,3,2,2,4,"[Cafe; Restaurant;Home (dorm; apartment)]","[None of the above; Other]","[Browsing the Internet; using social media;Studying; reading; preparing for an exam]","[Text messaging on the phone;Interacting on Snapchat;Interacting on Twitter]"
"3","bl4tlnxl",2019-02-15 14:04:58,2,1,1,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media;Resting; napping; doing nothing]","[Interacting on Instagram;Interacting on Snapchat]"
"4","bl4tlnxl",2019-02-15 17:06:46,2,0,0,1,1,"[Cafe; Restaurant;Home (dorm; apartment);Vehicle]","[Strangers]","[Browsing the Internet; using social media;Commuting; traveling]","[Talking in person]"
"5","bl4tlnxl",2019-02-16 17:11:49,1,0,1,2,1,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media;Resting; napping; doing nothing]","[Talking on the phone]"
"6","bl4tlnxl",2019-02-17 14:06:19,0,0,1,0,2,"[Vehicle]","[No one; alone]","[None of the above; Other]","[Not applicable; was not interacting with anyone]"
"7","bl4tlnxl",2019-02-17 17:01:23,0,1,1,0,2,"[Home (dorm; apartment)]","[None of the above; Other]","[Resting; napping; doing nothing;None of the above; Other]","[Text messaging on the phone]"
"8","bl4tlnxl",2019-02-18 08:00:43,0,0,2,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media]","[Not applicable; was not interacting with anyone]"
"9","bl4tlnxl",2019-02-18 11:01:40,0,0,1,1,2,"[Home (dorm; apartment)]","[None of the above; Other]","NO_ANSWER_SELECTED","[Not applicable; was not interacting with anyone]"
"10","bl4tlnxl",2019-02-18 14:01:33,1,0,2,0,2,"[Cafe; Restaurant]","[Strangers]","[Eating; drinking]","[Talking in person]"
"11","bl4tlnxl",2019-02-18 20:32:38,0,1,2,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Text messaging on the phone;Interacting on Snapchat]"
"12","bl4tlnxl",2019-02-19 14:00:39,1,0,1,1,2,"[Cafe; Restaurant]","[Strangers]","[Browsing the Internet; using social media;Eating; drinking]","[Text messaging on the phone;Interacting on Snapchat]"
"13","bl4tlnxl",2019-02-20 08:24:41,1,0,2,2,1,"[Work;Vehicle]","[Co-workers;Strangers]","[Browsing the Internet; using social media]","[Talking in person]"
"14","bl4tlnxl",2019-02-20 11:00:42,2,1,1,1,2,"[Work]","[Co-workers]","[Browsing the Internet; using social media;Talking; texting; socializing]","[Text messaging on the phone;Interacting on Twitter]"
"15","bl4tlnxl",2019-02-20 17:04:32,1,1,1,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media;Eating; drinking;Talking; texting; socializing]","[Text messaging on the phone]"
"16","bl4tlnxl",2019-02-21 08:37:20,1,2,1,2,1,"[Work]","[Co-workers;Strangers]","[Working at job]","[Talking in person]"
"17","bl4tlnxl",2019-02-21 11:39:44,3,2,0,3,1,"[Work]","[Co-workers]","[Working at job]","[Talking in person;Text messaging on the phone;Interacting on Snapchat]"
"18","bl4tlnxl",2019-02-21 14:00:59,1,1,1,2,1,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media;Doing household chores; running errands]","[Not applicable; was not interacting with anyone]"
"19","bl4tlnxl",2019-02-21 18:01:26,1,1,1,2,2,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"20","bl4tlnxl",2019-02-22 08:01:39,1,1,2,1,1,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media]","[Text messaging on the phone;Interacting on Snapchat]"
"21","bl4tlnxl",2019-02-22 11:23:04,1,2,1,1,1,"[Work;Vehicle]","[Co-workers;Strangers]","[Eating; drinking;Working at job]","[Talking in person;Interacting on Snapchat]"
"22","bl4tlnxl",2019-02-22 14:46:36,1,0,1,1,1,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media]","[Other form of social interaction]"
"23","bl4tlnxl",2019-02-22 17:07:48,0,0,2,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media;None of the above; Other]","[Text messaging on the phone]"
