"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","bm4hby9s",2019-02-14 12:04:59,2,3,1,1,1,"[Home (dorm; apartment)]","[Classmates; students;Friends]","[Eating; drinking;Studying; reading; preparing for an exam]","[Talking in person;Text messaging on the phone;Interacting on Snapchat]"
"2","bm4hby9s",2019-02-14 16:07:00,2,3,1,1,1,"[Campus]","[Classmates; students]","[Attending classes; meetings;Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
"3","bm4hby9s",2019-02-16 10:55:25,1,1,3,0,2,"[Home (dorm; apartment)]","[Family]","[Browsing the Internet; using social media;Watching TV; movies]","[Talking in person;Interacting on Instagram;Interacting on Snapchat]"
"4","bm4hby9s",2019-02-16 12:03:06,0,1,3,0,2,"[Home (dorm; apartment)]","[Family]","[Resting; napping; doing nothing;Talking; texting; socializing]","[Talking in person;Interacting on Facebook;Interacting on Instagram;Interacting on Snapchat;Interacting on Twitter]"
"5","bm4hby9s",2019-02-16 15:01:42,1,1,3,0,1,"[Campus;Home (dorm; apartment);Vehicle]","[Family;Roommates]","[Commuting; traveling;None of the above; Other]","[Talking in person;Text messaging on the phone;Interacting on Instagram;Interacting on Snapchat]"
"6","bm4hby9s",2019-02-16 18:40:19,0,1,3,0,2,"[Cafe; Restaurant]","[Family]","[Eating; drinking;Talking; texting; socializing]","[Talking in person]"
"7","bm4hby9s",2019-02-17 18:02:28,1,2,2,1,2,"[Cafe; Restaurant;Home (dorm; apartment)]","[Classmates; students;Friends]","[Eating; drinking]","[Talking in person]"
"8","bm4hby9s",2019-02-18 09:01:33,1,2,1,1,1,"[Home (dorm; apartment)]","[Roommates]","[Browsing the Internet; using social media;Studying; reading; preparing for an exam]","[Text messaging on the phone;Interacting on Instagram;Interacting on Snapchat;Interacting on Twitter]"
"9","bm4hby9s",2019-02-18 12:01:37,1,2,2,0,2,"[Campus]","[Classmates; students;Strangers]","[Attending classes; meetings;Studying; reading; preparing for an exam]","[Talking in person;Text messaging on the phone]"
"10","bm4hby9s",2019-02-18 15:04:53,1,2,2,1,2,"[Friend's house;Home (dorm; apartment)]","[Friends;Roommates]","[Browsing the Internet; using social media;Talking; texting; socializing]","[Talking in person;Text messaging on the phone]"
"11","bm4hby9s",2019-02-18 18:01:14,1,2,2,0,2,"[Fraternity; Sorority House;Home (dorm; apartment)]","[Friends;Roommates;Strangers]","[Browsing the Internet; using social media;Commuting; traveling;Eating; drinking;Talking; texting; socializing]","[Talking in person;Text messaging on the phone]"
"12","bm4hby9s",2019-02-19 09:01:49,1,2,2,0,1,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person]"
"13","bm4hby9s",2019-02-19 12:05:07,0,2,2,0,2,"[Home (dorm; apartment)]","[Friends;No one; alone;Strangers]","[Browsing the Internet; using social media;Studying; reading; preparing for an exam]","[Text messaging on the phone;Interacting on Snapchat]"
"14","bm4hby9s",2019-02-19 15:17:15,1,2,2,0,2,"[Campus;Home (dorm; apartment)]","[Classmates; students;Friends]","[Attending classes; meetings;Commuting; traveling;Talking; texting; socializing]","[Talking in person;Text messaging on the phone;Interacting on Snapchat]"
"15","bm4hby9s",2019-02-19 18:03:28,1,2,2,0,2,"[Cafe; Restaurant;Fraternity; Sorority House;Home (dorm; apartment)]","[Classmates; students;Friends;Roommates]","[Browsing the Internet; using social media;Commuting; traveling;Eating; drinking;Talking; texting; socializing]","[Talking in person;Talking on the phone;Text messaging on the phone;Interacting on Instagram]"
"16","bm4hby9s",2019-02-20 09:20:14,1,2,3,0,1,"[Friend's house]","[Significant Other]","[Resting; napping; doing nothing]","[Talking in person]"
