"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","bxw9ohw9",2019-02-14 09:15:19,0,2,1,0,1,"[Home (dorm; apartment)]","[No one; alone; Roommates]","[Watching TV; movies]","[Talking in person]"
"2","bxw9ohw9",2019-02-14 12:07:49,0,1,1,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person]"
"3","bxw9ohw9",2019-02-14 15:46:22,0,1,1,0,1,"[Home (dorm; apartment)]","[Friends; No one; alone]","[Attending classes; meetings; Studying; reading; preparing for an exam]","[Other form of social interaction]"
"4","bxw9ohw9",2019-02-14 18:02:24,0,1,1,0,2,"[Home (dorm; apartment)]","[Friends; No one; alone]","[Resting; napping; doing nothing; Talking; texting; socializing]","[Text messaging on the phone; Other form of social interaction]"
"5","bxw9ohw9",2019-02-15 09:05:32,0,1,1,0,1,"[Home (dorm; apartment)]","[No one; alone]","[Doing household chores; running errands]","[Not applicable; was not interacting with anyone]"
"6","bxw9ohw9",2019-02-15 12:04:13,0,1,1,0,2,"[Home (dorm; apartment)]","[Friends; No one; alone]","[Resting; napping; doing nothing]","[Text messaging on the phone]"
"7","bxw9ohw9",2019-02-15 15:26:14,0,1,1,0,2,"[Home (dorm; apartment)]","[Friends]","[Browsing the Internet; using social media; Watching TV; movies]","[Other form of social interaction]"
"8","bxw9ohw9",2019-02-15 18:04:00,0,1,1,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Watching TV; movies]","[Not applicable; was not interacting with anyone]"
"9","bxw9ohw9",2019-02-16 09:01:00,0,1,1,0,2,"[Home (dorm; apartment)]","[No one; alone]","[None of the above; Other]","[Not applicable; was not interacting with anyone]"
"10","bxw9ohw9",2019-02-16 12:04:21,0,1,1,0,2,"[Home (dorm; apartment)]","[Friends; No one; alone]","[Resting; napping; doing nothing; Watching TV; movies]","[Text messaging on the phone]"
"11","bxw9ohw9",2019-02-16 16:59:16,0,1,1,0,2,"[Home (dorm; apartment)]","[Friends]","[Watching TV; movies]","[Other form of social interaction]"
"12","bxw9ohw9",2019-02-16 18:52:53,0,1,1,0,2,"[Home (dorm; apartment)]","[Friends]","[Watching TV; movies]","[Other form of social interaction]"
"13","bxw9ohw9",2019-02-17 10:23:21,0,1,1,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"14","bxw9ohw9",2019-02-17 12:22:01,0,1,1,0,2,"[Home (dorm; apartment)]","[Friends; No one; alone]","[Studying; reading; preparing for an exam]","[Other form of social interaction]"
"15","bxw9ohw9",2019-02-17 15:50:08,0,2,1,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
"16","bxw9ohw9",2019-02-17 18:15:49,0,1,1,0,2,"[Home (dorm; apartment)]","[Friends]","[Watching TV; movies]","[Other form of social interaction]"
"17","bxw9ohw9",2019-02-18 10:18:02,0,1,1,0,0,"[Home (dorm; apartment)]","[Friends; None of the above; Other]","[Resting; napping; doing nothing]","[Text messaging on the phone]"
"18","bxw9ohw9",2019-02-18 12:33:11,0,2,1,0,2,"[Home (dorm; apartment)]","[No one; alone]","[None of the above; Other]","[Not applicable; was not interacting with anyone]"
"19","bxw9ohw9",2019-02-18 16:50:30,0,1,1,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person]"
"20","bxw9ohw9",2019-02-18 18:17:49,0,1,1,0,2,"[Home (dorm; apartment)]","[Friends]","[Resting; napping; doing nothing; Watching TV; movies]","[Other form of social interaction]"
"21","bxw9ohw9",2019-02-19 09:00:44,0,1,1,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"22","bxw9ohw9",2019-02-19 12:01:17,0,1,1,0,2,"[Campus]","[Classmates; students]","[Attending classes; meetings]","[Talking in person]"
"23","bxw9ohw9",2019-02-19 15:50:29,0,1,1,0,2,"[Home (dorm; apartment)]","[Friends]","[Eating; drinking; Studying; reading; preparing for an exam]","[Other form of social interaction]"
"24","bxw9ohw9",2019-02-19 18:03:21,0,1,1,0,2,"[Home (dorm; apartment)]","[Friends; Significant Other]","[Watching TV; movies]","[Text messaging on the phone; Other form of social interaction]"
"25","bxw9ohw9",2019-02-20 10:14:27,0,1,1,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
