"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","c1glyvu4",2019-02-15 09:02:17,0,2,2,1,2,"[Home (dorm; apartment)]","[Family;Roommates]","[None of the above; Other]","[Talking in person;Text messaging on the phone;Interacting on Facebook]"
"2","c1glyvu4",2019-02-15 12:48:28,0,1,2,0,2,"[Campus]","[Strangers]","[Studying; reading; preparing for an exam]","[Talking in person]"
"3","c1glyvu4",2019-02-15 15:21:51,0,1,2,0,1,"[Campus]","[Classmates; students]","[Attending classes; meetings;Commuting; traveling]","[Talking in person;Text messaging on the phone]"
"4","c1glyvu4",2019-02-15 18:12:48,0,1,2,0,2,"[Home (dorm; apartment)]","[Family;Friends;Roommates]","[Doing household chores; running errands]","[Talking in person;Text messaging on the phone]"
"5","c1glyvu4",2019-02-16 11:07:35,0,1,2,0,3,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media;Studying; reading; preparing for an exam]","[Interacting on Instagram]"
"6","c1glyvu4",2019-02-16 12:01:04,0,2,2,0,3,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[Text messaging on the phone]"
"7","c1glyvu4",2019-02-16 15:06:56,0,2,2,0,3,"[Home (dorm; apartment)]","[Family;Roommates]","[Eating; drinking]","[Talking in person;Text messaging on the phone]"
"8","c1glyvu4",2019-02-16 18:42:43,0,2,2,0,2,"[Home (dorm; apartment)]","[Family;Friends;Roommates]","[Talking; texting; socializing]","[Talking in person]"
"9","c1glyvu4",2019-02-17 09:01:13,0,1,2,0,3,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"10","c1glyvu4",2019-02-17 12:47:27,0,1,2,0,1,"[Vehicle]","[Family;Friends;Roommates]","[Commuting; traveling]","[Talking in person;Chatting on Whatsapp or other chat app]"
"11","c1glyvu4",2019-02-17 15:44:16,1,1,2,1,1,"[Home (dorm; apartment)]","[Family;Roommates]","[Browsing the Internet; using social media;Talking; texting; socializing]","[Text messaging on the phone]"
"12","c1glyvu4",2019-02-17 18:39:44,0,1,2,0,1,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam;Talking; texting; socializing]","[Talking on the phone]"
"13","c1glyvu4",2019-02-18 09:09:24,1,1,2,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media]","[Text messaging on the phone;Interacting on Instagram]"
"14","c1glyvu4",2019-02-18 12:18:09,1,1,2,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam;Watching TV; movies]","[Text messaging on the phone]"
"15","c1glyvu4",2019-02-18 15:26:13,0,2,2,1,2,"[Home (dorm; apartment)]","[No one; alone]","[Doing household chores; running errands;Studying; reading; preparing for an exam;Watching TV; movies]","[Text messaging on the phone]"
"16","c1glyvu4",2019-02-18 18:02:26,0,2,2,0,1,"[Home (dorm; apartment)]","[Family;Roommates]","[Studying; reading; preparing for an exam]","[Talking in person]"
"17","c1glyvu4",2019-02-19 12:05:42,1,2,1,0,1,"[Library]","[No one; alone]","[Studying; reading; preparing for an exam;Talking; texting; socializing]","[Text messaging on the phone;Emailing]"
"18","c1glyvu4",2019-02-19 15:01:23,0,2,1,0,1,"[Home (dorm; apartment)]","[Family;Roommates]","[Eating; drinking;Studying; reading; preparing for an exam]","[Talking in person;Chatting on Whatsapp or other chat app]"
"19","c1glyvu4",2019-02-19 19:13:38,1,3,1,1,1,"[Home (dorm; apartment)]","[Family;Roommates]","[Studying; reading; preparing for an exam;Talking; texting; socializing]","[Talking in person;Chatting on Whatsapp or other chat app]"
"20","c1glyvu4",2019-02-20 16:09:45,0,2,2,0,1,"[Campus]","[Classmates; students;Friends]","[Attending classes; meetings]","[Talking in person]"
"21","c1glyvu4",2019-02-21 09:10:40,1,3,1,0,2,"[Campus]","[No one; alone]","[Commuting; traveling]","[Not applicable; was not interacting with anyone]"
"22","c1glyvu4",2019-02-21 13:23:44,1,3,1,0,1,"[Library]","[Strangers]","[Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
"23","c1glyvu4",2019-02-21 17:37:32,1,2,2,0,1,"[Home (dorm; apartment);None of the above; Other]","[No one; alone]","[Commuting; traveling;Eating; drinking;Talking; texting; socializing]","[Text messaging on the phone;Chatting on Whatsapp or other chat app]"
"24","c1glyvu4",2019-02-21 18:01:12,1,2,2,0,1,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media;Talking; texting; socializing]","[Chatting on Whatsapp or other chat app;Interacting on Instagram]"
"25","c1glyvu4",2019-02-22 09:03:29,0,1,3,0,3,"[Home (dorm; apartment)]","[Family;Roommates]","[Browsing the Internet; using social media;None of the above; Other]","[Talking in person]"
"26","c1glyvu4",2019-02-22 12:49:55,0,1,2,0,1,"[Home (dorm; apartment)]","[No one; alone]","[Watching TV; movies]","[Not applicable; was not interacting with anyone]"
"27","c1glyvu4",2019-02-22 15:43:43,0,1,2,0,1,"[Campus;Home (dorm; apartment)]","[Classmates; students;Family;Friends;Roommates]","[Commuting; traveling;Doing household chores; running errands;Talking; texting; socializing]","[Talking in person]"
"28","c1glyvu4",2019-02-22 19:26:13,0,1,2,0,2,"[Home (dorm; apartment)]","[Friends]","[Talking; texting; socializing]","[Talking in person;Talking on the phone;Text messaging on the phone]"
"29","c1glyvu4",2019-02-23 12:46:36,0,1,3,0,4,"[Home (dorm; apartment)]","[Family;Roommates]","[Browsing the Internet; using social media;Watching TV; movies]","[Talking in person]"
"30","c1glyvu4",2019-02-23 15:01:00,0,1,3,0,3,"[Home (dorm; apartment)]","[None of the above; Other]","[Watching TV; movies;None of the above; Other]","[Text messaging on the phone]"
"31","c1glyvu4",2019-02-23 18:00:56,0,1,2,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media;Watching TV; movies]","[Not applicable; was not interacting with anyone]"
"32","c1glyvu4",2019-02-24 09:02:52,0,1,2,0,3,"[Home (dorm; apartment)]","[Family]","[None of the above; Other]","[Talking in person]"
"33","c1glyvu4",2019-02-24 12:08:11,1,1,3,0,3,"[Religious facility;Vehicle]","[Family;Friends;Roommates;Strangers]","[Commuting; traveling;Talking; texting; socializing]","[Talking in person]"
"34","c1glyvu4",2019-02-24 15:01:01,0,1,2,0,2,"[Friend's house]","[Friends]","[Attending classes; meetings;Talking; texting; socializing]","[Talking in person]"
"35","c1glyvu4",2019-02-24 18:01:57,0,1,3,0,2,"[Home (dorm; apartment)]","[Family]","[Resting; napping; doing nothing]","[Talking in person]"
"36","c1glyvu4",2019-02-25 09:01:18,0,1,2,0,3,"[Home (dorm; apartment)]","[No one; alone]","[None of the above; Other]","[Not applicable; was not interacting with anyone]"
"37","c1glyvu4",2019-02-25 12:14:25,0,1,2,0,1,"[Home (dorm; apartment)]","[No one; alone]","[Browsing the Internet; using social media;Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
"38","c1glyvu4",2019-02-25 18:12:16,1,2,1,0,1,"[Campus]","[Classmates; students;Family;Roommates]","[Attending classes; meetings;Commuting; traveling;Studying; reading; preparing for an exam;Talking; texting; socializing]","[Talking in person;Text messaging on the phone]"
"39","c1glyvu4",2019-02-26 09:21:13,1,2,1,0,1,"[Campus]","[Classmates; students;Strangers]","[Attending classes; meetings;Commuting; traveling;Talking; texting; socializing]","[Talking in person;Text messaging on the phone]"
