"","pid","local.time","sad","stress","content","lonely","energy","where.at","with.whom","doing.what","interact.how"
"1","ccywhum4",2019-02-14 13:22:25,0,0,1,0,3,"[Home (dorm; apartment)]","[Family]","[Browsing the Internet; using social media;Doing household chores; running errands;Eating; drinking;Studying; reading; preparing for an exam]","[Talking in person]"
"2","ccywhum4",2019-02-14 15:01:06,0,0,1,0,2,"[Home (dorm; apartment)]","[Family;Friends]","[Browsing the Internet; using social media;Eating; drinking;Studying; reading; preparing for an exam;Talking; texting; socializing]","[Talking in person;Text messaging on the phone]"
"3","ccywhum4",2019-02-14 18:30:49,0,0,0,0,2,"[Home (dorm; apartment)]","[Family]","[Resting; napping; doing nothing]","[Talking in person]"
"4","ccywhum4",2019-02-15 10:30:49,0,0,0,0,1,"[Campus;Vehicle]","[Classmates; students;Friends]","[Commuting; traveling]","[Talking in person;Text messaging on the phone]"
"5","ccywhum4",2019-02-15 12:15:52,0,0,0,0,1,"[Campus]","[Classmates; students;Friends]","[Attending classes; meetings;Commuting; traveling;Talking; texting; socializing]","[Talking in person;Text messaging on the phone]"
"6","ccywhum4",2019-02-15 16:56:27,0,0,0,0,1,"[Campus;Vehicle]","[Classmates; students;Friends]","[Attending classes; meetings;Commuting; traveling]","[Talking in person;Talking on the phone]"
"7","ccywhum4",2019-02-16 15:00:54,0,0,0,0,2,"[Vehicle]","[Classmates; students;Friends]","[Attending classes; meetings;Commuting; traveling]","[Talking in person;Talking on the phone]"
"8","ccywhum4",2019-02-16 21:00:52,0,0,0,0,4,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"9","ccywhum4",2019-02-18 09:06:46,0,1,0,0,1,"[Vehicle]","[Family]","[Commuting; traveling]","[Talking in person]"
"10","ccywhum4",2019-02-18 18:02:23,0,0,0,0,4,"[Campus]","[Classmates; students;Friends]","[Attending classes; meetings]","[Talking in person]"
"11","ccywhum4",2019-02-19 12:48:20,0,0,0,0,2,"[Home (dorm; apartment)]","[Family]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"12","ccywhum4",2019-02-19 21:21:14,0,0,0,0,2,"[Home (dorm; apartment)]","[Family]","[Studying; reading; preparing for an exam]","[Talking in person]"
"13","ccywhum4",2019-02-20 10:03:50,0,0,0,0,2,"[Vehicle]","[Family;Friends]","[Commuting; traveling]","[Talking in person;Text messaging on the phone]"
"14","ccywhum4",2019-02-20 12:02:19,0,1,0,0,2,"[Campus]","[Classmates; students;Friends]","[Commuting; traveling;Studying; reading; preparing for an exam]","[Talking in person]"
"15","ccywhum4",2019-02-20 15:01:14,0,0,0,0,2,"[Campus]","[Classmates; students;Friends]","[Resting; napping; doing nothing]","[Talking in person]"
"16","ccywhum4",2019-02-20 18:18:13,0,1,0,0,1,"[Campus;Library]","[No one; alone]","[Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
"17","ccywhum4",2019-02-21 17:44:46,0,0,0,0,4,"[Home (dorm; apartment)]","[None of the above; Other]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"18","ccywhum4",2019-02-22 01:35:18,0,0,0,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
"19","ccywhum4",2019-02-22 09:28:41,0,0,0,0,2,"[Vehicle]","[No one; alone]","[Commuting; traveling]","[Not applicable; was not interacting with anyone]"
"20","ccywhum4",2019-02-22 12:03:20,0,0,0,0,2,"[Campus]","[Classmates; students;Friends]","[Attending classes; meetings]","[Talking in person]"
"21","ccywhum4",2019-02-22 15:14:50,0,0,0,0,2,"[Campus]","[Classmates; students;Friends]","[Attending classes; meetings]","[Talking in person]"
"22","ccywhum4",2019-02-23 12:15:04,1,1,0,0,2,"[Library]","[No one; alone]","[Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
"23","ccywhum4",2019-02-23 15:09:05,0,0,0,0,2,"[None of the above; Other]","[Family]","[Eating; drinking]","[Talking in person]"
"24","ccywhum4",2019-02-23 19:49:17,0,0,0,0,2,"[Store / Mall]","[Family]","[None of the above; Other]","[Talking in person]"
"25","ccywhum4",2019-02-24 11:04:34,0,0,0,0,4,"[Home (dorm; apartment)]","[Family]","[Resting; napping; doing nothing]","[Talking in person;Talking on the phone]"
"26","ccywhum4",2019-02-24 12:20:47,0,0,0,0,2,"[Home (dorm; apartment)]","[No one; alone]","[Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
"27","ccywhum4",2019-02-24 15:00:38,0,0,0,0,2,"[Home (dorm; apartment)]","[None of the above; Other]","[Eating; drinking]","[Talking in person]"
"28","ccywhum4",2019-02-24 18:01:35,0,1,0,0,1,"[Home (dorm; apartment)]","[Family]","[Studying; reading; preparing for an exam]","[Talking in person;Video-chatting]"
"29","ccywhum4",2019-02-25 09:12:13,1,2,0,0,2,"[Vehicle]","[Family]","[Commuting; traveling]","[Talking in person]"
"30","ccywhum4",2019-02-25 15:02:02,1,2,1,0,2,"[Campus]","[Classmates; students;Friends]","[Studying; reading; preparing for an exam]","[Talking in person]"
"31","ccywhum4",2019-02-26 12:02:56,0,0,0,0,2,"[Home (dorm; apartment)]","[Family]","[Resting; napping; doing nothing]","[Talking in person]"
"32","ccywhum4",2019-02-26 15:01:22,1,2,1,0,2,"[Campus]","[Classmates; students;Family;Friends]","[Studying; reading; preparing for an exam]","[Talking in person]"
"33","ccywhum4",2019-02-26 18:08:57,2,3,0,0,1,"[Campus]","[Classmates; students;Family;Friends]","[Studying; reading; preparing for an exam]","[Talking in person]"
"34","ccywhum4",2019-02-27 10:37:08,0,0,2,0,2,"[Campus]","[Classmates; students;Friends]","[Attending classes; meetings]","[Talking in person;Text messaging on the phone;Interacting on Facebook]"
"35","ccywhum4",2019-02-27 12:11:34,2,1,0,0,2,"[Campus]","[Classmates; students;Friends;Strangers]","[None of the above; Other]","[Talking in person]"
"36","ccywhum4",2019-02-27 15:13:23,1,1,1,0,2,"[Campus]","[Classmates; students;Friends]","[Attending classes; meetings]","[Talking in person]"
"37","ccywhum4",2019-02-27 18:02:14,0,1,1,0,2,"[Campus]","[Classmates; students;Friends]","[Resting; napping; doing nothing]","[Talking in person]"
"38","ccywhum4",2019-02-28 13:11:25,0,0,2,0,4,"[Home (dorm; apartment)]","[No one; alone]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"39","ccywhum4",2019-02-28 15:01:39,1,0,1,0,3,"[Home (dorm; apartment)]","[Family]","[Eating; drinking;Studying; reading; preparing for an exam]","[Talking in person]"
"40","ccywhum4",2019-02-28 21:29:58,0,0,2,0,3,"[Vehicle]","[Family]","[Eating; drinking]","[Talking in person]"
"41","ccywhum4",2019-03-01 11:53:34,3,3,0,0,1,"[Campus]","[Classmates; students;Family;Friends]","[Commuting; traveling]","[Talking in person;Talking on the phone]"
"42","ccywhum4",2019-03-01 15:00:41,1,1,1,0,1,"[Campus]","[Classmates; students;Friends]","[Attending classes; meetings]","[Talking in person]"
"43","ccywhum4",2019-03-01 18:10:57,0,0,2,0,2,"[Cafe; Restaurant]","[Classmates; students;Family;Friends]","[Eating; drinking]","[Talking in person]"
"44","ccywhum4",2019-03-02 15:48:26,0,0,1,0,3,"[Home (dorm; apartment)]","[Family]","[Doing household chores; running errands]","[Talking in person;Talking on the phone]"
"45","ccywhum4",2019-03-02 21:28:43,0,0,2,0,3,"[Home (dorm; apartment)]","[Family]","[Watching TV; movies]","[Talking in person]"
"46","ccywhum4",2019-03-03 12:00:45,0,0,2,0,2,"[Home (dorm; apartment)]","[Family]","[Resting; napping; doing nothing]","[Talking in person]"
"47","ccywhum4",2019-03-03 15:02:35,0,0,2,0,2,"[None of the above; Other]","[Family;Strangers]","[None of the above; Other]","[Talking in person]"
"48","ccywhum4",2019-03-03 20:01:42,1,0,0,0,2,"[Home (dorm; apartment)]","[Family]","[Eating; drinking]","[Talking in person]"
"49","ccywhum4",2019-03-04 09:15:33,0,0,2,0,1,"[Vehicle]","[Family;Friends]","[Commuting; traveling;Talking; texting; socializing]","[Talking in person;Text messaging on the phone]"
"50","ccywhum4",2019-03-04 12:55:09,0,0,2,0,2,"[Campus]","[Classmates; students;Friends]","[Commuting; traveling]","[Talking in person]"
"51","ccywhum4",2019-03-04 15:00:44,0,0,2,0,2,"[Campus]","[Classmates; students;Friends]","[Browsing the Internet; using social media;Watching TV; movies]","[Talking in person]"
"52","ccywhum4",2019-03-05 13:40:27,0,0,1,0,2,"[Home (dorm; apartment)]","[Family]","[Resting; napping; doing nothing]","[Not applicable; was not interacting with anyone]"
"53","ccywhum4",2019-03-05 15:15:19,0,0,1,0,3,"[Home (dorm; apartment)]","[Family]","[Resting; napping; doing nothing;Studying; reading; preparing for an exam]","[Not applicable; was not interacting with anyone]"
"54","ccywhum4",2019-03-05 20:29:27,0,0,1,0,2,"[Home (dorm; apartment)]","[Family]","[Eating; drinking]","[Talking in person]"
"55","ccywhum4",2019-03-06 09:26:31,0,0,0,0,2,"[Vehicle]","[Family]","[Commuting; traveling]","[Talking in person]"
"56","ccywhum4",2019-03-06 13:09:19,2,1,0,0,1,"[Campus]","[Classmates; students;Friends]","[Attending classes; meetings]","[Talking in person]"
