"","pid","survey.date","local.time","answer","variable"
"1","cfavoz3y",2019-02-14,2019-02-14 21:01:01,1,"sad"
"2","cfavoz3y",2019-02-15,2019-02-15 21:02:09,2,"sad"
"3","cfavoz3y",2019-02-17,2019-02-17 22:33:18,2,"sad"
"4","cfavoz3y",2019-02-18,2019-02-18 23:09:40,1,"sad"
"5","cfavoz3y",2019-02-19,2019-02-19 21:02:34,2,"sad"
"6","cfavoz3y",2019-02-22,2019-02-22 21:03:05,1,"sad"
"7","cfavoz3y",2019-02-23,2019-02-23 23:16:21,1,"sad"
"8","cfavoz3y",2019-02-24,2019-02-24 21:02:02,1,"sad"
"9","cfavoz3y",2019-02-25,2019-02-25 22:20:23,1,"sad"
"10","cfavoz3y",2019-02-26,2019-02-26 21:01:29,1,"sad"
"11","cfavoz3y",2019-02-27,2019-02-27 22:17:07,1,"sad"
"12","cfavoz3y",2019-02-28,2019-02-28 21:46:41,1,"sad"
"13","cfavoz3y",2019-03-01,2019-03-01 21:20:50,1,"sad"
"14","cfavoz3y",2019-03-02,2019-03-02 21:49:09,3,"sad"
"15","cfavoz3y",2019-03-03,2019-03-03 21:01:31,2,"sad"
"16","cfavoz3y",2019-03-04,2019-03-04 21:00:41,1,"sad"
"17","cfavoz3y",2019-03-05,2019-03-05 21:09:07,1,"sad"
"18","cfavoz3y",2019-03-06,2019-03-06 21:29:55,1,"sad"
"19","cfavoz3y",2019-03-07,2019-03-07 21:23:15,1,"sad"
"20","cfavoz3y",2019-03-08,2019-03-08 21:01:08,1,"sad"
"21","cfavoz3y",2019-03-09,2019-03-09 22:49:42,1,"sad"
"22","cfavoz3y",2019-03-10,2019-03-10 22:01:06,1,"sad"
"23","cfavoz3y",2019-02-14,2019-02-14 21:01:01,3,"stress"
"24","cfavoz3y",2019-02-15,2019-02-15 21:02:09,2,"stress"
"25","cfavoz3y",2019-02-17,2019-02-17 22:33:18,3,"stress"
"26","cfavoz3y",2019-02-18,2019-02-18 23:09:40,3,"stress"
"27","cfavoz3y",2019-02-19,2019-02-19 21:02:34,3,"stress"
"28","cfavoz3y",2019-02-22,2019-02-22 21:03:05,2,"stress"
"29","cfavoz3y",2019-02-23,2019-02-23 23:16:21,2,"stress"
"30","cfavoz3y",2019-02-24,2019-02-24 21:02:02,2,"stress"
"31","cfavoz3y",2019-02-25,2019-02-25 22:20:23,1,"stress"
"32","cfavoz3y",2019-02-26,2019-02-26 21:01:29,1,"stress"
"33","cfavoz3y",2019-02-27,2019-02-27 22:17:07,1,"stress"
"34","cfavoz3y",2019-02-28,2019-02-28 21:46:41,1,"stress"
"35","cfavoz3y",2019-03-01,2019-03-01 21:20:50,1,"stress"
"36","cfavoz3y",2019-03-02,2019-03-02 21:49:09,1,"stress"
"37","cfavoz3y",2019-03-03,2019-03-03 21:01:31,1,"stress"
"38","cfavoz3y",2019-03-04,2019-03-04 21:00:41,1,"stress"
"39","cfavoz3y",2019-03-05,2019-03-05 21:09:07,2,"stress"
"40","cfavoz3y",2019-03-06,2019-03-06 21:29:55,1,"stress"
"41","cfavoz3y",2019-03-07,2019-03-07 21:23:15,1,"stress"
"42","cfavoz3y",2019-03-08,2019-03-08 21:01:08,1,"stress"
"43","cfavoz3y",2019-03-09,2019-03-09 22:49:42,1,"stress"
"44","cfavoz3y",2019-03-10,2019-03-10 22:01:06,2,"stress"
"45","cfavoz3y",2019-02-14,2019-02-14 21:01:01,2,"content"
"46","cfavoz3y",2019-02-15,2019-02-15 21:02:09,2,"content"
"47","cfavoz3y",2019-02-17,2019-02-17 22:33:18,1,"content"
"48","cfavoz3y",2019-02-18,2019-02-18 23:09:40,1,"content"
"49","cfavoz3y",2019-02-19,2019-02-19 21:02:34,1,"content"
"50","cfavoz3y",2019-02-22,2019-02-22 21:03:05,2,"content"
"51","cfavoz3y",2019-02-23,2019-02-23 23:16:21,2,"content"
"52","cfavoz3y",2019-02-24,2019-02-24 21:02:02,2,"content"
"53","cfavoz3y",2019-02-25,2019-02-25 22:20:23,2,"content"
"54","cfavoz3y",2019-02-26,2019-02-26 21:01:29,2,"content"
"55","cfavoz3y",2019-02-27,2019-02-27 22:17:07,2,"content"
"56","cfavoz3y",2019-02-28,2019-02-28 21:46:41,2,"content"
"57","cfavoz3y",2019-03-01,2019-03-01 21:20:50,3,"content"
"58","cfavoz3y",2019-03-02,2019-03-02 21:49:09,1,"content"
"59","cfavoz3y",2019-03-03,2019-03-03 21:01:31,1,"content"
"60","cfavoz3y",2019-03-04,2019-03-04 21:00:41,2,"content"
"61","cfavoz3y",2019-03-05,2019-03-05 21:09:07,2,"content"
"62","cfavoz3y",2019-03-06,2019-03-06 21:29:55,2,"content"
"63","cfavoz3y",2019-03-07,2019-03-07 21:23:15,3,"content"
"64","cfavoz3y",2019-03-08,2019-03-08 21:01:08,3,"content"
"65","cfavoz3y",2019-03-09,2019-03-09 22:49:42,3,"content"
"66","cfavoz3y",2019-03-10,2019-03-10 22:01:06,2,"content"
"67","cfavoz3y",2019-02-14,2019-02-14 21:01:01,1,"lonely"
"68","cfavoz3y",2019-02-15,2019-02-15 21:02:09,1,"lonely"
"69","cfavoz3y",2019-02-17,2019-02-17 22:33:18,2,"lonely"
"70","cfavoz3y",2019-02-18,2019-02-18 23:09:40,1,"lonely"
"71","cfavoz3y",2019-02-19,2019-02-19 21:02:34,3,"lonely"
"72","cfavoz3y",2019-02-22,2019-02-22 21:03:05,1,"lonely"
"73","cfavoz3y",2019-02-23,2019-02-23 23:16:21,1,"lonely"
"74","cfavoz3y",2019-02-24,2019-02-24 21:02:02,1,"lonely"
"75","cfavoz3y",2019-02-25,2019-02-25 22:20:23,1,"lonely"
"76","cfavoz3y",2019-02-26,2019-02-26 21:01:29,1,"lonely"
"77","cfavoz3y",2019-02-27,2019-02-27 22:17:07,1,"lonely"
"78","cfavoz3y",2019-02-28,2019-02-28 21:46:41,1,"lonely"
"79","cfavoz3y",2019-03-01,2019-03-01 21:20:50,1,"lonely"
"80","cfavoz3y",2019-03-02,2019-03-02 21:49:09,3,"lonely"
