"","pid","survey.date","local.time","answer","variable"
"1","f28dpiib",2019-02-14,2019-02-15 02:58:07,3,"sad"
"2","f28dpiib",2019-02-15,2019-02-16 00:24:06,0,"sad"
"3","f28dpiib",2019-02-17,2019-02-17 12:06:31,0,"sad"
"4","f28dpiib",2019-02-18,2019-02-19 08:56:52,0,"sad"
"5","f28dpiib",2019-02-19,2019-02-20 08:04:37,0,"sad"
"6","f28dpiib",2019-02-21,2019-02-21 21:07:20,0,"sad"
"7","f28dpiib",2019-02-22,2019-02-22 21:06:19,0,"sad"
"8","f28dpiib",2019-02-23,2019-02-23 22:22:36,0,"sad"
"9","f28dpiib",2019-02-25,2019-02-25 21:54:29,0,"sad"
"10","f28dpiib",2019-02-26,2019-02-26 21:05:25,0,"sad"
"11","f28dpiib",2019-02-27,2019-02-27 21:54:50,2,"sad"
"12","f28dpiib",2019-02-28,2019-02-28 22:17:32,0,"sad"
"13","f28dpiib",2019-03-02,2019-03-02 13:48:01,0,"sad"
"14","f28dpiib",2019-03-03,2019-03-03 21:01:13,1,"sad"
"15","f28dpiib",2019-03-04,2019-03-05 09:02:30,1,"sad"
"16","f28dpiib",2019-03-06,2019-03-06 21:01:25,1,"sad"
"17","f28dpiib",2019-02-14,2019-02-15 02:58:07,2,"stress"
"18","f28dpiib",2019-02-15,2019-02-16 00:24:06,1,"stress"
"19","f28dpiib",2019-02-17,2019-02-17 12:06:31,0,"stress"
"20","f28dpiib",2019-02-18,2019-02-19 08:56:52,1,"stress"
"21","f28dpiib",2019-02-19,2019-02-20 08:04:37,1,"stress"
"22","f28dpiib",2019-02-21,2019-02-21 21:07:20,1,"stress"
"23","f28dpiib",2019-02-22,2019-02-22 21:06:19,0,"stress"
"24","f28dpiib",2019-02-23,2019-02-23 22:22:36,0,"stress"
"25","f28dpiib",2019-02-25,2019-02-25 21:54:29,0,"stress"
"26","f28dpiib",2019-02-26,2019-02-26 21:05:25,1,"stress"
"27","f28dpiib",2019-02-27,2019-02-27 21:54:50,3,"stress"
"28","f28dpiib",2019-02-28,2019-02-28 22:17:32,1,"stress"
"29","f28dpiib",2019-03-02,2019-03-02 13:48:01,1,"stress"
"30","f28dpiib",2019-03-03,2019-03-03 21:01:13,1,"stress"
"31","f28dpiib",2019-03-04,2019-03-05 09:02:30,1,"stress"
"32","f28dpiib",2019-03-06,2019-03-06 21:01:25,2,"stress"
"33","f28dpiib",2019-02-14,2019-02-15 02:58:07,1,"content"
"34","f28dpiib",2019-02-15,2019-02-16 00:24:06,2,"content"
"35","f28dpiib",2019-02-17,2019-02-17 12:06:31,3,"content"
"36","f28dpiib",2019-02-18,2019-02-19 08:56:52,0,"content"
"37","f28dpiib",2019-02-19,2019-02-20 08:04:37,2,"content"
"38","f28dpiib",2019-02-21,2019-02-21 21:07:20,1,"content"
"39","f28dpiib",2019-02-22,2019-02-22 21:06:19,3,"content"
"40","f28dpiib",2019-02-23,2019-02-23 22:22:36,3,"content"
"41","f28dpiib",2019-02-25,2019-02-25 21:54:29,3,"content"
"42","f28dpiib",2019-02-26,2019-02-26 21:05:25,2,"content"
"43","f28dpiib",2019-02-27,2019-02-27 21:54:50,2,"content"
"44","f28dpiib",2019-02-28,2019-02-28 22:17:32,3,"content"
"45","f28dpiib",2019-03-02,2019-03-02 13:48:01,3,"content"
"46","f28dpiib",2019-03-03,2019-03-03 21:01:13,3,"content"
"47","f28dpiib",2019-03-04,2019-03-05 09:02:30,2,"content"
"48","f28dpiib",2019-03-06,2019-03-06 21:01:25,2,"content"
"49","f28dpiib",2019-02-14,2019-02-15 02:58:07,0,"lonely"
"50","f28dpiib",2019-02-15,2019-02-16 00:24:06,0,"lonely"
"51","f28dpiib",2019-02-17,2019-02-17 12:06:31,1,"lonely"
"52","f28dpiib",2019-02-18,2019-02-19 08:56:52,0,"lonely"
"53","f28dpiib",2019-02-19,2019-02-20 08:04:37,1,"lonely"
"54","f28dpiib",2019-02-21,2019-02-21 21:07:20,0,"lonely"
"55","f28dpiib",2019-02-22,2019-02-22 21:06:19,0,"lonely"
"56","f28dpiib",2019-02-23,2019-02-23 22:22:36,0,"lonely"
"57","f28dpiib",2019-02-25,2019-02-25 21:54:29,0,"lonely"
"58","f28dpiib",2019-02-26,2019-02-26 21:05:25,0,"lonely"
"59","f28dpiib",2019-02-27,2019-02-27 21:54:50,0,"lonely"
"60","f28dpiib",2019-02-28,2019-02-28 22:17:32,0,"lonely"
"61","f28dpiib",2019-03-02,2019-03-02 13:48:01,0,"lonely"
"62","f28dpiib",2019-03-03,2019-03-03 21:01:13,1,"lonely"
"63","f28dpiib",2019-03-04,2019-03-05 09:02:30,1,"lonely"
"64","f28dpiib",2019-03-06,2019-03-06 21:01:25,0,"lonely"
"65","f28dpiib",2019-02-14,2019-02-15 02:58:07,3,"energy"
"66","f28dpiib",2019-02-15,2019-02-16 00:24:06,1,"energy"
"67","f28dpiib",2019-02-17,2019-02-17 12:06:31,2,"energy"
"68","f28dpiib",2019-02-18,2019-02-18 12:08:01,2,"energy"
"69","f28dpiib",2019-02-19,2019-02-20 08:04:37,2,"energy"
"70","f28dpiib",2019-02-21,2019-02-21 21:07:20,3,"energy"
"71","f28dpiib",2019-02-22,2019-02-22 21:06:19,2,"energy"
"72","f28dpiib",2019-02-23,2019-02-23 22:22:36,3,"energy"
"73","f28dpiib",2019-02-25,2019-02-25 21:54:29,3,"energy"
"74","f28dpiib",2019-02-26,2019-02-26 21:05:25,2,"energy"
"75","f28dpiib",2019-02-27,2019-02-27 21:54:50,2,"energy"
"76","f28dpiib",2019-02-28,2019-02-28 22:17:32,2,"energy"
"77","f28dpiib",2019-03-02,2019-03-02 13:48:01,1,"energy"
"78","f28dpiib",2019-03-03,2019-03-03 21:01:13,3,"energy"
"79","f28dpiib",2019-03-04,2019-03-05 09:02:30,2,"energy"
"80","f28dpiib",2019-03-06,2019-03-06 21:01:25,3,"energy"
"81","f28dpiib",2019-02-15,2019-02-15 13:03:03,2,"sleep"
"82","f28dpiib",2019-02-16,2019-02-16 13:11:46,11,"sleep"
"83","f28dpiib",2019-02-17,2019-02-17 12:07:59,7,"sleep"
"84","f28dpiib",2019-02-18,2019-02-18 12:09:03,4,"sleep"
"85","f28dpiib",2019-02-19,2019-02-19 14:40:16,3,"sleep"
"86","f28dpiib",2019-02-20,2019-02-20 09:01:29,5,"sleep"
"87","f28dpiib",2019-02-21,2019-02-21 20:48:51,8,"sleep"
"88","f28dpiib",2019-02-22,2019-02-22 18:37:10,3,"sleep"
"89","f28dpiib",2019-02-23,2019-02-23 13:29:20,8,"sleep"
"90","f28dpiib",2019-02-24,2019-02-24 20:10:48,8,"sleep"
"91","f28dpiib",2019-02-27,2019-02-27 10:02:16,5,"sleep"
"92","f28dpiib",2019-03-01,2019-03-01 10:17:16,6,"sleep"
"93","f28dpiib",2019-03-02,2019-03-02 13:47:04,4,"sleep"
"94","f28dpiib",2019-03-03,2019-03-03 21:02:24,8,"sleep"
"95","f28dpiib",2019-02-15,2019-02-15 13:03:03,0,"refreshed"
"96","f28dpiib",2019-02-16,2019-02-16 13:11:46,1,"refreshed"
"97","f28dpiib",2019-02-17,2019-02-17 12:07:59,1,"refreshed"
"98","f28dpiib",2019-02-18,2019-02-18 12:09:03,0,"refreshed"
"99","f28dpiib",2019-02-19,2019-02-19 14:40:16,1,"refreshed"
"100","f28dpiib",2019-02-20,2019-02-20 09:01:29,1,"refreshed"
"101","f28dpiib",2019-02-21,2019-02-21 20:48:51,3,"refreshed"
"102","f28dpiib",2019-02-22,2019-02-22 18:37:10,1,"refreshed"
"103","f28dpiib",2019-02-23,2019-02-23 13:29:20,3,"refreshed"
"104","f28dpiib",2019-02-24,2019-02-24 20:10:48,1,"refreshed"
"105","f28dpiib",2019-02-26,2019-02-26 09:09:15,2,"refreshed"
"106","f28dpiib",2019-02-27,2019-02-27 10:02:16,1,"refreshed"
"107","f28dpiib",2019-03-01,2019-03-01 10:17:16,1,"refreshed"
"108","f28dpiib",2019-03-02,2019-03-02 13:47:04,2,"refreshed"
"109","f28dpiib",2019-03-03,2019-03-03 21:02:24,2,"refreshed"
"110","f28dpiib",2019-02-15,2019-02-15 13:03:03,1,"restful"
"111","f28dpiib",2019-02-16,2019-02-16 13:11:46,3,"restful"
"112","f28dpiib",2019-02-17,2019-02-17 12:07:59,2,"restful"
"113","f28dpiib",2019-02-18,2019-02-18 12:09:03,1,"restful"
"114","f28dpiib",2019-02-19,2019-02-19 14:40:16,1,"restful"
