"","pid","survey.date","local.time","answer","variable"
"1","f7ab97dh",2019-02-14,2019-02-15 00:39:31,0,"sad"
"2","f7ab97dh",2019-02-15,2019-02-15 21:49:45,0,"sad"
"3","f7ab97dh",2019-02-16,2019-02-17 01:39:41,0,"sad"
"4","f7ab97dh",2019-02-17,2019-02-17 21:26:27,0,"sad"
"5","f7ab97dh",2019-02-18,2019-02-19 00:13:56,0,"sad"
"6","f7ab97dh",2019-02-19,2019-02-19 23:37:41,0,"sad"
"7","f7ab97dh",2019-02-20,2019-02-21 11:07:51,0,"sad"
"8","f7ab97dh",2019-02-21,2019-02-22 00:21:40,0,"sad"
"9","f7ab97dh",2019-02-22,2019-02-22 21:12:36,0,"sad"
"10","f7ab97dh",2019-02-23,2019-02-23 21:25:30,0,"sad"
"11","f7ab97dh",2019-02-25,2019-02-26 01:13:55,0,"sad"
"12","f7ab97dh",2019-02-26,2019-02-26 21:42:04,0,"sad"
"13","f7ab97dh",2019-02-27,2019-02-27 21:07:24,0,"sad"
"14","f7ab97dh",2019-02-28,2019-03-01 00:09:04,0,"sad"
"15","f7ab97dh",2019-03-01,2019-03-02 02:51:36,0,"sad"
"16","f7ab97dh",2019-03-02,2019-03-02 21:18:53,0,"sad"
"17","f7ab97dh",2019-03-03,2019-03-03 21:48:06,0,"sad"
"18","f7ab97dh",2019-03-04,2019-03-05 00:11:53,0,"sad"
"19","f7ab97dh",2019-03-05,2019-03-06 01:03:52,0,"sad"
"20","f7ab97dh",2019-03-06,2019-03-07 01:04:07,0,"sad"
"21","f7ab97dh",2019-03-07,2019-03-07 21:03:47,0,"sad"
"22","f7ab97dh",2019-03-08,2019-03-08 21:02:45,0,"sad"
"23","f7ab97dh",2019-02-14,2019-02-15 00:39:31,1,"stress"
"24","f7ab97dh",2019-02-15,2019-02-15 21:49:45,1,"stress"
"25","f7ab97dh",2019-02-16,2019-02-17 01:39:41,1,"stress"
"26","f7ab97dh",2019-02-17,2019-02-17 21:26:27,0,"stress"
"27","f7ab97dh",2019-02-18,2019-02-19 00:13:56,1,"stress"
"28","f7ab97dh",2019-02-19,2019-02-19 23:37:41,1,"stress"
"29","f7ab97dh",2019-02-20,2019-02-21 11:07:51,1,"stress"
"30","f7ab97dh",2019-02-21,2019-02-22 00:21:40,2,"stress"
"31","f7ab97dh",2019-02-22,2019-02-22 21:12:36,0,"stress"
"32","f7ab97dh",2019-02-23,2019-02-23 21:25:30,0,"stress"
"33","f7ab97dh",2019-02-25,2019-02-26 01:13:55,0,"stress"
"34","f7ab97dh",2019-02-26,2019-02-26 21:42:04,0,"stress"
"35","f7ab97dh",2019-02-27,2019-02-27 21:07:24,1,"stress"
"36","f7ab97dh",2019-02-28,2019-03-01 00:09:04,1,"stress"
"37","f7ab97dh",2019-03-01,2019-03-02 02:51:36,0,"stress"
"38","f7ab97dh",2019-03-02,2019-03-02 21:18:53,0,"stress"
"39","f7ab97dh",2019-03-03,2019-03-03 21:48:06,0,"stress"
"40","f7ab97dh",2019-03-04,2019-03-05 00:11:53,0,"stress"
"41","f7ab97dh",2019-03-05,2019-03-06 01:03:52,1,"stress"
"42","f7ab97dh",2019-03-06,2019-03-07 01:04:07,0,"stress"
"43","f7ab97dh",2019-03-07,2019-03-07 21:03:47,1,"stress"
"44","f7ab97dh",2019-03-08,2019-03-08 21:02:45,1,"stress"
"45","f7ab97dh",2019-02-14,2019-02-15 00:39:31,2,"content"
"46","f7ab97dh",2019-02-15,2019-02-15 21:49:45,2,"content"
"47","f7ab97dh",2019-02-16,2019-02-17 01:39:41,3,"content"
"48","f7ab97dh",2019-02-17,2019-02-17 21:26:27,3,"content"
"49","f7ab97dh",2019-02-18,2019-02-19 00:13:56,2,"content"
"50","f7ab97dh",2019-02-19,2019-02-19 23:37:41,2,"content"
"51","f7ab97dh",2019-02-20,2019-02-21 11:07:51,2,"content"
"52","f7ab97dh",2019-02-21,2019-02-22 00:21:40,2,"content"
"53","f7ab97dh",2019-02-22,2019-02-22 21:12:36,3,"content"
"54","f7ab97dh",2019-02-23,2019-02-23 21:25:30,3,"content"
"55","f7ab97dh",2019-02-25,2019-02-26 01:13:55,3,"content"
"56","f7ab97dh",2019-02-26,2019-02-26 21:42:04,2,"content"
"57","f7ab97dh",2019-02-27,2019-02-27 21:07:24,2,"content"
"58","f7ab97dh",2019-02-28,2019-03-01 00:09:04,2,"content"
"59","f7ab97dh",2019-03-01,2019-03-02 02:51:36,2,"content"
"60","f7ab97dh",2019-03-02,2019-03-02 21:18:53,2,"content"
"61","f7ab97dh",2019-03-03,2019-03-03 21:48:06,2,"content"
"62","f7ab97dh",2019-03-04,2019-03-05 00:11:53,2,"content"
"63","f7ab97dh",2019-03-05,2019-03-06 01:03:52,2,"content"
"64","f7ab97dh",2019-03-06,2019-03-07 01:04:07,2,"content"
"65","f7ab97dh",2019-03-07,2019-03-07 21:03:47,2,"content"
"66","f7ab97dh",2019-03-08,2019-03-08 21:02:45,2,"content"
"67","f7ab97dh",2019-02-14,2019-02-15 00:39:31,0,"lonely"
"68","f7ab97dh",2019-02-15,2019-02-15 21:49:45,1,"lonely"
"69","f7ab97dh",2019-02-16,2019-02-17 01:39:41,0,"lonely"
"70","f7ab97dh",2019-02-17,2019-02-17 21:26:27,0,"lonely"
"71","f7ab97dh",2019-02-18,2019-02-19 00:13:56,0,"lonely"
"72","f7ab97dh",2019-02-19,2019-02-19 23:37:41,0,"lonely"
"73","f7ab97dh",2019-02-20,2019-02-21 11:07:51,0,"lonely"
"74","f7ab97dh",2019-02-21,2019-02-22 00:21:40,0,"lonely"
"75","f7ab97dh",2019-02-22,2019-02-22 21:12:36,0,"lonely"
"76","f7ab97dh",2019-02-23,2019-02-23 21:25:30,0,"lonely"
"77","f7ab97dh",2019-02-25,2019-02-26 01:13:55,0,"lonely"
"78","f7ab97dh",2019-02-26,2019-02-26 21:42:04,0,"lonely"
"79","f7ab97dh",2019-02-27,2019-02-27 21:07:24,0,"lonely"
"80","f7ab97dh",2019-02-28,2019-03-01 00:09:04,0,"lonely"
"81","f7ab97dh",2019-03-01,2019-03-02 02:51:36,0,"lonely"
"82","f7ab97dh",2019-03-02,2019-03-02 21:18:53,0,"lonely"
"83","f7ab97dh",2019-03-03,2019-03-03 21:48:06,0,"lonely"
"84","f7ab97dh",2019-03-04,2019-03-05 00:11:53,0,"lonely"
"85","f7ab97dh",2019-03-05,2019-03-06 01:03:52,0,"lonely"
"86","f7ab97dh",2019-03-06,2019-03-07 01:04:07,0,"lonely"
"87","f7ab97dh",2019-03-07,2019-03-07 21:03:47,0,"lonely"
"88","f7ab97dh",2019-03-08,2019-03-08 21:02:45,0,"lonely"
"89","f7ab97dh",2019-02-14,2019-02-15 00:39:31,2,"energy"
"90","f7ab97dh",2019-02-15,2019-02-15 21:49:45,3,"energy"
"91","f7ab97dh",2019-02-16,2019-02-17 01:39:41,3,"energy"
"92","f7ab97dh",2019-02-17,2019-02-17 21:26:27,3,"energy"
"93","f7ab97dh",2019-02-18,2019-02-19 00:13:56,2,"energy"
"94","f7ab97dh",2019-02-19,2019-02-19 23:37:41,2,"energy"
"95","f7ab97dh",2019-02-20,2019-02-21 11:07:51,2,"energy"
"96","f7ab97dh",2019-02-21,2019-02-22 00:21:40,2,"energy"
"97","f7ab97dh",2019-02-22,2019-02-22 21:12:36,2,"energy"
"98","f7ab97dh",2019-02-23,2019-02-23 21:25:30,2,"energy"
"99","f7ab97dh",2019-02-25,2019-02-26 01:13:55,3,"energy"
"100","f7ab97dh",2019-02-26,2019-02-26 21:42:04,2,"energy"
"101","f7ab97dh",2019-02-27,2019-02-27 21:07:24,1,"energy"
"102","f7ab97dh",2019-02-28,2019-03-01 00:09:04,1,"energy"
"103","f7ab97dh",2019-03-01,2019-03-02 02:51:36,2,"energy"
"104","f7ab97dh",2019-03-02,2019-03-02 21:18:53,2,"energy"
"105","f7ab97dh",2019-03-03,2019-03-03 21:48:06,1,"energy"
"106","f7ab97dh",2019-03-04,2019-03-05 00:11:53,1,"energy"
"107","f7ab97dh",2019-03-05,2019-03-06 01:03:52,3,"energy"
"108","f7ab97dh",2019-03-06,2019-03-07 01:04:07,3,"energy"
"109","f7ab97dh",2019-03-07,2019-03-07 21:03:47,2,"energy"
"110","f7ab97dh",2019-03-08,2019-03-08 21:02:45,2,"energy"
"111","f7ab97dh",2019-02-15,2019-02-15 10:32:13,9,"sleep"
"112","f7ab97dh",2019-02-16,2019-02-16 10:44:54,7,"sleep"
"113","f7ab97dh",2019-02-17,2019-02-17 10:05:20,7,"sleep"
"114","f7ab97dh",2019-02-18,2019-02-18 10:41:58,6,"sleep"
"115","f7ab97dh",2019-02-19,2019-02-19 09:33:44,6,"sleep"
"116","f7ab97dh",2019-02-20,2019-02-20 10:29:39,5,"sleep"
"117","f7ab97dh",2019-02-21,2019-02-21 11:09:06,8,"sleep"
"118","f7ab97dh",2019-02-22,2019-02-22 10:57:21,7,"sleep"
"119","f7ab97dh",2019-02-23,2019-02-23 11:34:48,8,"sleep"
"120","f7ab97dh",2019-02-24,2019-02-24 11:11:38,7,"sleep"
"121","f7ab97dh",2019-02-25,2019-02-25 15:03:11,7,"sleep"
"122","f7ab97dh",2019-02-26,2019-02-26 21:38:27,8,"sleep"
"123","f7ab97dh",2019-02-27,2019-02-27 10:55:52,5,"sleep"
"124","f7ab97dh",2019-02-28,2019-02-28 09:12:24,6,"sleep"
"125","f7ab97dh",2019-03-03,2019-03-03 13:03:24,8,"sleep"
"126","f7ab97dh",2019-03-04,2019-03-04 10:22:55,5,"sleep"
"127","f7ab97dh",2019-03-05,2019-03-05 15:05:52,8,"sleep"
"128","f7ab97dh",2019-03-06,2019-03-06 12:00:07,7,"sleep"
"129","f7ab97dh",2019-03-07,2019-03-07 09:28:28,7,"sleep"
"130","f7ab97dh",2019-03-08,2019-03-08 11:00:49,5,"sleep"
"131","f7ab97dh",2019-02-15,2019-02-15 10:32:13,3,"refreshed"
"132","f7ab97dh",2019-02-16,2019-02-16 10:44:54,2,"refreshed"
